MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nIt makes me so happy to befriend another\nDivine Dragon. We have so much to talk about!\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x06\x04チキ\nHm-hm! I see. That makes me happy. I'll do my\nbest so you can keep saying that about me!\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06クラン\nSo, Lady Tiki is a Divine Dragon too... She's just\nso sublime. I hope I can keep watching over her!\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x06\x04チキ\nOh? Why are you watching me from all the\nway over there? Come closer and let's chat!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06クラン\nI still have a hard time believing you want to\nchat with me. I'm grateful, but I get so nervous.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x06\x04チキ\nThere's no reason to be nervous, Clanne.\nWe're friends!\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nHey, Clanne? You always say I'm "sublime," but\nwhat does that mean, precisely?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nIt's hard to express, but it means amazing or\ntoo good to be true. Something like that.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x06\x04チキ\nAha! In that case, I think you're sublime!\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nHuh?! You must be kidding. Really? Aaah, I'm\nso happy, I could faint!\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06フラン\nOh wow! A Divine Dragon from another world.\nAh! She saw me. What do I do? What do I do?\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x06\x04チキ\nHm? Were you watching me? Don't stand over\nthere, silly. Come closer and talk with me!\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06フラン\nI'm grateful you want to talk with me, Lady Tiki,\nbut I get so flabbergasted when you approach.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x06\x04チキ\nHm-hm! In that case, I'll come around you even\nmore, 'cause I want to become best friends!\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06フラン\nLady Tiki, I tried writing a letter to express my\ngratitude. Would you like to read it?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x06\x04チキ\nAww, thank you! Although, um, I can't actually\npick up the letter...\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x06\x04チキ\nWould you read it to me? I'd love to hear what\nyou have to say.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nWhat?! Read it out loud? I wasn't expecting\nthis, but... Uh, I guess I can give it a shot.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMy people are devoted to the Divine Dragon.\nIt's an honor to meet one from another world.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x06\x04チキ\nI'm happy to meet you too! I hope we get to\nbecome good friends!\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nWhy, the sun isn't even out yet. What are you\ndoing so early in the morning?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nI'm training so I can get even stronger. Are you\ninterested in joining me?\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWhy do people go to war, Tiki? Why do we\ncrush beautiful flowers to spill blood?\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x06\x04チキ\nThat may be a little over my head... But I think\neveryone has a good heart, deep down.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x06\x04チキ\nI wish everyone in the world was like you. If\nthey were that kind, there'd be no fighting.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nHm... Thanks. It's troubling, but training gets my\nmind off it. Why don't we go for a run?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nブシュロン\nAn Emblem that can change into a dragon...\nImpressive! I'll do my best not to fall behind.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x06\x04チキ\nYeah! And I'll try lots, lots harder too! I'll show\nyou just how cool I can be!\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nThat book must be really moving if it can make\nyou cry. I'd love for you to read it to me.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nOh, you saw me crying? Well, this book is my\nfavorite. Have a seat, and you'll hear why.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nYou really like reading, don't you? It seems like\nwhenever I see you, you have a book in hand.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nI do. Stories are wonderful things, and they're a\nnice change from fighting. Do you like reading?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x06\x04チキ\nWell, I do love having things read to me! Hey,\ncould you read something to me today?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\nAbsolutely. I have plenty of stories to tell you,\nand there are always more to look forward to.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nエーティエ\nDo you like training, Tiki? Maybe we could go\nfor a run to strengthen our friendship?\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x06\x04チキ\nI love being active! And if we're doing it\ntogether, I'm sure it will be extra fun!\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nエーティエ\nMy homeland prides itself on its beautiful peach\nblossoms. I hope I can show you them one day.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x06\x04チキ\nReally? I'd love that! Flowers are so pretty.\nI hope we can go soon!\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nエーティエ\nYou look upset. Is there something on your\nmind? I'm happy to listen.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x06\x04チキ\nIt's just...I was thinking about the past. Back\nwhen I was all alone and constantly asleep.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nOh... Well, I'd recommend running to power\nthrough. You can tell me the rest while jogging!\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x06\x04チキ\nYou know, being around you cheers me right\nup. Thank you, Etie. Let's run!\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nWhy, hello, Tiki. I see your smile is as radiant\nas ever.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x06\x04チキ\nIt's impossible not to be cheerful when\nsurrounded by so many amazing people!\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nI've heard you're troubled by bad dreams.\nI've brewed some tea─the scent may help.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x06\x04チキ\nAww, you made this for me? You're the best!\nIt smells so calming. I'm sure I'll sleep well now!\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nWhat are the things that bring you joy? As your\nfriend and ally, I believe it's important I know.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x06\x04チキ\nHmm, let me think... Maybe when I'm\nsurrounded by good friends?\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x06\x04チキ\nI want to be with the people I love. So even just\nbeing here with you makes me so very happy!\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x0A\x08セリーヌ\nReally? I'm glad I can be a source of happiness.\nIn that case, let's spend more time together!\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04ルイ\nHow unusual to see such a darling girl like Tiki\nturn into a ferocious dragon on the battlefield...\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x06\x04チキ\nWhy are you just staring at me? Come on over\nhere and talk to me!\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nMmm! Something smells sweet... Louis, are you\nhiding tasty treats?\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x06\x04ルイ\nI have some grapes, my hometown's specialty.\nPlease, try a few if you'd like.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04ルイ\nSpending time with you is fun. I'd imagine that\nthis is what it's like having a little sister.\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x06\x04チキ\nIn that case, you should think of me as your\nlittle sister!\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nHa! I appreciate the sentiment, but you are an\nEmblem. I'd simply be too awestruck.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x06\x04チキ\nDon't be silly now or I'll have to start calling\nyou "big brother" whether you like it or not!\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06クロエ\nIf you're a Divine Dragon, does that mean I\nshould address you as "Divine One"?\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x06\x04チキ\nPlease don't! You can just call me Tiki. It feels\nstrange for new friends to be that formal!\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nI always see you flying through the sky. What\nare you doing up there?\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06クロエ\nOh, sometimes I like to ride while snacking.\nYou are welcome to join whenever you like.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nI feel so good when I'm around you. Like I'm all\nwarm and cozy.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06クロエ\nI feel the same way when I'm around you! The\ntwo of us have become a good team.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x06\x04チキ\nSpeaking of cozy, would you tell me another\nfairy tale? I really liked the one you told before.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06クロエ\nAll right. Sit by my side, and don't worry if you\ndoze off. I'll be here until you wake up.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nI'm amazed another Divine Dragon has joined\nour ranks. I hope we can count on each other.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x06\x04チキ\nYeah! You know, I'm really very strong. I'll work\nvery hard to help everyone!\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nCould you tell me about the world you were in?\nWas it the same world as Marth's?\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x06\x04チキ\nIt was. The battles went on and on, but Mar-Mar\nended them. I hope this world finds peace too.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nWow, there's a bad scar on your left arm. Did\nyou injure it in battle? Does it still hurt?\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nAh, this. I got it when I failed using fire magic at\na young age. Honestly, I am still terrible at it.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nIt still hurts sometimes, but I am in no danger\nfrom it. It's kind of you to worry about me, Tiki.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x06\x04チキ\nOh... But it must be distracting if it hurts even\na little. Um, uh... Pain, pain, go away!\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08アンバー\nA Divine Dragon from another world... It's the\nessence of a dream! Tell me more about you!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x06\x04チキ\nSure! I'll tell you lots and lots about me! Then\nyou can tell me all about you!\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08アンバー\nThe more I hear about your world, the more in\nawe I am of getting to be here with you.\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x06\x04チキ\nMm-hmm! I'm excited to be here with you too.\nHey, what are we going to talk about today?\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nWhat are these "alpaca" you're always talking\nabout? I don't think I've seen one.\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nThey're fluffy animals with long necks. They're\nadorable. My town has an alpaca ranch!\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x06\x04チキ\nOh, they sound really cute! I wanna see one\nsomeday. Do you think I could pet it?\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08アンバー\nWe'll make it happen. I, hero of the alpaca\nhamlet, will make sure of it!\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nJade, why do you sometimes stand with your\neyes closed? Are you sleeping standing up?\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nNo, I'm meditating. So that I may still my mind...\nWould you like to try it?\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nYou're writing instead of meditating today.\nWhat are you writing? A letter? Ooh, or a diary?\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nThis is a story. I usually do it at night, but I\nthought writing outside would be a nice change.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nSomething good must have happened. You've\ngot a really big grin on your face today!\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x0A\x08ジェーデ\nI'm surprised you noticed. Most people don't,\neven when I smile.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x06\x04チキ\nWell, we've spent lots of time together talking.\nSo, did something happen? Please tell me!\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nSomeone was interested in my latest work. If I\nread it to you, can you tell me your opinion?\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nスタルーク\nI can't believe you'd talk to the likes of me. You\nreally are great, Lady Tiki! I'm undeserving...\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x06\x04チキ\nWhat do you mean? I enjoy talking to you.\nI want us to talk even more!\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nThat attack you made in the last battle was\namazing! Everyone was talking about you!\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x0C\nスタルーク\nYou shouldn't praise someone like me. You're\ntoo dazzling... Ah, I can't bear it! I'm sorry!\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nスタルーク\nYou're so strong, Lady Tiki. Everyone depends\non you. Allow me to protect you as best I can.\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x06\x04チキ\nOK! And I'll protect you in return, Alcryst!\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x0C\nスタルーク\nWhat?! You can't... That would be a waste.\nPlease, go and protect someone more worthy.\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x06\x04チキ\nI think you're worth a lot! Besides, it's even\nsafer if we have each other's backs!\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nOh, your cuff is frayed! Did it get caught\non something?\x0E\x04\x00\x00
MID_GR_Lapis_C_#002	\x0E\x03\x02\x08\x06ラピス\nHmm. Maybe in the last battle? I'll patch it up.\nI guess I need to spin more thread.\x0E\x04\x00\x00
MID_GR_Lapis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nI saw you making a lot of food, Lapis! It looked\ntasty. You're good at cooking, aren't you?\x0E\x04\x00\x00
MID_GR_Lapis_B_#002	\x0E\x03\x02\x08\x06ラピス\nYams from my town came in, so I boiled them\nwith greens I dug up and─ Ah, no... It's nothing.\x0E\x04\x00\x00
MID_GR_Lapis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06ラピス\nI want to thank you for all your help. Is there\nsomething you'd like? I can make most things.\x0E\x04\x00\x00
MID_GR_Lapis_A_#002	\x0E\x03\x02\x06\x04チキ\nWhoa, really?! Then, um... I think I want to\nspend time with you. A whole lot more!\x0E\x04\x00\x00
MID_GR_Lapis_A_#003	\x0E\x03\x02\x06\x04チキ\nBeing there for me, chatting with me... That's\nwhat I'd really like.\x0E\x04\x00\x00
MID_GR_Lapis_A_#004	\x0E\x03\x02\x08\x06ラピス\nThat's definitely something I can do! Leave it to\nme! We'll spend lots of time together.\x0E\x04\x00\x00
MID_GR_Citrinica_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nI love my hometown and my friends. I want to\nprotect them. Thank you for helping us fight.\x0E\x04\x00\x00
MID_GR_Citrinica_C_#002	\x0E\x03\x02\x06\x04チキ\nYou're welcome! I'll do my best so that\neveryone can be safe and happy!\x0E\x04\x00\x00
MID_GR_Citrinica_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nTo wield such power and still retain your\ninnocence, you must have had excellent friends.\x0E\x04\x00\x00
MID_GR_Citrinica_B_#002	\x0E\x03\x02\x06\x04チキ\nOh! I'm so happy to hear you say that! My\nfriends are all lovely people. You included!\x0E\x04\x00\x00
MID_GR_Citrinica_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nI bought lots of toys for us to play with, Tiki.\nIf you have time, we can have great fun today.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#002	\x0E\x03\x02\x06\x04チキ\nWhoa... You bought all these? This is amazing!\nUmm, how do you play with them?\x0E\x04\x00\x00
MID_GR_Citrinica_A_#003	\x0E\x03\x02\x0C\nシトリニカ\nHonestly, I'm not familiar with them either. Why\ndon't we try them out together? It will be fun!\x0E\x04\x00\x00
