MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nOdd. This looks very similar to Altea Castle.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x08\x06マルス\nTiki was placed into a very long sleep in a\ntemple where she would be kept safe.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x08\x06マルス\nShe woke and was incredibly lonely. Once we\nmet, she said she wanted to stay with us.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x08\x06マルス\nShe called me "Mar-Mar," like a kid sister might.\nHuman or dragon, we became friends for life.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x0A\x08リュール\nThen she and I have something in common\nbesides our species─you.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0A\x08リュール\nMarth, who fights to end people's suffering.\nLike her, I'm happy to be close to such a hero.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x08\x06マルス\nSince our first meeting, I have felt the same.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x0A\x08リュール\nI'm grateful to you. I've become stronger\nbecause you are with me.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nHaving my friends by my side is what makes\neverything possible. I couldn't do this alone.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x08\x06マルス\nThen you understand. We will follow you\nalways.\x0E\x04\x00\x00
MID_LC1_#001	\x0E\x02\x02\x00
