MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0A\x08アイビー\nHortensia.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アイビー\nI should be thanking you.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アイビー\nYour example has given me courage more times\nthan I can count.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\nThank you for shining your light on\nme, Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cオルテンシア\nAww...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cオルテンシア\nI'm gonna do all I can to live up to the image\nyou have of me.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cオルテンシア\nIt was so hard not to just despair and give up\nwhen we were separated.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cオルテンシア\nFather was gone. You were gone... I had no one.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08アイビー\nI'm truly sorry, Hortensia. From now on, we'll\nbe together.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cオルテンシア\nThat better be a promise...because you're not\ngetting rid of me.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08アイビー\nAbsolutely. We will never be separated again.\nI promise.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08アイビー\nI am blessed to have family like you, Hortensia.\nI will never willingly let that go.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0E\x0Cオルテンシア\nGood. Me neither.\x0E\x04\x00\x00
