MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08リュール\nYou never fail to lift my spirits, Micaiah. I think\nit's that gentle smile you always wear.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nWhy, they all look delicious! I wish I could taste\none, but the scent alone is lovely.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nOh, Vander, you dropped something!\nIs that a knitting needle?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nAh, that's... Well, it's maybe a little\nembarrassing.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nYou knit? What a fantastic hobby to have.\nYou must show me your past works!\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nOh, it's just something to keep my hands busy,\nbut your excitement is appreciated.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nI can see why you revere the Divine Dragon.\nFew people possess such a special charm.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nI agree! Would you like to take care of the\nDivine Dragon with me?!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06クラン\nI saw you in the Somniel's forest the other day,\nLady Micaiah. What were you doing there?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nI was listening to the birds. They remind me of\nan old friend, and it puts my mind at ease.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nYou look like you feel down, Clanne.\nCan I help you with anything?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nI'm thinking about the Divine Dragon and, well,\nmy heart kind of aches because of it.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nImagine sleeping that long, then you wake up\nand it's just bad thing after bad thing...\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nThat's sweet. Let us both help to end the war,\nso everyone can have peace in their life.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nYou always look like you're having\nso much fun, Framme.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06フラン\nI am! I mean, I can't put a smile on the Divine\nDragon's face if I'm not wearing one myself.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06フラン\nLady Micaiah, what sort of attendant do you\nlike best? I mean, what qualities wow you?\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nOh, Framme, you needn't change a thing. The\nDivine Dragon likes you exactly as you are.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06フラン\nLady Micaiah! No matter what anyone says, I'm\nthe Divine Dragon's number one fan! Right?!\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nWhat's this all about, Framme?\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nIt's just, there are so many more Divine Dragon\nfans these days. What if I lose my spot?\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nHmm, I see. Why don't I read your fortune?\nI think it might offer you the guidance you need.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nI'm happy to fight alongside one of the\nEmblems our kingdom kept safe.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nI feel the same way. I wondered what you might\nbe like, and you're as amazing as I hoped.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nI hear you can sense people's thoughts. Bet it\nwon't work on me! I've been training.\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nOh? You seem pretty sure about that.\nWhy don't we test that claim?\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nI train and train, but I just can't seem to build\nmuscle. Any idea why that might be?\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nMaybe it's your constitution? My oldest friend\nhad the same problem.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nI know! I'll get the whole kingdom together to\ncome up with something to push past my limits!\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nWow, you're serious about this. It's good to\nbe committed, but be careful not to overdo it.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nブシュロン\nAh, um...Micaiah, right? Could I trouble you to\ntell me my fortune?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nBoucheron, if you're lost, you can just ask me\nfor directions.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nブシュロン\nOhoho, I love fishing. When my line is cast, I\ncould sit there without a thought in my head.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nI know what you mean. For me, I can relax like\nthat in the shade of the forest's trees.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nYou seem a little down. What's the matter?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nWell, Prince Alfred was saying, once again, how\njealous he is of my physique.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nHe wished he could "trade everything from the\nneck down." Now I'm stuck with that image.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nHmhm! I can see why he'd wish that, but I think\nyou're both perfect the way you are.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nWhat's that you drink after your workouts?\nI've seen Alfred downing it too.\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0C\nエーティエ\nIt's a special drink made with a raw egg. If I'm\nright, it should help build muscle mass!\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nWhat a nice scent...and such pretty flowers!\nIsn't your hometown famous for its gardens?\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nエーティエ\nYeah, I get them delivered sometimes. Not so\nmuch now, though, what with the war.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nWow, your abs are so...toned. That must have\ntaken a lot of work.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0C\nエーティエ\nYeah, I guess so. I just like giving my abs\nsome tough love.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nHow so?\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0C\nエーティエ\nBy working them hard! The rougher the routine,\nthe better that exhaustion feels afterward.\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nSo you were in Firene the whole time, Micaiah?\nI was quite surprised when Mother told us.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nMy Emblem Ring was something of a secret.\nBut I'm glad the secret's out, so we can talk!\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nPrayer alone won't bring peace. We must keep\nfighting, no matter how thorny the path.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nYou're right. We have to fight together. I'll back\nyou up anytime, Céline.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nIs it true that you can foresee the future? Do\nyou find that to be a blessing or a burden?\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nI've had some unpleasant visions, if that's what\nyou mean. They made it hard to stay positive.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nBut they don't necessarily come true. We have\nthe power to shape our own tomorrow.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x0A\x08セリーヌ\nI believe it is your ability to see silver linings─\nrather than the future─that makes you special.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nYou have a few young brothers, right? If they're\nlike the boy I knew, they must be a handful.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x06\x04ルイ\nAh, how I envy this boy you mention! My early\nlife was noticeably lacking in female friends.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x06\x04ルイ\nWhat a joy it is to look upon you, Micaiah. My\nheart swells to behold such a radiant creature.\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nWow, I usually don't get that kind of reaction\nwhen it's just me! You must be in a good mood.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nWhat was that unusual blend of tea you made\nthe other day? It was so dark.\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x06\x04ルイ\nThat would have been black tea steeped in\ngrape juice. It's how we brew it back home.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nGrape juice? That's an interesting way of doing\nit. Is there some reason for that?\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x06\x04ルイ\nThey say it's very effective at keeping one\nlooking young. We can't all be Emblems, alas.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06クロエ\nWow, Micaiah! You're looking radiant as ever.\nAll you need now is a sweet little bird.\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nHmhm! Thank you! You're looking like\nsomething out of a storybook yourself.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06クロエ\nI got my hands on some salted, fermented fish.\nI hear it tastes good enough to knock you flat!\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nNever mind the taste. I'm worried the smell will\nbe enough to do the job...\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nWhat made you become a knight, Chloé?\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06クロエ\nI loved the idea of a young noble on pegasus-\nback protecting the princess, like in fairy tales.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nOh, but I take it seriously too! I'm going to fight\nfor a peaceful Firene, if you'll fight with me!\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nThat sounds like a lovely tale. I'd be happy to\nplay a part in it.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nI hear you're well-versed in magic, Micaiah. And\nyou're a skilled healer as well? How impressive!\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nSuch direct praise! I'm a bit embarrassed...but\nI do appreciate your kind words, Diamant.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nAnother day of training? Your diligence is\nremarkable, Diamant.\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nCommanders don't get days off. Daily training is\nthe best way to keep the odds in our favor.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nAs a future king, I've studied all major subjects:\npolitical theory, economics, martial arts...\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nBut magic? I could never get a handle on magic.\nIt seems beyond me...\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nSo...even the crown prince of Brodia has room\nfor growth. That's a bit surprising!\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nIf magic concerns you, just count on me. I'll do\neverything I can to support you in battle.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08アンバー\nMicaiah! Is it true that you have extra powers\nbeyond being an Emblem? That's so, SO cool!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nI can see glimpses of the future...but not all of\nthem are pleasant or "cool."\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08アンバー\nThey say the Solmic desert is home to a rare,\norange bird that can bring people joy. Is it true?\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nOh, I very much hope so! I love birds. We should\ngo searching for that legend together someday!\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08アンバー\nI've been wondering, Micaiah... Don't you ever\nget cold? Your clothes look so light!\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nThat's not a problem for Emblems like me, but\nI appreciate your concern.\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0A\x08アンバー\nWell, if you ever feel cold, I'll get you a sweater\nfrom home. They're made from alpaca wool!\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nOh! Thank you, Amber. I may not feel the cold,\nbut your kindness never fails to warm my heart.\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nIt's said even a roadside pebble can shine like a\ngem with enough polish. Isn't that inspirational?\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nThat does apply to people as well, but in my\neyes, Jade, you already shine like a gem.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nDiamant was guffawing at a book earlier, and\nhe told me you're the author! What is it about?\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nIt's the saga of a certain alpaca wrangler. I just\nfinished the fifth volume. Sounds like a hit!\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nI hear you once led a band of freedom fighters\ncalled...the Dawn Brigade? Was that the name?\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nThat's right. But we weren't as pristine as that\nmakes us sound. Some mistook us for bandits...\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nYou? Mistaken for a common, blade-licking\nbandit?! That's... Sorry, I just...can't picture it!\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nNo need to hold back! It is pretty funny. Despite\nthat confusion, most still called us "virtuous."\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nスタルーク\nI hope I don't let you down too badly, Lady\nMicaiah. I'm nothing compared to my brother...\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nYou remind me of someone. But you're more...\nI suppose "strong-willed" is the polite phrase.\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nAlcryst, you should try and step back and better\nappreciate your skills. Can you do that for me?\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x0C\nスタルーク\nBut if I do that, I might realize I'm even more\npathetic than I thought... I can't risk it!\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nスタルーク\nMy brother is one in a million. Strong, wise,\nkind... He's truly a wonder to behold.\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nOh, but, Alcryst...you're a wonder as well.\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x0C\nスタルーク\nMe?! No, no─I'm just leftover scraps compared\nto Diamant.\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nYour strong, wise, kind older brother disagrees.\nWould you add "lying" to that list of words?\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nYour world differs from my own, but our forests\nshare the same stillness. I pine for that quiet...\x0E\x04\x00\x00
MID_GR_Lapis_C_#002	\x0E\x03\x02\x08\x06ラピス\nYes! I love the forest too! I could spend a whole\nday there crafting fur─ I mean...birdwatching?\x0E\x04\x00\x00
MID_GR_Lapis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ラピス\nI hope we can end this war soon. The longer the\nfighting drags on, the more commonfolk suffer.\x0E\x04\x00\x00
MID_GR_Lapis_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nI see why Alcryst enjoys your company, Lapis.\nYou have a kind and righteous heart.\x0E\x04\x00\x00
MID_GR_Lapis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nIs there a reason you're sneaking around, Lapis?\x0E\x04\x00\x00
MID_GR_Lapis_A_#002	\x0E\x03\x02\x08\x06ラピス\nMicaiah?! I, uh, just got a bunch of taters from\nhome. Er, the market! Yep, that's where I was...\x0E\x04\x00\x00
MID_GR_Lapis_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nWow! You have so many! I just love potatoes.\nThere's no bad way to cook them, you know?\x0E\x04\x00\x00
MID_GR_Lapis_A_#004	\x0E\x03\x02\x08\x06ラピス\nYou're a fellow tater fan? I never would have\nguessed. You're my kind of mysterious, Micaiah!\x0E\x04\x00\x00
MID_GR_Citrinica_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nThis world must seem so confusing to you and\nyour fellow Emblems. If I can ever help, I shall.\x0E\x04\x00\x00
MID_GR_Citrinica_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nHow considerate! Thank you, Citrinne. I might\ntake you up on that.\x0E\x04\x00\x00
MID_GR_Citrinica_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nYou're carrying an awful lot of candy, Citrinne.\nAre you on your way to some sort of festival?\x0E\x04\x00\x00
MID_GR_Citrinica_B_#002	\x0E\x03\x02\x0C\nシトリニカ\nOh, this? I just discovered that a friend of mine\nhas a sweet tooth. I'm on my way to spoil them!\x0E\x04\x00\x00
