MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04エル\nYour hair shines bright like fire. It is a beacon\non the battlefield.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x06\x04ロイ\nAmazing. I'm just a cub in comparison. I can\nonly hope to become like him someday.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nラファール\nI thought I had acquired power and strength, yet\nI am still...weak. Is it strange to want more?\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x06\x04ロイ\nI don't think power in itself is good or bad, so\nseeking it doesn't strike me as strange.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x06\x04ロイ\nI have also needed power to end turmoil. The\nimportant thing is knowing how to wield it.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nI have no intentions of straying from my path.\nI will remain true, as you have shown.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nWhat is it, Roy? You keep looking my way. Is\nsomething amiss? You can be honest with me.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x06\x04ロイ\nYou're a Mage Dragon, right? Those exist in my\nworld, though I'm not aware of any like you.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nI heard you haven't been sitting down for meals\nwith the others. Is everything OK, Zelestia?\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, I just get so busy. I should sit down for a\ngood meal. Thank you for watching out for me.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nMy friends are my family. When I think of losing\nsomeone again, I become so afraid.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x06\x04ロイ\nI worried when I was put in charge of the army.\nThe support of my friends gave me courage.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x06\x04ロイ\nLet me support you and help alleviate your\nfears, just as my friends did for me.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nThank you, Roy. You're family to me as well.\nI look forward to having you fight by my side.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nI've never seen clothes quite like yours,\nGregory. Is there a meaning behind them?\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nIn truth, I don't like appearing so frightening.\nBut it deters people from messing with me.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nI've been devising a strategy for escaping while\nsurrounded. Care to give me your thoughts?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x06\x04ロイ\nOf course. I may not look it, but I've led an\narmy before. I'd be happy to help.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nSay, Roy... Pain and fear are rather unpleasant,\naren't they?\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x06\x04ロイ\nThey are indeed. Pain and fear cause so much\nsuffering. My constant wish is to prevent that.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nMine too. And I guess to achieve that, I can't\njust run away. I have to stand up for peace.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x06\x04ロイ\nI feel just the same. Allow me, then, to aid\nyou in your quest to bring peace to this world.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nThe way you fought was impressive...expertly\ntaking down enemies, while defending allies.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nI'm not worthy of such praise. I only did what\nneeded to be done.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nマデリーン\nYou're the one who deserves praise. Even\noutside of battle, you act with poise and grace.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x06\x04ロイ\nWhen you say it like that...I'm a little\nembarrassed. But thank you.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nマデリーン\nYou're nobility, but you always act so humbly\ntoward everyone.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nNot just that, but your swordsmanship is\nincredible. How do I become so remarkable?\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x06\x04ロイ\nI don't think I compare to my father yet, but my\nbattle experience might speak for itself.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x06\x04ロイ\nIf you're interested, I'll teach you what I know,\nand we can strive to bring peace to this world.\x0E\x04\x00\x00
