MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08リュール\nSoren, do you have a moment to talk? I'd like\nto learn more about the world you're from.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06フラン\nThanks for your advice the other day. Now I can\ncheer on the Divine Dragon to help out!\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nIs that so?\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nYeah. But I was kind of surprised. I thought you\nwould have told me not to be so loud.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nIf your raucous screeching benefits the army\nsomehow, then I have no issue with it.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nI have confidence in my strength, but I need\nhelp with tactics. I'll be relying on you for that.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nIf you must.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWhat do you think, Soren? Are people\ninherently good or bad from birth?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nAssume bad. Even if the person is good, you\nwill suffer fewer losses if you assume the worst.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nThere you are. It's irresponsible to disappear in\nthe middle of a war council.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nSorry about that. I went for a run. That's how\nI get all my best ideas.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0A\x08セネリオ\nI have yet to see even a hint of a good idea\ncome out of you.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nGuess I need to run even more, then! I'll double\nmy pace. Thanks for the advice!\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nブシュロン\nIt's reassuring to have the former adviser to a\ngroup of mercenaries join our army.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nIt would be unwise to get your hopes up\ntoo much.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nブシュロン\nI need help with something. How do I keep from\ngetting lost all the time?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nHave you considered simply never\ngoing outside?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nブシュロン\nI tried your advice, but my body's getting real\nrusty staying inside. Any other ideas?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nWell...you could have a chaperone at all times.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nGreat idea! I was just about to go fishing.\nLet's go!\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nI wasn't offering...\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nエーティエ\nI got you this as a token of our friendship. It's a\nmuscle stimulant that'll pep you right up!\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nThat's...kind of you. But I find my current\ndegree of "pep" to be sufficient.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nエーティエ\nWant to join me for a run? You'll be in a better\nmood if you get your body moving.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nI am not in a bad mood. This is just how I am.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nエーティエ\nIt must be pretty hard on you too, huh? You\ndon't have to hide it─I can tell we're the same.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nExcuse me?\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nBeing unable to put on muscle, no matter how\nmuch you train... It can be depressing.\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nI'm afraid I have no idea what you're\ntalking about...\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nI am so grateful for your support, Soren. Would\nyou join me for tea?\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nAn Emblem cannot eat or drink, so I must\ndecline your invitation.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nSo...this is what you call potpourri?\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nDoesn't it smell lovely? It would make me so\nhappy if you began to enjoy this world.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nI've always wanted to protect my homeland.\nThat's why I learned how to fight.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nBut no matter how strong I get, there are some\nwho say that is the prince's duty, not mine.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セネリオ\nThat's because those people don't understand\nthe meaning of royalty.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nIt is the duty of all royalty to defend the people.\nThat's what taxes pay for.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x06\x04ルイ\nThere is a certain aura about you... I could just\npicture you standing beside a special someone.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nWhy are you looking at me like that? I would\nprefer if you left me alone.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x06\x04ルイ\nI'm an expert at brewing tea, you know. That\nmay be a surprise, since it's not a knightly skill.\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nNot at all. I have known other knights who were\nreasonably skilled cooks.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x06\x04ルイ\nLovely weather again today, isn't it?\nIs everything well in your world?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nYou needn't go out of your way to befriend me.\nI have no intention of getting...familiar.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nI want to ensure my dear friends are enjoying\nthemselves. That's just who I am.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nI see. Quite an eccentric one, aren't you?\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06クロエ\nYou've experienced two different worlds before\nthis one, right? Was the food similar to ours?\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nAs an Emblem, I can't compare their flavors, but\ntheir appearances didn't seem that different.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06クロエ\nWhen you were able to eat food, what flavors\ndid you prefer?\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nIf it was edible, I'd eat it. One can't afford to be\npicky in war.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06クロエ\nYou said that you would eat anything, but was\nthere ever a flavor you found strange?\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nNo, not especially. Although...\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x0A\x08セネリオ\nThere was a strength-boosting drop that had an\nodd flavor.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06クロエ\nOh! That sounds intriguing. Could you tell\nme more?\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nIn the eyes of a country and its people, what\ntraits do you think an ideal king should have?\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nIs that a question for a mercenary? Do you ask\nthe hands and feet how the head should act?\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nYou would not give an opinion on an ideal king.\nWhat if you were to serve a foolish king?\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nIf a king refused to listen to good advice, I\nwould simply take my leave.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nI understand you were an exceptional mage who\nacted as adviser to a mercenary group.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nI don't know about exceptional, but I was\nwell-learned in magic.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nWielding a delicate skill like that is worthy of\npraise. I tried once, but it was far too difficult.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nI just happened to have the aptitude. No praise\nis necessary.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08アンバー\nI'm the hero of the alpaca hamlet! It's a pleasure\nto formally make your acquaintance!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nLikewise... I see you are in good spirits.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08アンバー\nI'm going to look for the legendary gold nuggets\nthat sleep in the deserts of Solm!\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nThe abandoned mine leading into Solm looks as\nif it could still be usable, but be careful.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08アンバー\nSoren! Can you suggest a good training method\nfor increasing speed?\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nFor alpacas or for yourself?\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0A\x08アンバー\nBoth, of course! Me and the alpacas! You're\nreally smart. You must know a good way.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nI won't be much help. You should ask\nsomeone with more alpaca experience.\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nHm? This book... The Adventures of Amber the\nDeliberate Dummy?\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nThat, ah, "confidential text" is mine. You have\ndone me a great service by finding it.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nAh, about that "confidential text" you found the\nother day... You didn't read any of it, did you?\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nYour tale starring Amber as the protagonist?\nI did skim through some pages you left open.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nI have been called unfriendly, but...it isn't as if\nI dislike having fun.\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nI understand. You aren't the expressive type.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nIt seems like you might relate to my experience,\ngiven that you read my book to its conclusion.\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nYou're overthinking things. Isn't it enough that\nwe support each other on the battlefield?\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nスタルーク\nCould I trouble you to chat for a while? I know\nit must be a pain to talk to someone like me.\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nYou're not particularly painful, but I'd still\nrather avoid pointless small talk.\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nスタルーク\nOh... I want to ask about battle tactics, but...is\nthis topic important enough to Lord Soren?\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nIf you have business with me, out with it. Being\nstared at like that is unnerving.\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nスタルーク\nI know you must be terribly busy, and I, ahh...\nWell, you see... I'd really like to spar with you!\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nAll right.\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x0C\nスタルーク\nThat's OK, I... Wait. What?! You mean you're\nactually going to accept?!\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nIf you expect me to refuse, then don't ask. It is\nalways interesting to see who will be victorious.\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nWhy are you gathering those old weapons and\nbits of armor that are no longer in use?\x0E\x04\x00\x00
MID_GR_Lapis_C_#002	\x0E\x03\x02\x08\x06ラピス\nI'm using them as materials for crafting. It's\nfrugal...ah, logical to make things for yourself?\x0E\x04\x00\x00
MID_GR_Lapis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nWhere are you going? All of our training\nfacilities are here on the Somniel.\x0E\x04\x00\x00
MID_GR_Lapis_B_#002	\x0E\x03\x02\x08\x06ラピス\nI'm going to the forest to hunt for bears. I mean\nto find a sparring partner as strong as a bear!\x0E\x04\x00\x00
MID_GR_Lapis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06ラピス\nI cut my hand repairing a weapon. Even after\nputting on this salve I made, it still hurts.\x0E\x04\x00\x00
MID_GR_Lapis_A_#002	\x0E\x03\x02\x08\x06ラピス\nYou seem annoyed. Let me guess, you're going\nto tell me not to scrimp so much?\x0E\x04\x00\x00
MID_GR_Lapis_A_#003	\x0E\x03\x02\x0A\x08セネリオ\nEven we mercenaries had to repair things on\nour own sometimes. But you take it too far.\x0E\x04\x00\x00
MID_GR_Lapis_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nAs a soldier, you should leave repairs to the\nprofessionals. Or train to become a blacksmith.\x0E\x04\x00\x00
MID_GR_Citrinica_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nYou have such a charming air about you, Soren.\nWhy not showcase it a little more?\x0E\x04\x00\x00
MID_GR_Citrinica_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nI'm too preoccupied with minding my own\nbusiness. You should try it.\x0E\x04\x00\x00
MID_GR_Citrinica_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nI'm sorry if I upset you before. Is there anything\nI can get for you, by way of apology?\x0E\x04\x00\x00
MID_GR_Citrinica_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nThe things I want can't be bought with money.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nI suppose I should have guessed that an\nEmblem wouldn't want material things.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#002	\x0E\x03\x02\x0C\nシトリニカ\nThank you for telling me honestly. I appreciate\npeople like you, Soren.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#003	\x0E\x03\x02\x0A\x08セネリオ\nIt doesn't matter what you think, but...frankly,\nI find people like you difficult to handle.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nFor some reason, when I meet someone too\npure...it just seems to irritate me.\x0E\x04\x00\x00
MID_GR_Ivy_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nIn the world I come from, my bracelet was\nentrusted to the kingdom of Elusia.\x0E\x04\x00\x00
MID_GR_Ivy_C_#002	\x0E\x03\x02\x0A\x08アイビー\nI suppose that is good to know. Not that it will\nchange anything between us.\x0E\x04\x00\x00
