MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x06\x04エル\nHow curious that you, who once served a Divine\nDragon, now fight alongside a Fell Dragon.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nWhat do you mean? My disposition is nothing\nshort of sunny. Surely you agree.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nラファール\nWhy is it that you try to reason with our\nenemies? Surely you see the futility?\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x08\x06セリカ\nYou can't say it's pointless if you never try. It is\nworth trying, if it could mean avoiding battle.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0C\nラファール\nPerhaps. But do bear in mind that I am the one\nwho is attacked when negotiations fail.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x08\x06セリカ\nYou are right. I will try to be careful. I hope that\nour unique skills will make us into a good team.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nCelica, I admire how strong you are. The way\nyou wield fire magic is particularly impressive.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06セリカ\nOh, thank you, Zelestia. It's been a while since\nI've been given such effusive praise.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nI heard you were a priestess of Earth Mother\nMila. I would love to hear a story about that.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06セリカ\nI have so many memories from my time at the\npriory on Novis. It could be a very long story.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nThank you for sharing your stories. Are you\nlonely now, without the person you mentioned?\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06セリカ\nI'd be lying if I said I wasn't, but I know he's\nout there somewhere, doing what he must.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06セリカ\nBesides, with you and the others here, I rarely\nhave time to get bored or lonely.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, Celica! What a courageous attitude! You\nneedn't worry─we'll always be here for you!\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nGregory, did you see that pile of stuffed toys?\nThey're delightful! I wonder whose they are...\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nOh, um...those are mine. I, uh, I like collecting\nthings that are soft and cute.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nI've heard there's a rather cute trinket shop in\ntown. Would you like to go together?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nCelica...I'm surprised you remembered I'd be\ninto a shop like that. I'd love to go with you!\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nWhy do you think people fight? It would be so\nmuch nicer if we could live peacefully together.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06セリカ\nI suppose there are many reasons...but perhaps\nit is because we all have something to protect.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06セリカ\nAnd so...we grit our teeth and fight to protect\nthat something. Do you feel similarly?\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nI...I think so. I guess I just have to keep fighting\nand trying to cause as little pain as possible.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nThat armor is so cute. It really looks good\non you.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nOh, really? To be honest, I do like this color...\nAh... I appreciate the compliment.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nマデリーン\nI heard you aren't fond of fighting. I apologize\nfor using your power if that's true.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x08\x06セリカ\nThank you. But it's all right. If we must fight,\nI'm fully prepared to do so.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nマデリーン\nHmm... How can I learn to always act with\ncomposure the way you do?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x08\x06セリカ\nAm I that composed? I'm often told that I need\nto think more before acting.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06セリカ\nBut if I seem that way to you, maybe it's\nbecause I've learned from so many failures.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nOf course, I'll try to learn from my mistakes too!\nI'd love to hear some of your stories sometime.\x0E\x04\x00\x00
