MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nJade! Face me! Show me your skill in battle!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ジェーデ\nNot at all. My upbringing was rather peaceful\nand quiet, actually.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ジェーデ\nMy father is a gemologist, and my mother is an\nartisan. She makes the most beautiful jewelry...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06カゲツ\nSo they are untrained in battle.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ジェーデ\nThat's right. When I was younger, I helped my\nmother with her work.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ジェーデ\nUnfortunately, I turned out to be all thumbs...so\nI eventually took a job guarding our local mine.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nThis change is quite sudden.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nIs it? It didn't feel that sudden. I've always\nenjoyed physical tasks.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nBandits would keep trying to steal from that\nmine...so I got plenty of exercise. Fun times.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06カゲツ\nAh. Now I understand.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ジェーデ\nI guarded that mine for years and years... Folks\nin town started calling me the "Iron Wall."\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ジェーデ\nEventually a royal soldier heard about me and\nsuggested I enter Brodia's fighting tournament.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06カゲツ\nAnd you won it straightaway, I'd imagine.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ジェーデ\nI fought my way to the top spot, met Prince\nDiamant, and officially became his retainer.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\nWhoops. I meant to ask you more questions, but\nI ended up going on and on about my own past.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ジェーデ\nI guess it's just like you said, Kagetsu. We each\nhave our stories...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06カゲツ\nIndeed. And now that our tapestries interweave,\nthey point us toward our shared future.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ジェーデ\nLike turning the pages of a novel.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06カゲツ\nPrecisely! So when will we have our rematch?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ジェーデ\nJust name a place and time, and I'll be there.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ジェーデ\nI can already tell that, in the novel of my life,\nour duels are sure to be pages worth rereading.\x0E\x04\x00\x00
