MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08リュール\nMauvier, I'm curious. What are some of your\nfavorite things?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nFor example, I've watched you go out of your\nway to help people in town.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nMy past actions serve as evidence that I am\notherwise. I strive now only for penance.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06モーヴ\nI once wished to live a humble life. I followed\nthe Fell Dragon as I was taught.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06モーヴ\nThat path led to my becoming the enemy of\nmany. Most notably, you.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nBut those days are gone...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06モーヴ\nAnything I say will be a weak excuse for my\npart in my own downfall.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06モーヴ\nI failed to stop Lady Veyle or the rampage of\nthe Four Hounds.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06モーヴ\nSo long as I bear those sins, I am unworthy of\nredemption or forgiveness.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06モーヴ\nMy acts of kindness towards the people of this\ntown are only a selfish attempt at atonement.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06モーヴ\nAny words of praise─from anyone, especially\nyou─give me no pleasure. Only suffering.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nHow long do you expect your penance to last?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06モーヴ\nI do not know.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06モーヴ\nI do not think my work will be done, even\nafter death.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06モーヴ\nI am guilty of too much to hope otherwise.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08リュール\nMay I join you as you help the village today?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06モーヴ\nPardon me?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06モーヴ\nIt is inappropriate for the Divine Dragon to\nhelp with such menial tasks.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nI disagree.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06モーヴ\nYou are a strange one.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06モーヴ\nWhy do you feel you must be so kind to me?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nWell, I realized something after spending time\nwith you. We have quite a bit in common.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06モーヴ\nImpossible. You have never engaged in villainy.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nWe are, each of us, unable to resist offering a\nhelping hand to those in need.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nOur only difference? You momentarily strayed\nfrom the path. But now you are home.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06モーヴ\nAre you making excuses for my actions?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nYou can't forgive your past mistakes precisely\nbecause you're a good person.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nThe only fault I can see in your character is that\nyou don't believe you can be good.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nYou don't need to burden yourself with shame\nor seek atonement...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nAll you need to do is trust your friends and\nstand by their side.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nPlease trust me, Mauvier. I want nothing more\nthan to help you.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06モーヴ\nI have made so many mistakes that I have long\ntold myself I am beyond redemption.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06モーヴ\nYet, you make me question my way of thinking.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06モーヴ\nPerhaps the Divine Dragon understands who I\nam better than I do myself.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nOf course not.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06モーヴ\nI accept your offer of help in the village. That is,\nif you are still willing.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nLet's get to it.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06モーヴ\nWhat an odd sensation! My chest feels warm.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08リュール\nThat's happiness. A feeling you deserve, and\none you are about to give to others.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06モーヴ\nWith the Divine Dragon by my side, anything\nis possible.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06モーヴ\nThank you. I would never have found my way\nwithout you.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nThank you for your help today─aiding in the\nrelief of these troubled people.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nGuiding the lost, mediating conflicts... A lot has\nhappened today.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x08\x06モーヴ\nTiring work, but worth it to see people smile.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x08\x06モーヴ\nI've realized my charitable acts were always\npenance to alleviate my own pains. No more.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nI do see you smile more than you used to.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nIt's a wonderful thing, seeing you heal.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x08\x06モーヴ\nI can trust myself─and others─unlike before.\nAnd it is trust that has helped me to find peace.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06モーヴ\nIt is because of you that I have found this truth\nabout myself.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nOh?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06モーヴ\nIs my statement so odd?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nNot at all. I was just thinking how nice it is to\nhear that you are happy.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nI have been considering something... No.\nPerhaps not.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06モーヴ\nDid you just hide something?\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nNo. Not at all. I've not hidden anything.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nOh no...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06モーヴ\nIs this...the Pact Ring? Why would you risk\nhaving something so valuable here?\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nI─ Um... I was...\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x08\x06モーヴ\nDivine One...do you mean to... Will you give\nme this ring?\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nHuh?! I...\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nThis ring marks a bond between myself and\nsomeone I consider very dear to me.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nAsking for this ring is saying you wish to be\nmy partner...\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nIs that what you want?\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x08\x06モーヴ\nIndeed.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x08\x06モーヴ\nYou saved me, body and soul.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06モーヴ\nAt first, I was thankful. Then the feeling grew.\nYou became quite special to me.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x08\x06モーヴ\nWhen I saw the Pact Ring just now, I finally\nacknowledged those feelings.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x08\x06モーヴ\nI realized I should be the one beside you.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08リュール\nMauvier...\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x08\x06モーヴ\nHowever, I fear I am not worthy of this ring.\nNot in this moment.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x08\x06モーヴ\nBut...I will be someday. Will you consider\nmy request?\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nYou know...I've almost offered you this ring\nonce or twice before.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x0A\x08リュール\nYou are brave, fierce, and loving. Your kind\nheart is why I'm drawn to you.\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x0A\x08リュール\nStill, I could never work up the courage. I'm so\nglad you asked.\x0E\x04\x00\x00
MID_RELIANCE_S_#037	\x0E\x03\x02\x0A\x08リュール\nI wonder what Veyle would think of this?\x0E\x04\x00\x00
MID_RELIANCE_S_#038	\x0E\x03\x02\x08\x06モーヴ\nLady Veyle recently mentioned that she cares\nabout us both and our happiness.\x0E\x04\x00\x00
MID_RELIANCE_S_#039	\x0E\x03\x02\x0A\x08リュール\nHeh, did she? How very Veyle to see what\nneither of us would admit.\x0E\x04\x00\x00
MID_RELIANCE_S_#040	\x0E\x03\x02\x0A\x08リュール\nWell then, it is time for me to muster my\ncourage after all.\x0E\x04\x00\x00
MID_RELIANCE_S_#041	\x0E\x03\x02\x0A\x08リュール\nMauvier, please accept this ring and become\nmy partner.\x0E\x04\x00\x00
MID_RELIANCE_S_#042	\x0E\x03\x02\x08\x06モーヴ\nI accept, and I am honored.\x0E\x04\x00\x00
MID_RELIANCE_S_#043	\x0E\x03\x02\x0A\x08リュール\nI hope you will cherish this ring and our bond\nforever and always.\x0E\x04\x00\x00
MID_RELIANCE_S_#044	\x0E\x03\x02\x08\x06モーヴ\nI shall, Divine Dragon \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#045	\x0E\x03\x02\x08\x06モーヴ\nI thought I would never feel happiness. Now I\nknow nothing else. I will always be by your side.\x0E\x04\x00\x00
