MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nI sense the warmth you feel for your younger\nbrother. I know we're going to get along fine.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nI'm sorry. I heard you were a little brother, and\nI was thinking you must have been very cute.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nRafal? I worry that I'm failing as an elder sister.\nEspecially compared to Lady Nel.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nA failure? What is this nonsense? Did you not\ncare for a younger sibling in your own world?\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nIn a manner of speaking. He found me─sought\nme out. I always wondered why he did that.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nIt is no mystery. You were important to him.\nElder siblings are not the only ones who care.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nI heard you can read fortunes, Micaiah. That's\nexciting! I look forward to talking to you more.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nLikewise, Zelestia. From you...I sense gentleness\nand compassion. It will always be part of you.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nDon't take this the wrong way, but you seem\ntoo unassuming to be a commander of armies.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nYou're not the first to think that. I just ended up\nbeing put on a pedestal.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nSo you ended up being put on a pedestal. What\nwas the master you tried to protect like?\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nThe king was very gentle, and put his people\nabove all else. I worried that he was too soft.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nThat's the downside to kindness. In a time of\npeace, I'm sure he'd be revered as a wise king.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nThank you for telling me more about you. Let's\nshare our favorite foods or something next time.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nI really appreciated your help in that last battle,\nGregory. I will be relying on you more often.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nThat's kind of you to say, but don't get too\nused to it. I might end up disappointing you.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nYour choice to retreat was very impressive.\nI hope I can become that discerning in battle.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nIf you keep on flattering me like that, I might\nstart believing I'm actually getting stronger...\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nI heard that you were forced to fight in your\noriginal world. Why didn't you just run away?\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nI couldn't have, even if I wanted to. The strange\nthing was, heading into impossible battles...\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nI...changed. I had to, in order to survive. I hated\nfighting so much, and yet I kept doing it.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nYou seem so gentle, but you're still a warrior.\nWell, if you ever want to run, I won't judge you.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nマデリーン\nI heard you can see the future. You'd have no\nfear on the battlefield with such power!\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nSorry to disappoint you, but I'm unable to see\nthe future in sufficient detail.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nMadeline, I'm concerned... How is your injury?\nLet me see how it's looking.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nI'm fine now. Whoa! I can tell your hands are\nwarm even though I can't touch them.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nマデリーン\nMy training hasn't been as productive as I want\nit to be lately. How can I become even stronger?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nThere's no fast way to become stronger. You\njust carry on doing your best, every day.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nHaving seen you fight to protect those you hold\ndear...I think you're already a splendid knight.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nSuch praise would be too much normally, but\nI'm happy to hear it. I'll continue doing my best!\x0E\x04\x00\x00
