MAID_LueurWearM	신룡의 아들 평상복
MAID_H_DiamandWear	브로디아 왕국의 왕자 디아만드의 평상복. 활동성이 좋은 데다가\n불에도 강하고 해지지도 않는 튼튼한 소재로 만들어졌다.
MAID_UmberWear	알파카 블루종
MAID_H_UmberWear	디아만드의 신하 앰버의 평상복. 등과 왼쪽 가슴의 귀여운 자수는\n앰버의 고향에 있는 알파카를 모델로 삼았다.
MAID_JadeWear	철벽의 집필복
MAID_H_JadeWear	디아만드의 신하 제이데의 평상복. 가죽 멜빵이 집필할 때 자세를\n바로잡아 준다. 활동성이 좋아 소재 찾기 산책에도 적합하다.
MAID_StalukeWear	인화 왕자의 옷
MAID_H_StalukeWear	브로디아 왕국의 왕자 스타루크의 평상복. 스타루크는 형님과\n비슷한 옷이지만 같은 옷을 입어도 이렇게 다르다니…라고 생각한다.
MAID_LapisWear	고향의 에이프런
MAID_H_LapisWear	스타루크의 신하 라피스의 평상복. 계속해서 수선하며 오랫동안 입고 있다.\n세심하게 수놓은 꽃 모양 자수가 특징이다.
MAID_CitrinicaWear	현란한 재킷
MAID_H_CitrinicaWear	스타루크의 신하 시트리니카의 평상복. 고급 모피로 만든 가죽 재킷.\n허리띠에는 대공가의 유서 깊은 부적이 달려 있다.
MAID_IvyWear	과묵한 왕녀의 옷
MAID_H_IvyWear	이르시온 왕국의 왕녀 아이비의 평상복. 이상적인 착용감을 구현하기 위해\n시행착오를 거듭하여 만든 수작 드레스. 의외로 방한이 뛰어나다.
MAID_ZelkovaWear	어둠의 벨트의 옷
MAID_H_ZelkovaWear	아이비의 신하 젤코바의 평상복. 둘둘 두른 벨트는 급소 보호 목적이라는데\n진위는 불명. 목에 걸고 있는 의미심장한 열쇠는 그냥 장식이다.
MAID_KagetsuWear	주먹밥 하카마
MAID_H_KagetsuWear	아이비의 신하 카게츠의 평상복. 카게츠의 고향에서 주로 입는 옷이다.\n그려져 있는 주먹밥의 속은 명란, 연어, 매실, 가다랑어다.
MAID_HortensiaWear	귀여운 왕녀의 옷
MAID_H_HortensiaWear	이르시온 왕국의 왕녀 오르텐시아의 평상복. 모양과 장식에 힘을 준\n귀여움의 결정체. 아이비의 평상복과 같은 원단이 일부에 사용됐다.
MAID_RosadoWear	랩스커트
MAID_H_RosadoWear	오르텐시아의 신하 로사도의 평상복. 로사도가 직접 여기저기 귀엽게\n수선해서 애착이 있는 옷. 사실 아버지한테 물려받았다.
MAID_GoldmaryWear	자수 원피스
MAID_H_GoldmaryWear	오르텐시아의 신하 골드마리의 평상복. 골드마리는 청초하면서도 화려하지\n않은 선에서 아름다움을 최대한 끌어내는 옷이라 죄송해요…라고 말했다.
MAID_MisutiraWear	화려한 왕녀의 옷
MAID_H_MisutiraWear	솔룸 왕국의 왕녀 미스티라의 평상복. 가벼운 옷감으로 만들어져\n시원하고 활동하기 편하다. 의외로 화기에도 강해 모닥불에도 안전하다.
MAID_MerinWear	애랑의 부츠 인
MAID_H_MerinWear	미스티라의 신하 메린의 평상복. 늑대 꼬리는 정교한 모조품이다.\n기쁠 때는 어째서인지 좌우로 흔들리기도 한다.
MAID_PanetoneWear	고딕 드레스
MAID_H_PanetoneWear	미스티라의 신하 파네토네의 평상복. 원래는 청초한 이미지의 드레스였지만\n날뛰다 보니 망가져서 형형색색의 실로 어떻게든 수선했다.
MAID_FogatoWear	상쾌한 왕자의 옷
MAID_H_FogatoWear	솔룸 왕국의 왕자 포가토의 평상복. 신분이 들통날 위기에 처하면\n머플러를 얼굴에 둘둘 감아서 여행자 행세를 한다.
MAID_PandoroWear	연회 재킷
MAID_H_PandoroWear	포가토의 신하 판도로의 평상복. 연회에도 자주 입고 가는 옷으로\n언제 어디서든 기도할 수 있게 스톨을 두르고 있다.
MAID_BonetWear	셰프의 에이프런
MAID_H_BonetWear	포가토의 신하 보네의 평상복. 요리할 때 입는 옷인데도\n소스 자국 하나 없이 깔끔하다.
MAID_AnnaWear	설국 니트
MAID_H_AnnaWear	안나의 평상복. 복슬복슬한 니트 소재로 만들어져 따뜻하다.\n눈이 많이 내려도 춥지 않고 쾌적하게 지낼 수 있다.
MAID_JeanWear	학생 카디건
MAID_H_JeanWear	장의 평상복. 왼쪽 주머니에는 약초, 오른쪽 주머니에는 공부용 메모장이\n들어 있다. 안경은 패션 안경이다.
MAID_YunakaWear	성인 카디건
MAID_H_YunakaWear	유나카의 평상복. 마을에서 산 지극히 평범한 옷이지만 고급스러운 물건을\n딱 하나 장식한 독특한 스타일이다.
MAID_SeadasWear	댄서의 가운
MAID_H_SeadasWear	세아다스의 평상복. 점술가답게 보이기 위해 궁리를 거듭한 끝에\n마련한 옷이지만, 종종 배가 시리다.
MAID_LindenWear	지식의 로브
MAID_H_LindenWear	린덴의 평상복. 은으로 된 빛나는 로켓 펜던트를 항상 지니고 다닌다.
MAID_SaphirWear	어촌 안주인의 옷
MAID_H_SaphirWear	자피아의 평상복. 스커트는 방수가 되는 특별한 원단으로 만들어졌다.\n물고기를 손질할 땐 장갑을 벗는다고 한다.
MAID_VeyreWear	순백의 스커트
MAID_H_VeyreWear	베일을 위한 평상복. 옷에 별로 관심이 없는 베일을 위해 멋 내는 걸 좋아하는\n동료들이 마련해 준 옷이다.
MAID_MauveWear	경건한 옷깃의 옷
MAID_H_MauveWear	모브의 평상복. 꼼꼼하게 손질해 새것처럼 보인다.\n피레네에서 생산된 원단을 사용했다.
MAID_FileneFormal1	창공 페어 세트
MAID_H_FileneFormal1	피레네의 귀족 의상. 염료를 잔뜩 사용해 염색한 산뜻한 파란색은\n사람들에게 은혜를 베푸는 ｢풍요의 하늘｣을 상징한다. [남녀 페어 세트]
MAID_FileneFormal1M	창공 베스트
MAID_H_FileneFormal1M	피레네의 귀족 의상. 산뜻한 파란색은 ｢풍요의 하늘｣을 상징하며,\n가볍고 튼튼한 소재로 만들어져 착용감이 좋다.
MAID_FileneFormal1F	창공 원피스
MAID_H_FileneFormal1F	피레네의 귀족 의상. 산뜻한 파란색은 ｢풍요의 하늘｣을 상징하며,\n가볍고 튼튼한 소재로 만들어져 꽃밭을 산책하는 데 적합하다.
MAID_FileneFormal2	아침 안개 페어 세트
MAID_H_FileneFormal2	피레네의 귀족 의상. 장인이 피레네의 전통 염색 기법을 살려 아침 햇살 같은\n그라데이션을 멋지게 표현했다. [남녀 페어 세트]
MAID_FileneFormal2M	아침 안개 베스트
MAID_H_FileneFormal2M	피레네의 귀족 의상. 장인이 피레네의 전통 염색 기법을 살려 아침 햇살 같은\n그라데이션을 멋지게 표현했다. 가슴의 꽃은 장식용으로 재배된 것이다.
MAID_FileneFormal2F	아침 안개 원피스
MAID_H_FileneFormal2F	피레네의 귀족 의상. 장인이 피레네의 전통 염색 기법을 살려 아침 햇살 같은\n그라데이션을 멋지게 표현했다. 제사 등의 의례 때 자주 입는다.
MAID_FileneFormal3	물빛 페어 세트
MAID_FileneFormal3M	물빛 베스트
MAID_H_FileneFormal3M	피레네에서 우호의 표시로 보낸 전통 의상. 아름다운 문양과 산뜻한 하늘색은\n｢잔잔한 수면과 같은 평화의 기원｣을 뜻해, 손님을 대접할 때 입기도 한다.
MAID_FileneFormal3F	물빛 원피스
MAID_H_FileneFormal3F	피레네에서 우호의 표시로 보낸 전통 의상. 아름다운 문양과 산뜻한 하늘색은\n｢잔잔한 수면과 같은 평화의 기원｣, 허리띠는 ｢변함없는 인연｣을 뜻한다.
MAID_FileneCasual1	청천 페어 세트
MAID_H_FileneCasual1	피레네의 평민 의상. 어렸을 때부터 재봉 기술을 배우는 풍습이 있는 피레네에서\n연습 삼아 제일 처음으로 만드는 경우가 많은 옷. [남녀 페어 세트]
MAID_FileneCasual1M	청천 질레
MAID_H_FileneCasual1M	피레네의 평민 의상. 어렸을 때부터 재봉 기술을 배우는 풍습이 있는 피레네에서\n연습 삼아 제일 처음으로 만드는 경우가 많다. 칼라가 가장 만들기 어렵다.
MAID_FileneCasual1F	청천 에이프런
MAID_H_FileneCasual1F	피레네의 평민 의상. 어렸을 때부터 재봉 기술을 배우는 풍습이 있는 피레네에서\n연습 삼아 제일 처음으로 만드는 경우가 많다. 꽃 장식 만들 때가 제일 즐겁다.
MAID_FileneCasual2	격자무늬 페어 세트
MAID_H_FileneCasual2	피레네의 평민 의상. 피레네에서 유행하는 무늬의 천이 사용되었다. 무늬의\n완성도에 따라 만든 사람의 성격을 알 수 있다고 한다. [남녀 페어 세트]
MAID_FileneCasual2M	격자무늬 질레
MAID_H_FileneCasual2M	피레네의 평민 의상. 피레네에서 유행하는 무늬의 천이 사용되었다.\n일할 때나 일상생활에서 자주 입는다.
MAID_FileneCasual2F	격자무늬 에이프런
MAID_H_FileneCasual2F	피레네의 평민 의상. 피레네에서 유행하는 무늬의 천이 사용되었다.\n무늬 천이 남으면 손수건으로 만들기도 한다.
MAID_FileneCasual3	꽃무늬 페어 세트
MAID_FileneCasual3M	꽃무늬 질레
MAID_H_FileneCasual3M	피레네에서 우호의 표시로 보낸 전통 의상. 명가에서 이어져 내려오는 기술로\n꽃무늬 자수를 수놓았다. 자수의 색에 따라 다른 의미를 지니고 있다.
MAID_FileneCasual3F	꽃무늬 에이프런
MAID_H_FileneCasual3F	피레네에서 우호의 표시로 보낸 전통 의상. 명가에서 이어져 내려오는 기술로\n꽃무늬 자수를 수놓았다. 만든 사람의 자신 있는 꽃무늬 자수를 알 수 있다.
MAID_BrodiaFormal1	진사 페어 세트
MAID_H_BrodiaFormal1	브로디아의 귀족 의상. 브로디아산 질 좋은 모피와 굴지의 생산량을 자랑하는\n금광석으로 만든 금실을 이용한 자수가 특징. [남녀 페어 세트]
MAID_BrodiaFormal1M	진사 가운
MAID_H_BrodiaFormal1M	브로디아의 귀족 의상. 브로디아산 모피와 금실을 이용한 자수가 특징.\n편의성을 중시해 가운이 짧다.
MAID_BrodiaFormal1F	진사 재킷
MAID_H_BrodiaFormal1F	브로디아의 귀족 의상. 브로디아산 모피와 금실을 이용한 자수가 특징.\n스커트의 검은 부분은 오염에 강한 원단을 썼다.
MAID_BrodiaFormal2	흑옥 페어 세트
MAID_H_BrodiaFormal2	브로디아의 귀족 의상. ｢불굴｣을 의미하는 문양을 수놓았으며 무술 대회 같은\n행사 때 입는 경우가 많다. [남녀 페어 세트]
MAID_BrodiaFormal2M	흑옥 가운
MAID_H_BrodiaFormal2M	브로디아의 귀족 의상. ｢불굴｣을 의미하는 문양을 수놓았다.\n두꺼운 원단으로 만들어져 아주 따뜻하다.
MAID_BrodiaFormal2F	흑옥 재킷
MAID_H_BrodiaFormal2F	브로디아의 귀족 의상. ｢불굴｣을 의미하는 문양을 수놓았다.\n스커트가 무거워서 조심하여 움직여야 한다.
MAID_BrodiaFormal3	백운모 페어 세트
MAID_BrodiaFormal3M	백운모 가운
MAID_H_BrodiaFormal3M	브로디아에서 우호의 표시로 보낸 전통 의상. 하얀 부분은 진짜 가죽이며\n축하 자리에서 주로 입는다. 새겨진 문양은 제작한 가게의 브랜드 로고이다.
MAID_BrodiaFormal3F	백운모 재킷
MAID_H_BrodiaFormal3F	브로디아에서 우호의 표시로 보낸 전통 의상. 하얀 부분은 진짜 가죽이다.\n비슷한 흰색 가죽이 웨딩드레스에 쓰일 때도 있다.
MAID_BrodiaCasual1	동굴 페어 세트
MAID_H_BrodiaCasual1	브로디아의 평민 의상. 효율성을 중시해 채굴 등으로 더러워져도 티가 나지 않고\n세탁이 편하게 만들어졌다. [남녀 페어 세트]
MAID_BrodiaCasual1M	동굴 티핏
MAID_H_BrodiaCasual1M	브로디아의 평민 의상. 효율성을 중시해 채굴 등으로 더러워져도 티가 나지 않고\n세탁이 편하게 만들어졌다. 작업 중에는 모피를 벗을 때가 많다.
MAID_BrodiaCasual1F	동굴 스커트
MAID_H_BrodiaCasual1F	브로디아의 평민 의상. 효율성을 중시해 채굴 등으로 더러워져도 티가 나지 않고\n세탁이 편하게 만들어졌다. 모피는 동물의 뿔을 가공한 장식으로 고정했다.
MAID_BrodiaCasual2	황야 페어 세트
MAID_H_BrodiaCasual2	브로디아의 평민 의상. 목도리는 푹신한 알파카 털을 사용하고 하의 끝자락에는\n각 마을의 전통 문양을 수놓는다. [남녀 페어 세트]
MAID_BrodiaCasual2M	황야 티핏
MAID_H_BrodiaCasual2M	브로디아의 평민 의상. 목도리는 푹신한 알파카 털을 사용하고 하의 끝자락에는\n각 마을의 전통 문양을 수놓는다. 목축에 종사하는 사람들이 주로 입는다.
MAID_BrodiaCasual2F	황야 스커트
MAID_H_BrodiaCasual2F	브로디아의 평민 의상. 목도리는 푹신한 알파카 털을 사용하고 하의 끝자락에는\n각 마을의 전통 문양을 수놓는다. 신발은 잘 미끄러지지 않아 산길에도 안전하다.
MAID_BrodiaCasual3	암벽 페어 세트
MAID_BrodiaCasual3M	암벽 티핏
MAID_H_BrodiaCasual3M	브로디아에서 우호의 표시로 보낸 전통 의상. 오래 쓸 수 있는 소재를 사용했고\n디자인과 기능성 모두 신경 썼다. 목도리는 곰의 모피로 만들었다.
MAID_BrodiaCasual3F	암벽 스커트
MAID_H_BrodiaCasual3F	브로디아에서 우호의 표시로 보낸 전통 의상. 오래 쓸 수 있는 소재를 사용했고\n디자인과 기능성 모두 신경 썼다. 배의 문양은 액을 쫓는 의미가 담겨 있다.
MAID_SolumFormal1	태양 페어 세트
MAID_H_SolumFormal1	솔룸의 귀족 의상. 더운 기후에서도 쾌적하게 지낼 수 있도록 얇은 소재를\n사용해 통풍이 잘된다. [남녀 페어 세트]
MAID_SolumFormal1M	태양 질레
MAID_H_SolumFormal1M	솔룸의 귀족 의상. 더운 기후에서도 쾌적하게 지낼 수 있도록 얇은 소재를\n사용해 통풍이 잘된다. 모래 위에서 걷는 데 지장이 없게 만들어졌다.
MAID_SolumFormal1F	태양 도티
MAID_H_SolumFormal1F	솔룸의 귀족 의상. 더운 기후에서도 쾌적하게 지낼 수 있도록 얇은 소재를\n사용해 통풍이 잘된다. 사막에 나갈 때에는 위에 햇빛 차단용 로브를 걸친다.
MAID_SolumFormal2	새벽 페어 세트
MAID_H_SolumFormal2	솔룸의 귀족 의상. 연회 등 사람이 모이는 곳에서 입으며 의상이 화려할수록\n｢낙원에 가까워진다｣면서 기뻐한다. [남녀 페어 세트]
MAID_SolumFormal2M	새벽 질레
MAID_H_SolumFormal2M	솔룸의 귀족 의상. 연회 등 모임에서 많이 입는다.\n연회 후, 이 복장으로 아침 사막을 산책하는 이도 많다.
MAID_SolumFormal2F	새벽 도티
MAID_H_SolumFormal2F	솔룸의 귀족 의상. 연회 등 모임에서 많이 입는다.\n색이 산뜻해서 춤출 때에 눈에 띈다.
MAID_SolumFormal3	황혼 페어 세트
MAID_SolumFormal3M	황혼 질레
MAID_H_SolumFormal3M	솔룸에서 우호의 표시로 보낸 전통 의상. 솔룸의 유명 설화에 등장하는 왕자의\n옷을 모방한 것으로 ｢부귀영화｣의 의미가 있어 외국에서도 비싸게 거래된다.
MAID_SolumFormal3F	황혼 도티
MAID_H_SolumFormal3F	솔룸에서 우호의 표시로 보낸 전통 의상. 솔룸의 유명 설화에 등장하는 왕녀의\n옷을 모방한 것으로 ｢부귀영화｣의 의미가 있어 직접 만드는 사람도 많다.
MAID_SolumCasual1	저녁뜸 페어 세트
MAID_H_SolumCasual1	솔룸의 평민 의상. 시장에서 싼 가격에 살 수 있는 천을 개성 있게 둘러\n멋을 추구한다. [남녀 페어 세트]
MAID_SolumCasual1M	저녁뜸 스톨
MAID_H_SolumCasual1M	솔룸의 평민 의상. 시장에서 싼 가격에 살 수 있는 천을 개성 있게 둘러\n멋을 추구한다. 친구들끼리 함께 천을 사러 가는 모습이 많이 보인다.
MAID_SolumCasual1F	저녁뜸 새시
MAID_H_SolumCasual1F	솔룸의 평민 의상. 시장에서 싼 가격에 살 수 있는 천을 개성 있게 둘러\n멋을 추구한다. 중요한 날에 좋아하는 색으로 된 천을 두른다.
MAID_SolumCasual2	열사 페어 세트
MAID_H_SolumCasual2	솔룸의 평민 의상. 솔룸 사람에게 가장 친숙한 모래 무늬 천을 두른 것이다.\n신발은 열을 잘 견디는 고급 소재로 만들었다. [남녀 페어 세트]
MAID_SolumCasual2M	열사 스톨
MAID_H_SolumCasual2M	솔룸의 평민 의상. 솔룸 사람에게 가장 친숙한 모래 무늬 천을 두른 것이다.\n신발은 열을 잘 견디는 고급 소재로, 주간에 외출할 때 아껴 가며 신는다.
MAID_SolumCasual2F	열사 새시
MAID_H_SolumCasual2F	솔룸의 평민 의상. 솔룸 사람에게 가장 친숙한 모래 무늬 천을 두른 것이다.\n신발은 열을 잘 견디는 고급 소재로, 사막에서 오랜 시간 걷는 데 적합하다.
MAID_SolumCasual3	모래 언덕 페어 세트
MAID_SolumCasual3M	모래 언덕 스톨
MAID_H_SolumCasual3M	솔룸에서 우호의 표시로 보낸 전통 의상. 끝없이 이어지는 모래 언덕 무늬와\n깊은 밤 같은 색상은 ｢깊게 이어지는 인연｣을 의미해 연회 때 자주 입는다.
MAID_SolumCasual3F	모래 언덕 새시
MAID_H_SolumCasual3F	솔룸에서 우호의 표시로 보낸 전통 의상. 끝없이 이어지는 모래 언덕 무늬와\n깊은 밤 같은 색상은 ｢깊게 이어지는 인연｣을 의미해 선물로도 손색없다.
MAID_IrcionFormal1	에메랄드 페어 세트
MAID_H_IrcionFormal1	이르시온의 귀족 의상. 바람과 눈을 막는 촘촘한 원단과 두꺼운 기모,\n모피를 마음껏 사용한 명품. [남녀 페어 세트]
MAID_IrcionFormal1M	에메랄드 더플
MAID_H_IrcionFormal1M	이르시온의 귀족 의상. 바람과 눈을 막는 촘촘한 원단과 두꺼운 기모,\n모피를 마음껏 사용한 명품. 코트 안에 얇은 옷을 입어도 될 만큼 따뜻하다.
MAID_IrcionFormal1F	에메랄드 로브
MAID_H_IrcionFormal1F	이르시온의 귀족 의상. 바람과 눈을 막는 촘촘한 원단과 두꺼운 기모, \n모피를 마음껏 사용한 명품. 레이스 장식과 단추를 손수 만드는 사람도 많다.
MAID_IrcionFormal2	모직 페어 세트
MAID_H_IrcionFormal2	이르시온의 귀족 의상. 상의는 털실을 겹겹이 짜는 이르시온 전통 기법을\n사용해 1벌을 만드는 데 여러 달이 걸린다. [남녀 페어 세트]
MAID_IrcionFormal2M	모직 더플
MAID_H_IrcionFormal2M	이르시온의 귀족 의상. 상의는 털실을 겹겹이 짜는 이르시온 전통 기법을 \n사용했다. 방수 마술로 마무리한 고가품도 있다.
MAID_IrcionFormal2F	모직 로브
MAID_H_IrcionFormal2F	이르시온의 귀족 의상. 상의는 털실을 겹겹이 짜는 이르시온 전통 기법을\n사용했다. 유명한 가게에서 맞춤 제작하려면 받기까지 수년은 걸린다.
MAID_IrcionFormal3	밤하늘 페어 세트
MAID_IrcionFormal3M	밤하늘 더플
MAID_H_IrcionFormal3M	이르시온에서 우호의 표시로 보낸 전통 의상. 금실과 모피로 밤하늘의 별을 표현한\n기술의 집약체. 평생에 한 번 볼까 말까 하기 때문에 박물관에 기증되기도 한다.
MAID_IrcionFormal3F	밤하늘 로브
MAID_H_IrcionFormal3F	이르시온에서 우호의 표시로 보낸 전통 의상. 금실과 모피로 밤하늘의 별을 표현한\n기술의 집약체. 구하기 힘들기 때문에 가지면 소원을 이뤄 준다고도 한다.
MAID_IrcionCasual1	상록수 페어 세트
MAID_H_IrcionCasual1	이르시온의 평민 의상. 숲에서 야생 동물을 만나도 숨을 수 있게끔 전신이 짙은\n녹색으로 통일되어 있다. [남녀 페어 세트]
MAID_IrcionCasual1M	상록수 인버네스
MAID_H_IrcionCasual1M	이르시온의 평민 의상. 숲에서 야생 동물을 만나도 숨을 수 있게끔 전신이 짙은\n녹색으로 통일되어 있다. 주로 나무꾼들이 입는다.
MAID_IrcionCasual1F	상록수 머플러
MAID_H_IrcionCasual1F	이르시온의 평민 의상. 숲에서 야생 동물을 만나도 숨을 수 있게끔 전신이 짙은\n녹색으로 통일되어 있다. 이르시온에서 가장 역사가 긴 문양이 수놓여 있다.
MAID_IrcionCasual2	신록 페어 세트
MAID_H_IrcionCasual2	이르시온의 평민 의상. 4색의 천을 조합하는 전통 기법으로 만들어졌다.\n완성된 문양은 ｢신생｣을 의미한다. [남녀 페어 세트]
MAID_IrcionCasual2M	신록 인버네스
MAID_H_IrcionCasual2M	이르시온의 평민 의상. 4색의 천을 조합하는 전통 기법으로 만들어졌다.\n문양이 ｢신생｣을 뜻해 이르시온의 짧은 봄 동안 이 의상을 많이 입는다.
MAID_IrcionCasual2F	신록 머플러
MAID_H_IrcionCasual2F	이르시온의 평민 의상. 4색의 천을 조합한 전통적인 기술로 만들어졌다.\n문양이 ｢신생｣을 뜻해 선물에도 적합하다. 머플러는 긴 것이 인기가 많다.
MAID_IrcionCasual3	설원 페어 세트
MAID_IrcionCasual3M	설원 인버네스
MAID_H_IrcionCasual3M	이르시온에서 우호의 표시로 보낸 전통 의상. 설국의 아름다움을 표현한 문양은\n고대 마법진의 일부라고 여겨지며, 마술이 번창한 이르시온을 상징한다.
MAID_IrcionCasual3F	설원 머플러
MAID_H_IrcionCasual3F	이르시온에서 우호의 표시로 보낸 전통 의상. 머플러의 산뜻한 청록색은\n설원에 우뚝 선 침엽수 껍질과 고대로부터 전해지는 마술을 조합해서 염색했다.
MAID_LithosFormal1	백화 페어 세트
MAID_H_LithosFormal1	리토스의 성직자 의상. 교회에서 지내는 일이 많아 거의 평상복처럼 입는다.\n섬세한 문양은 신룡을 향한 경의를 나타낸다. [남녀 페어 세트]
MAID_LithosFormal1M	백화 캐속
MAID_H_LithosFormal1M	리토스의 성직자 의상. 교회에서 지내는 일이 많아 거의 평상복처럼 입는다.\n섬세한 문양은 신도들이 바친 금실로 수놓은 것이다.
MAID_LithosFormal1F	백화 드레스
MAID_H_LithosFormal1F	리토스의 성직자 의상. 교회에서 지내는 일이 많아 거의 평상복처럼 입는다.\n몸을 경건하게 하고 섬세한 문양을 수놓는다고 한다.
MAID_LithosFormal2	얼음 페어 세트
MAID_H_LithosFormal2	리토스의 성직자 의상. 거울과 같은 가공은 리토스에서만 볼 수 있으며\n빛을 반사하며 신비롭게 빛난다. [남녀 페어 세트]
MAID_LithosFormal2M	얼음 캐속
MAID_H_LithosFormal2M	리토스의 성직자 의상. 거울과 같은 가공은 리토스에서만 볼 수 있다.\n보기보다 부드러워 착용감이 매우 좋다.
MAID_LithosFormal2F	얼음 드레스
MAID_H_LithosFormal2F	리토스의 성직자 의상. 거울과 같은 가공은 리토스에서만 볼 수 있다.\n축하 자리에서 입을 일이 많고, 일하는 데는 적합하지 않다.
MAID_LithosFormal3	물밑 페어 세트
MAID_H_LithosFormal3	리토스의 성직자 의상. 짙은 남색 원단은 신룡의 힘과 가호를 뜻한다.\n앞면의 문양은 천 년의 역사를 지녔으며, ｢조화｣를 의미한다. [남녀 페어 세트]
MAID_LithosFormal3M	물밑 캐속
MAID_H_LithosFormal3M	리토스의 성직자 의상. 짙은 남색 원단은 신룡의 힘과 가호를 뜻한다.\n천 년 전의 전쟁의 진혼과 문장사를 향한 경의를 담아 입는다.
MAID_LithosFormal3F	물밑 드레스
MAID_H_LithosFormal3F	리토스의 성직자 의상. 짙은 남색 원단은 신룡의 힘과 가호를 뜻한다.\n천 년 전의 전쟁에서 살아남은 생존자들의 염원이 담겨 있다.
MAID_Swimwear1	심플 수영복 페어 세트
MAID_H_Swimwear1	심플한 수영복. 물의 저항을 덜 받아 수영을 즐기려는 사람에게 적합하다.\n스타일을 돋보이게 하는 각종 장식이 특징. [남녀 페어 세트]
MAID_Swimwear1M	반바지 수영복
MAID_H_Swimwear1M	반바지형 수영복. 물의 저항을 덜 받아 수영을 즐기려는 사람에게 적합하다.\n스타일을 돋보이게 하는 목걸이가 특징. 리본은 팬츠에 잘 고정되어 있다.
MAID_Swimwear1F	파레오 수영복
MAID_H_Swimwear1F	파레오를 두른 수영복. 물의 저항을 덜 받아 수영을 즐기려는 사람에게 적합하다.\n스타일을 돋보이게 하는 장신구들이 특징. 다양한 색상이 있다.
MAID_Swimwear2	성인 수영복 페어 세트
MAID_H_Swimwear2	노출이 비교적 적은 수영복. 얇고 잘 마르는 천으로 만들어져 쾌적하다.\n트레이닝이나 일광욕 등, 수영 이외의 시간에도 활용할 수 있다. [남녀 페어 세트]
MAID_Swimwear2M	셔츠 수영복
MAID_H_Swimwear2M	셔츠가 있어 노출이 비교적 적은 수영복. 트레이닝이나 일광욕에 적합하다.\n셔츠는 잘 마르는 소재가 사용되었다.
MAID_Swimwear2F	플레어 수영복
MAID_H_Swimwear2F	가슴에 달린 프릴이 특징인 수영복. 트레이닝이나 일광욕에 적합하다.\n일광욕한 자국이 남기 쉬워, 장시간의 일광욕 시에는 배를 덮어 두는 게 좋다.
MAID_Swimwear3	청년 수영복 페어 세트
MAID_H_Swimwear3	통통 튀는 젊음이 느껴지는 수영복. 평소와 다른 모습을 연출할 수 있다.\n이 수영복 차림으로 동료들과 만나면 기분이 들뜬다. [남녀 페어 세트]
MAID_Swimwear3M	화환 수영복
MAID_H_Swimwear3M	통통 튀는 젊음이 느껴지는 수영복. 평소와 다른 모습을 연출할 수 있다.\n화환은 남국에서 피는 꽃을 이용했으며, 좀처럼 시들지 않는다.
MAID_Swimwear3F	리본 수영복
MAID_H_Swimwear3F	통통 튀는 젊음이 느껴지는 수영복. 평소와 다른 모습을 연출할 수 있다.\n커다란 리본은 보기와는 다르게 매우 튼튼하다.
