MID_WU_C_1_IN_#001	신룡 님, ｢기상｣하실 시간입니다.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	좋은 아침입니다.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	꽤 ｢의미심장｣한 시선을 보내실 수 있게 됐군요.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	제게 물들어 버리신 거라면…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	더는 돌아오지 못합니다.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	변함없이 ｢깊은 잠｣에 빠졌나.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	가끔 ｢숨을 쉬고 있는지｣ 걱정되는군.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	｢파트너｣인 당신은\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	내게 있어 ｢가족｣과 마찬가지.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	잃게 된다면 이번에야말로 나는 ｢재｣가 되겠지.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	…그만큼 소중해. 당신이.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	이젠 두 번 다시 잃지 않도록…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#008	제발 지키는 것을 허락해 줘.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	앞으로도 당신께서 ｢깨어나시는｣ 순간을\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	계속해서 보여 주십시오.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	…제가 언젠가 깨어나지 못할 그날까지 쭉.\x0E\x04\x00\x00
