MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nComment vas-tu, Madeline ? Est-ce que tu\narrives à t'acclimater à ce monde ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nマデリーン\nIl m'a aidée tant de fois... Si seulement j'avais\npu lui rendre la pareille.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cセレスティア\nMais toi aussi, tu as donné quelque chose\nà Mauvier. Quelque chose d'inestimable, même.\x0E\x04\x02\x00
MID_RELIANCE_B_#022	Il me disait sans cesse à quel point il était\nheureux de t'avoir trouvée.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nマデリーン\nIl t'a vraiment dit ça ?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cセレスティア\nOui ! Tu l'as rendu heureux, et tu peux en être\nfière. Tu l'as soutenu à ta manière.\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Il t'a regardée grandir avec l'amour et la fierté\nque peut ressentir un père.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nマデリーン\nOh... Hé hé ! Nous revoilà à la relation\npère-fille.\x0E\x04\x02\x00
MID_RELIANCE_B_#027	Mais je suis honorée qu'il ait tenu de tels\npropos.\x0E\x04\x02\x00
MID_RELIANCE_B_#028	Merci de m'en avoir fait part, à ton tour.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0E\x0Cセレスティア\nJe crois qu'encore maintenant, Mauvier veille\nsur toi.\x0E\x04\x00\x00
MID_RELIANCE_B_#030	\x0E\x03\x02\x0C\nマデリーン\nS'il en est ainsi, je dois redoubler d'efforts pour\ndevenir un chevalier qui mérite son respect.\x0E\x04\x02\x00
MID_RELIANCE_B_#031	Je vais m'entraîner... La prochaine fois,\nnous nous entretiendrons de toi, d'accord ?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\nZelestia, nous n'avons parlé que de moi la\ndernière fois. Aujourd'hui, c'est ton tour.\nComment es-tu arrivée à Lythos ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, c'est une histoire très ancienne.\nCela s'est produit bien avant notre rencontre,\ndans notre monde.\x0E\x04\x02\x00
MID_RELIANCE_A_#003	Il y a plus de mille ans, quand la reine Lumera\nvivait encore...\x0E\x04\x02\x00
MID_RELIANCE_A_#004	Sombron a mis le village des dragons mages\nà feu et à sang. Je m'en suis tout juste sortie\nvivante.\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Je suis allée me réfugier à Lythos, car je savais\nque d'autres dragons mages y vivaient.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nマデリーン\nEt que s'est-il passé ensuite ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nJ'y ai trouvé bien plus qu'un simple refuge.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Le Dragon divin Lumera et son enfant m'ont\naccueillie, comme si j'avais toujours fait partie\nde leur famille.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Nous prenions nos repas ensemble, nous\ndiscutions et faisions de longues promenades.\nMes blessures ont alors pu guérir.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nマデリーン\nJe connais ce sentiment...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nLa reine Lumera est morte et le jeune\nDragon divin lui a succédé.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Je me suis mise à son service pour les mille\nannées de paix qui suivirent.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	Quand les signes du retour de Sombron sont\napparus, le Dragon divin était bouleversé.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nマデリーン\nVoilà qui est surprenant. Le Dragon divin\narborait toujours un air calme, pour ne pas\ndire distant.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Est-ce que c'est à ce moment-là que Dame\nNel et Messire Nil... Euh, Messire Rafal, plutôt,\nsont arrivés à Lythos ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nOui. J'ai eu bien du mal à les accepter,\nau début.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Je les ai même attaqués lors de notre première\nrencontre, dans l'intention de les tuer,\névidemment.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nマデリーン\nPardon ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cセレスティア\nLe Dragon déchu nous avait tant pris,\net il s'agissait là de ses enfants. J'ai\nagi instinctivement.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Mais le Dragon divin les a accueillis en\nsouriant, et m'a dit...\x0E\x04\x02\x00
MID_RELIANCE_A_#021	« Je vous demande de les soutenir tous\nles deux, quoi qu'il advienne. »\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nマデリーン\nQuoi qu'il advienne...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cセレスティア\nOui, on dirait presque une prophétie, comme\nsi le Dragon divin avait conscience de quelque\nchose que j'ignorais.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Il s'agissait peut-être de la véritable identité\nde Messire Nil.\x0E\x04\x02\x00
MID_RELIANCE_A_#025	Nous ne le saurons jamais.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nマデリーン\nNon... Malheureusement.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cセレスティア\nPar la suite, les Quatre Zéphyrs ont été\nfondés... et la suite, tu la connais.\x0E\x04\x02\x00
MID_RELIANCE_A_#028	Alors, mon histoire t'a plu ?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nマデリーン\nÉnormément. Elle était fascinante. Je suis\ncontente de mieux connaître ton passé.\x0E\x04\x02\x00
MID_RELIANCE_A_#030	Lythos est l'endroit qui t'a permis, tout comme\nmoi, de panser tes plaies et de grandir.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0E\x0Cセレスティア\nEt nous allons continuer de grandir, ici.\x0E\x04\x02\x00
MID_RELIANCE_A_#032	Puisque nous sommes arrivées ici ensemble,\nnous pouvons suivre la même voie.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0C\nマデリーン\nAbsolument. Nous pouvons affronter chaque\ncombat et chaque défi sans crainte.\x0E\x04\x02\x00
MID_RELIANCE_A_#034	Et quand cette guerre sera terminée,\nnous pourrons nous rappeler le bon vieux\ntemps ensemble.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0E\x0Cセレスティア\nJ'ai hâte. Il s'agit là d'une promesse que nous\ndevrons honorer quand la paix sera rétablie.\x0E\x04\x00\x00
