MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nPouvons-nous commencer, Votre Divinité ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リンデン\nHa ha. Vous n'arriverez à rien avec\nde viles flatteries.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リンデン\nAah, mais je ne pensais pas voir arriver ce jour.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リンデン\nUn ancien chevalier royal d'Elusia qui papote\nconfortablement avec le Dragon divin.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リンデン\nSi je pouvais voyager dans le passé et le dire\nà mon jeune moi, je ne me croirais sans doute\npas.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リンデン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nY a-t-il autre chose ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リンデン\nJuste une requête qu'un vieux de la vieille\nsouhaite adresser au Dragon divin.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nRestez en vie, peu importe les infamies\nque vous rencontrerez.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nLindon ?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リンデン\nDans ma vie, j'ai connu des jours si difficiles\nque j'ai été tenté de baisser les bras et de me\nlaisser mourir.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リンデン\nMais d'autres jours ont toujours suivi pour\nlesquels j'étais heureux de vivre.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\nCelui où j'ai gagné votre amitié, Votre Divinité,\ntient une place chère dans ces heureux\névénements.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nJe suis touché\x0E\x0A\x00\x06
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リンデン\nFrayez-vous un chemin dans ces nuits lugubres\njusqu'à l'aube des jours meilleurs.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リンデン\nSi le vieil homme que je suis ne pouvait\ntransmettre qu'un seul message aux jeunes\nd'aujourd'hui, ce serait celui-ci.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nÇa me va droit au cœur.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nMais je dois vous rappeler quelque chose,\nLindon...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nVous parlez sans cesse de votre âge avancé,\nmais vous êtes conscient que je suis plus\nâgé\x0E\x0A\x00\x06
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リンデン\nHa ha ha ! Mais vous avez raison, en plus !\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リンデン\nVous voyez ? On n'est jamais au bout de\nses surprises, ha ha ha !\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nVoici donc l'Anneau du Pacte. Je peux d'ores\net déjà dire qu'il renferme un grand pouvoir.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リンデン\nÇa ne vous dérange pas que je fasse quelques\nexpériences dessus, hmm ? Tout d'abord, je\nvais tester sa réaction au sort de Foudre.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nEh, attendez ! Cet anneau est très important.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リンデン\nHa ha ha, c'était pour vous taquiner,\nVotre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リンデン\nEt donc, y a-t-il une raison pour laquelle vous\nme montrez cet anneau ?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nJ'espérais que vous accepteriez de le porter.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リンデン\nHmm. J'imagine que je le pourrais, mais pour\nquelle raison ?\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nEn signe de notre partenariat.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リンデン\nEuh... excusez-moi ?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リンデン\nQu'est-ce qui vous prend ?! Pourquoi diable\nvoudriez-vous conclure un partenariat avec\nune personne comme moi ?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リンデン\nJe vous croyais raisonnable, mais vous me\nprouvez que vous n'êtes qu'une triple buse !\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リンデン\nJe suis bien trop vieux pour démarrer quelque\nchose de nouveau avec qui que ce soit, voyons.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nCe n'est pas mon propos. Nous formons une\nexcellente équipe. Cet anneau symbolise un\npartenariat que nous avons déjà ébauché.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nEnsemble, nous sommes plus forts. Je désire\nraffermir ce lien qui nous unit dans l'espoir\nde sauver le monde.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リンデン\nIl fallait que ça tombe sur moi, hein ? Il n'y avait\npersonne de plus jeune ? Il ne me reste que si\npeu d'années à vivre.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リンデン\nSi vous faites ça, vous finirez par vous sentir\ncomme moi le jour où j'ai perdu mon épouse.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リンデン\nSeul le chagrin vous attend si vous choisissez\nde suivre cette route.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nC'est l'instant présent qui m'importe.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nVous êtes vivant. C'est maintenant que vous\nm'inspirez force et courage .\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nDe plus, même si je choisissais quelqu'un\nde plus jeune, je suis un dragon. Je finirai\nfatalement par lui survivre.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リンデン\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nPensez-vous vraiment que je sois stupide\nde vous demander ceci ?\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リンデン\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リンデン\nNon, vous ne l'êtes pas. Si l'un de nous est\nstupide ici, c'est bien moi.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リンデン\nVous êtes venu\x0E\x0A\x00\x06
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08リンデン\nDonnez-moi cet anneau, et vous aurez ce qu'il\nme sera encore possible de vous donner.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nJe vous remercie. Du fond du cœur.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リンデン\nAh, mais écoutez-moi. Je me comporte comme\nun ingrat.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08リンデン\nMerci pour ce présent, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08リンデン\nJe ferai tout pour vous en donner pour votre\nargent. Bon, qu'est-ce qu'on attend pour aller\nle sauver, ce monde ?\x0E\x04\x00\x00
