MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x06\x04エル\nParlez-moi un peu de vous, Veronica.\nJ'aspire à mieux connaître mes alliés.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nVous trouvez ? J'essaie juste de ne pas trop\nme couvrir de ridicule, histoire de pas décevoir\nnotre grand Mauvier.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nMême si au bout du compte, je finis toujours\npar demander de l'aide à mes amis, comme\nvous. Je devrais vous remercier.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nSi vous me considérez comme telle, alors je\nvous prêterai volontiers ma force. Je protège\ntoujours mes amis...\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nマデリーン\nVous donnez parfois l'impression d'être\nmalheureuse. Puis-je vous demander\nce qui ne va pas ?\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nJe suis pourtant fidèle à moi-même, toujours\nprête à discuter... Parlez-moi donc de vous.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nマデリーン\nPossédez-vous des objets auxquels vous tenez\nparticulièrement ? Un souvenir, un bijou...\nC'est courant, chez les gens de votre âge.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nDes objets ? Les gens de mon âge ? Pardon,\nmais j'ai peur de ne pas bien vous suivre...\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nMadeline, avez-vous une famille ?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nMes parents ont disparu... mais j'ai noué des\nliens puissants avec mes alliés et les Quatre\nZéphyrs, ils sont comme une famille pour moi.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nDes liens... Voilà un mot qui revient souvent\ndans les conversations. Je me demande si...\nnous avons aussi créé des liens, vous et moi.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nBien entendu ! Je vous considère comme\nun membre de la famille, et si vous veniez\nà disparaître, cela me briserait le cœur.\x0E\x04\x00\x00
