MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nLors de notre dernière conversation, vous avez\nclairement fait comprendre que vous éprouviez\nencore du ressentiment envers Brodia...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アイビー\nOui. En effet.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\nEh bien, au risque d'outrepasser mes\nprérogatives, j'aimerais dire une chose...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nLes relations entre Brodia et Elusia n'ont\njamais été courtoises. Tout du moins pas\nde mon vivant.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nスタルーク\nMais comme vous l'avez mentionné, nous\nsommes alliés à présent. Nous coopérons...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アイビー\nC'est vrai.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\nCette alliance était aussi imprévisible qu'elle\nest merveilleuse.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\nJe travaillerai dur pour qu'elle se perpétue\nau-delà de ce conflit.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nJe ne pourrai peut-être pas faire autant que\nmon frère, le prince héritier, mais...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nスタルーク\nJ'ai pensé que je vous devais au moins\nun exposé sans détour de mes propres\nintentions.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アイビー\nLa première impression que vous m'avez faite\nétait celle d'un prince sans volonté ni charisme.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アイビー\nJe vous vois différemment à présent.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nスタルーク\nVraiment ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アイビー\nSur les sujets importants, vous dites le fond\nde votre pensée. Et ce que vous dites est bon\net attentionné.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アイビー\nCe sont des qualités que je considère comme\nprincières.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nスタルーク\nOh, non, ne nourrissez pas tant d'estime à mon\nendroit. Vous êtes bien plus majestueuse et\ncompétente que...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アイビー\nSuggérez-vous que moi, princesse héritière\nde mon royaume, je ne suis point apte à juger\nconvenablement d'un caractère ?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\nP-Pas du tout ! Jamais je n'oserais...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nスタルーク\nAh. C'est encore une plaisanterie ?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アイビー\nC'est bien. Vous prenez le coup.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nHi hi. Je prends ça comme le signe que notre\nrelation s'améliore.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\nJe suis d'accord. Et j'espère que notre amitié\ncontinuera à se développer.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08アイビー\nEn l'honneur de nos pères... et pour l'avenir\nde nos royaumes.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nスタルーク\nOui. À un avenir meilleur !\x0E\x04\x00\x00
