MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0A\x08アイビー\nHortensia...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'est flatteur, et ça me fait très plaisir.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nAprès tout, si je peux t'appeler ma sœur,\nc'est uniquement grâce à elle...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh, mais ne parlons pas de tout ça. C'est\noublié, et je ne suis pas rancunière !\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アイビー\nJe sais.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08アイビー\nPourtant, c'est tout de même par la faute de\nma mère que tu...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nHoulà ! Ça vient de me revenir ! On m'attend\nquelque part ! Excuse-moi, Ivy, je dois filer !\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x01\x0E\x0Cオルテンシア\n\x0E\x03\x02\x0A\x08アイビー\nJe suis tellement désolée, Hortensia...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nIvy... Tu t'en souviens bien, de ma mère ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アイビー\nBien sûr. C'était une personne qui marquait\nles esprits.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nTu pourrais peut-être me raconter un peu.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nQu'est-ce qui t'a le plus marqué, chez elle ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アイビー\nC'est son sourire dont j'ai gardé le souvenir\nle plus vif.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アイビー\nMa mère éprouvait une grande aversion pour\ntoutes les... autres femmes de mon père, mais\nplus particulièrement pour ta mère.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アイビー\nC'est pourquoi elle ne manquait jamais une\noccasion de la maltraiter, secondée en cela\npar tous ceux qui cherchaient à lui plaire.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アイビー\nMais malgré tout cela, elle n'a jamais perdu son\nsourire.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'est vrai...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アイビー\nÀ force de charme et d'intelligence, elle a tout\nde même fini par se faire une place dans le\ncœur de ma mère.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アイビー\nAvec sa détermination pour seule arme, elle\ns'est fait une amie de son ennemie mortelle.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アイビー\nJe ne l'oublierai jamais.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アイビー\nJ'ai compris ce jour-là qu'une mère était\ncapable de tout pour son enfant.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nVraiment ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アイビー\nOui.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アイビー\nJe crois que si ta mère s'est lancée dans ces\nbatailles, c'était pour garantir ta sécurité.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nMa sécurité ?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アイビー\nOui. Ta mère était radieuse, Hortensia, elle\nrépandait sa lumière sur tous ceux qui la\nconnaissaient.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アイビー\nEt la source de cette lumière, c'était toi.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe crois que j'avais besoin de l'entendre.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cオルテンシア\nMerci, Ivy.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nDis, Ivy...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アイビー\nQu'y a-t-il ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nEst-ce que tu penses que je serai comme ma\nmère, un jour ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nQuestion beauté, je tiens clairement d'elle,\nmais pour le reste, je suis encore loin\ndu compte.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アイビー\nTu sais, Hortensia...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アイビー\nJe crois que tu fais erreur.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アイビー\nTu avais sept ans quand elle nous a quittés,\nn'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nOui.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アイビー\nEt tu as continué de vivre à la cour, bien que\nprivée de sa protection.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アイビー\nC'est un nid de vipères, comme tu le sais, où\nl'intrigue règne en maître. Un enfant ordinaire\nn'y aurait pas survécu.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アイビー\nMais toi, si. Sans autre arme que ta force de\ncaractère.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nQu'est-ce que tu veux dire par là ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アイビー\nTu as usé de ton charme et de ton intelligence\npour te faire des alliés et creuser ta place à la\ncour. Ça ne te rappelle personne ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アイビー\nEt bien sûr, tu t'es illustrée à l'académie,\njusqu'à sauter toutes les classes qui nous\nséparaient.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アイビー\nTu as fait tout cela toute seule, en mettant à\nprofit tes qualités.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アイビー\nTu comprends, à présent ?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アイビー\nTu me demandais si tu deviendrais comme ta\nmère, un jour...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アイビー\nMais ce jour est déjà là. Et ta lumière, comme\nla sienne, illumine tous ceux qui t'entourent.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'est vraiment comme ça que tu me vois ?\nJe n'arrive pas à y croire...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cオルテンシア\nMerci.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アイビー\nC'est à moi de te remercier, en vérité.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アイビー\nPar ton exemple, tu m'as redonné courage\nplus souvent que tu l'imagines.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\nJe te remercie pour ta lumière, Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe vais faire tout mon possible pour être digne\nde l'image que tu as de moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cオルテンシア\nJ'ai bien failli baisser les bras quand on nous a\nséparées. Le désespoir me guettait.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cオルテンシア\nSans Père, sans toi... Je n'avais plus personne.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08アイビー\nJ'en suis vraiment désolée, Hortensia.\nÀ l'avenir, plus rien ne nous séparera.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cオルテンシア\nJ'espère que tu le penses vraiment, parce que\ntu n'es pas près de te débarrasser de moi !\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08アイビー\nÉvidemment. Plus rien ne sous séparera jamais.\nJe t'en fais la promesse.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08アイビー\nUne sœur comme toi, c'est une chance\nextraordinaire, Hortensia. Je suis comblée.\nJe ne t'abandonnerai jamais.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0E\x0Cオルテンシア\nTant mieux. Moi non plus.\x0E\x04\x00\x00
