MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nスタルーク\nAah ! Prince Fogado !\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0C\nフォガート\nHa ha ha ! Ce type sait vraiment soigner\nses sorties.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nBonjour, Prince Alcryst ! Petite question.\nVous pouvez me parler de votre enfance ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nスタルーク\nHein ? Pourquoi est-ce que ça vous intéresse ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nEh bien, j'ai réfléchi à notre conversation qui a\nlégèrement tourné court, l'autre jour.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nフォガート\nVous savez, comme quoi nos situations sont\nsimilaires mais nos personnalités différentes.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nAlors je me suis dit que nos différences venaient\npeut-être de la façon dont nous avons grandi.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nJe vois. Je peux vous donner les grandes\nlignes, mais je vous préviens que ce n'est\npas très intéressant.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nフォガート\nAucune importance. Je suis tout ouïe,\ncroyez-moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nDe par ma naissance, je suis second prince de\nBrodia, et j'accuse une assez grande différence\nd'âge avec mon frère.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nD'aussi loin que je me souvienne, le gens ont\ntoujours fait l'éloge de mon frère et de ses\ncapacités.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nスタルーク\n« On ne pouvait espérer meilleur héritier pour\nle trône de Brodia », disaient-ils.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nQuant à moi, la chose que j'entendais le plus\nétait : « Diamant aurait fait mieux que ça ».\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nフォガート\nAïe. Alors vous avez toujours eu l'impression\nde jouer les seconds rôles. Dur, dur.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\nC'est ma faute. Je suis une cause perdue.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nフォガート\nVous n'avez jamais craqué et crié : « Arrêtez de\npenser à LUI et regardez-MOI ! »\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nスタルーク\nNon, jamais. Je ne laisserais jamais pareille\npensée me traverser l'esprit.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nMon frère est parfait. C'est la pure vérité.\nCe n'est pas sa faute si je ne fais pas le\npoids.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nスタルーク\nEn même temps, je me rends compte que de\ncette vérité découle ma morosité.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nフォガート\nAlors plutôt que de lui en vouloir, vous avez\ntout bonnement accepté de lui être inférieur.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nフォガート\nSavez-vous ce que vous êtes ? Une bonne\npersonne. Peut-être que c'est pour ça que\nje vous apprécie autant.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nスタルーク\nVous... Vous m'appréciez, dites-vous ?\nVous êtes vraiment un homme exemplaire,\nPrince Fogado.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nスタルーク\nJe ne peux pas prendre le risque de vous\ndémoraliser !\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nスタルーク\nJe dois à nouveau y aller ! Désolé ! Désolé !\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0C\nフォガート\nEt... le voilà parti. Bon.\nÀ la prochaine, Prince Alcryst !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nBonjour, Prince Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nAah ! Prince Fogado !\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nフォガート\nHa ha ! Je me demande quand vous arrêterez\nde me saluer comme ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\nExcusez-moi. Votre sourire est si radieux...\nMon premier réflexe est toujours de fuir.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nJe dois vous demander... Comment avez-vous\ngrandi pour devenir cette intarissable source de\nbonne humeur ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\nVous voulez connaître mon enfance ?\nJe peux vous dresser un rapide tableau.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nフォガート\nNon pas qu'elle ait quoi que ce soit de\nremarquable.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\nEn tant que premier prince de Solm, j'ai reçu\nune éducation classique.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nフォガート\nMais je n'étais pas restreint par beaucoup de\nrègles, j'étais libre d'aller où bon me semble.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nフォガート\nJ'avais l'habitude de me faufiler hors du palais\njuste pour... faire un tour en ville. M'amuser.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nスタルーク\nIncroyable. Je savais que la liberté n'était pas\nun vain mot pour le peuple de Solm...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nスタルーク\nMais j'ignorais que c'était aussi le cas pour\nles membres de la famille royale.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nスタルーク\nJe commence à comprendre comment ce style\nde vie a modelé le prince que je connais.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nスタルーク\nUne personne formidable et chaleureuse qui\nse fait des amis comme on se lève le matin.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\nMerci, Prince Alcryst. J'apprécie.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\nÀ nouveau, ce regard radieux...\nJe pourrais tomber en poussières !\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nフォガート\nUn instant ! Avant de vous enfuir, je voudrais\nvous dire quelque chose.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nフォガート\nEt ça ne va pas vous plaire, connaissant\nl'accueil désastreux que vous réservez\naux compliments.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nスタルーク\nOh non. Je suis tellement désolé...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nフォガート\nAh non, pas de ça ! Peut-être que juste pour\ncette fois, vous pourriez me croire quand\nje vous dis que je vous aime bien ?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nフォガート\nJ'irai même, mon cher petit frère de prince,\njusqu'à vous appeler mon ami.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nスタルーク\nOh... Oh, Prince Fogado...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nJe vous crois.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nスタルーク\nMerci de compter quelqu'un comme moi\nparmi vos amis.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nスタルーク\nMoi aussi, je vous aime bien, Prince Fogado...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nフォガート\nEnfin, vous avez fini par le dire !\nVous m'aimez bien ! Vous m'aimez bien !\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nスタルーク\nAh ! Aaah ! Je ne sais pas ce qui m'a pris !\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nスタルーク\nJ'ai osé songer que je pourrais vous rendre la\npareille. Je n'en avais pas le droit. Je suis\ntellement désolé...\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nフォガート\nPourquoi ces excuses ? Maintenant que nous\nsavons que nous nous apprécions, nous sommes\npratiquement le meilleur ami l'un de l'autre.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nスタルーク\nLe meilleur ami ? Je n'ai jamais eu de meilleur\nami...\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nスタルーク\nJe dois admettre que ça me fait un peu...\nnon, ça me fait énormément plaisir !\nMerci, Prince Fogado.\x0E\x04\x00\x00
