MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06メリン\nYunaka, vous auriez une seconde ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06メリン\nJe sais, je sais. Mais une bonne petite joute\nverbale en entraînement n'a jamais fait de\nmal à personne !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\nUne petite phrase bien sentie donne du piment\nau combat. Et que dire du soliloque passionné\nen pleine échauffourée ? Quelle classe !\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06メリン\nVous pouvez bien attendre une seconde que\nj'aie fini ma tirade, non ? Nous sommes alliées,\nje vous le rappelle !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nNon. La guerre n'est pas chose à prendre à la\nlégère.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ユナカ\nVous êtes un chevalier, je pensais que vous le\ncompreniez. Mais j'ai dû me tromper sur\nvotre compte.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ユナカ\nSi vous en avez fini, je vous laisse.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06メリン\nYunaka... Je sais bien que vous avez raison,\nmais je voulais juste m'amuser un peu...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06メリン\nAh... Voilà qui devrait faire l'affaire.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ユナカ\nBonjour. Qu'est-ce que vous fabriquez ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nOh, bonjour ! J'assure l'entretien de mon\narsenal, rien de plus.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ユナカ\nÇa alors... C'est un bien beau cimeterre que\nvous avez là !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nOh, je l'ai trouvé dans une boutique de\ncuriosités ! Il est classe, non ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ユナカ\nLe mot est faible ! C'est un vrai chef-d'œuvre\nque cette arme ! Du travail de maître !\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ユナカ\nRegardez cette courbure ! Si lisse, si régulière !\nVoilà ce dont les artisans traditionnels de Solm\nsont capables !\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ユナカ\nEt le fil de la lame ! C'est l'alliance parfaite\nde la majesté historique de Solm et de tout\nson savoir-faire meurtrier !\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06メリン\nJe m'étais pas rendu compte de tout ça...\nEn tout cas, vous avez les yeux qui pétillent\ndepuis que vous l'avez vu.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06メリン\nS'il vous plaît tant que ça, je devrais peut-être\nvous l'offrir. Je ne m'en sers pas vraiment, de\ntoute façon.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ユナカ\nVous parlez sérieusement ?! Ce serait un\ncadeau génial ! Je serais ravie de vous en\ndébarrasser ! Allons, donnez-le-moi !\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06メリン\nAh, mais attendez, juste une chose...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06メリン\nJe vous le donne, mais à condition que vous me\nlaissiez faire mes petits monologues quand nous\nnous entraînons ensemble.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ユナカ\nQuoi ?! Mais enfin, quel rapport ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ユナカ\nJ'aimerais vraiment avoir ce cimeterre,\nmais si c'est pour avoir à supporter vos\nmonologues au combat, c'est pas la peine.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nDommage pour vous. On dirait bien que cette\nlame majestueuse et meurtrière va rester entre\nmes mains.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\nGrrr ! Eh bien soit ! N'en parlons plus !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nEt voilà le travail ! Il est rutilant !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06メリン\nQu'est-ce que vous fabriquez ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ユナカ\nOh, rien de bien passionnant. Je nettoyais cette\nstatuette de dragon. N'est-elle pas ravissante ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\nÇa alors, mais c'est vrai, en plus ! Regardez-moi\nça, c'est un dragon, un dragon ! J'adooore\nles dragons !\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06メリン\nC'est quelle espèce ? Et vous savez ce qu'il\nmange ? Ooh, il est tellement mignon ! Cette\ncréature respire la classe !\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ユナカ\nEh bien, quel enthousiasme, tout à coup ! Ma\nfoi, si vous l'aimez à ce point, je peux réfléchir\nà vous en faire cadeau.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06メリン\nC'est vrai ? Oh, oui oui oui, je la veux\ntellement ! Pitié, donnez-la-moi !\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ユナカ\nÀ une condition. Finis les bavardages idiots\nsur le champ de bataille. Et cela vaut pour\nl'entraînement aussi.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\nOh. Vous voulez la jouer comme ça, je vois.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ユナカ\nCette tactique vous rappelle certainement\nquelque chose ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06メリン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06メリン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06メリン\nEt si nous mettions un terme à cette dispute\nidiote ? Ça commence à devenir pénible.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nC'est d'accord, plus de monologues. Vous\nallez me donner le dragon, maintenant ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ユナカ\nTrès bien. Tant que vous renoncez à votre\nmanie ridicule, vous me voyez satisfaite.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ユナカ\nEt puisque l'affaire est réglée, nous pourrions\npeut-être reprendre les négociations au sujet\ndu cimeterre ?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06メリン\nSans problème. Faisons l'échange, mon\ncimeterre contre votre statuette.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ユナカ\nMarché conclu !\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nParfait ! Voilà pour vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ユナカ\nVictoiiire ! Et voilà votre statuette, je la confie\nà vos bons soins !\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\nOoh, viens par ici, mon joli petit dragon !\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ユナカ\nQuelle couleur éblouissante ! Et cette odeur...\nHmm ! Elle vient d'être cirée ! Elle est parfaite,\nje suis au bord des larmes !\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06メリン\nOù est-ce que vous l'avez trouvée ? Vous avez\nun goût très sûr ! Elle vous a coûté cher ?\nCombien ? Dites-moi tout, je veux des détails !\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ユナカ\nOù l'avez-vous trouvé ?! Qui vous l'a vendu ?! Il\nvous en a demandé combien ?! Dites-moi tout !\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06メリン\nJ'ai demandé d'abord ! Allez-y, crachez le\nmorceau ! S'il vous plaît !\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ユナカ\nJe n'ai rien compris à vos questions, vous parlez\nbien trop vite ! Commencez par me répondre !\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06メリン\nDites donc, c'est pas juste, ça !\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06ユナカ\nAh non ?! Et pourquoi pas ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06メリン\nHa ha...\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06メリン\nSerait-on amies, maintenant ?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06ユナカ\nHa ha, c'est vrai que maintenant que vous le\ndites...\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06ユナカ\nNous avons un certain nombre de points\ncommuns. Tout le monde ne se passionne pas\nautant que nous pour ce genre de choses...\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06メリン\nÇa, c'est certain ! Je crois que nous allons\nbien nous entendre, vous et moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06メリン\nBien, je vais répondre à vos questions, mais\nvous voulez bien les répéter ? Vous parliez\nbien trop vite.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x08\x06ユナカ\nTrès bien, je reprends du début. Ma première\nquestion concerne l'endroit exact où vous\navez trouvé le cimeterre...\x0E\x04\x00\x00
