MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nVotre Divinité, Votre Divinité !\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06カゲツ\nCela voulait dire que j'étais toujours là-bas\net ne vivais que pour les miens. Vivre dans\nce carcan me déprimait.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nMais aujourd'hui, vous vous battez à nos côtés\npour une cause qui vous tient à cœur !\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nVous faites honneur à votre famille, qui ne peut\nqu'être fière des efforts que vous déployez pour\nchanger le monde.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06カゲツ\nPeut-être...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06カゲツ\nAviez-vous d'autres questions à me poser ?\nJ'y répondrai avec plaisir !\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nBien évidemment ! Nous n'avons pas encore\névoqué les spécialités régionales de votre\ncontrée natale !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x0A\x08リュール\nJe voulais vous remercier pour notre\nconversation de l'autre jour, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06カゲツ\nJe m'apprêtais justement à vous dire la même\nchose ! Après cette conversation, j'ai senti\nque notre lien était indestructible !\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06カゲツ\nPourtant, je dois vous avouer que je ne\nsouhaitais pas vous parler outre-mesure\nde ma contrée d'origine.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nPourquoi cela ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06カゲツ\nVous avez dit que ma famille ne pouvait qu'être\nfière de moi...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nEn effet.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nC'était gentil de votre part, mais c'est faux.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06カゲツ\nJ'ai tourné le dos à mon devoir et à mes\nresponsabilités, ne laissant qu'une lettre\npour expliquer mon départ.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06カゲツ\nQuels parents seraient fiers d'un fils pareil ?\nCela me paraît impossible.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06カゲツ\nIls m'ont peut-être même chassé de\nleur mémoire...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nOh, Kagetsu...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nLa solution est juste sous nos yeux,\nne croyez-vous pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06カゲツ\nSous nos yeux ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nSi vous accomplissez des faits extraordinaires,\nvotre famille sera forcément fière de vous !\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nIl vous suffit donc de devenir une véritable\nlégende vivante, connue du monde entier.\nC'est aussi simple que cela.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nIls ne pourront pas vous oublier si tout le monde\nne parle que de vous. Et en qualité d'ami\x0E\x0A\x00\x06
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06カゲツ\nDragon divin, mon ami\x0E\x0A\x00\x06
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nJe pensais qu'une simple rencontre suffisait\npour former une amitié durable. À présent,\nje me rends compte que c'est plus complexe...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nEn effet. Les amis font bien plus qu'échanger\nquelques bons mots. Ils se soutiennent\ndans les épreuves les plus difficiles.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06カゲツ\nDans ce cas, je crois que nos liens d'amitié\nsont devenus incroyablement solides !\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nVous pensez ?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nEh bien oui ! Nous étions amis depuis le début,\nalors notre relation n'a fait que s'approfondir.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nÇa ne fait aucun doute.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06カゲツ\nExactement. Et grâce au puissant lien qui nous\nunit, le monde entier aura vent de nos exploits !\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nVous semblez perdu dans vos pensées, Kagetsu.\nQu'est-ce qui vous préoccupe ?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x08\x06カゲツ\nVotre Divinité... Je crains que notre lien d'amitié\nne se soit affaibli.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nAi-je fait quelque chose de mal ? J'en suis\ndésolé\x0E\x0A\x00\x06
MID_RELIANCE_S_#005	\x0E\x03\x02\x08\x06カゲツ\nNon... C'est ma faute.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x08\x06カゲツ\nJe sais que vous possédez à présent l'Anneau\ndu Pacte, que vous donnerez à votre partenaire\nde prédilection.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x08\x06カゲツ\nJ'aimerais être heureux pour cette personne,\nmais malgré mes efforts, je ne ressens que\nde la jalousie.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06カゲツ\nLa force qui vous rapprochera avec votre\npartenaire sera plus forte que n'importe quel\nlien d'amitié.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x08\x06カゲツ\nEt je suis trop occupé à espérer que ce soit\nmoi pour me réjouir de votre bonheur.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nKagetsu...\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x08\x06カゲツ\nC'est pour ça que je dis que notre lien d'amitié\ns'est affaibli. C'est la faute de mon égoïsme\njaloux.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nKagetsu.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nC'est ridicule.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x08\x06カゲツ\nNon ! Je suis sérieux !\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nPardon, je veux dire qu'il est ridicule de vous\ntracasser pour ça. J'ai déjà l'intention de vous\nremettre cet anneau.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06カゲツ\nL'Anneau du Pacte ? Mais pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nParce que je veux que vous soyez\nmon partenaire de prédilection.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x08\x06カゲツ\nMoi ? Vraiment ?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nNotre lien dépasse toutes les amitiés.\nJamais je ne pourrais vous mentir.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x08\x06カゲツ\nNous ressentons la même chose ? Oh, je suis\nsi heureux !\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x08\x06カゲツ\nHa ha ! Je n'ai jamais été aussi heureux\nde toute ma vie ! Merci ! Merci !\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nHé hé ! Non, merci à vous, Kagetsu !\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x08\x06カゲツ\nD'abord amis, maintenant partenaires. Il faut\ncroire que c'était écrit. Je me demande ce qui\nnous attend, à présent !\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nEt si vous me présentiez votre famille ?\nJ'aimerais beaucoup la connaître.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x08\x06カゲツ\nC'est promis. quand je serai prêt à rentrer\nchez moi, vous m'accompagnerez.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06カゲツ\nD'ici là, je ferai tout mon possible pour vous\nrendre fi\x0E\x0A\x00\x0E\x04er\x06ère de moi, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x08\x06カゲツ\nEt en tant que partenaire, je consacrerai ma vie\nà votre bonheur. Parce que je vous aime !\x0E\x04\x00\x00
