MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nEst-ce que je peux vous parler un instant ?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06モーヴ\nJ'admets avoir eu une impression similaire\nquand je vous ai aperçue pour la première fois.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0E\x0Cセレスティア\nVous vous appelez également Mauvier,\nn'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06モーヴ\nC'est exact.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0E\x0Cセレスティア\nJe suppose que vous le savez déjà, mais je\nm'appelle Zelestia.\x0E\x04\x02\x00
MID_RELIANCE_C_#024	Si vous êtes d'accord, j'aimerais que nous\nsoyons amis.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06モーヴ\nTrès bien, Zelestia. J'ai hâte que nous\nœuvrions ensemble.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0E\x0Cセレスティア\nJe ressens la même chose, Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nÊtes-vous également en pause ? Puis-je me\njoindre à vous ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06モーヴ\nNe vous privez surtout pas.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nJe vous remercie.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06モーヴ\nVous me regardez avec insistance.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nJe m'en excuse. Pourvoir passer du temps\nainsi en votre compagnie, c'est merveilleux\npour moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nVraiment...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nNe vous inquiétez pas. Je ne vous confonds\npas avec le Mauvier que j'ai connu. \x0E\x04\x02\x00
MID_RELIANCE_B_#008	Simplement... c'est très agréable de passer\ndu temps avec un nouvel ami.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06モーヴ\nJe vois. Mais tout de même, je ne peux\nm'empêcher de ressentir une certaine curiosité\nvis-à-vis de mon double. Comment était-il ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cセレスティア\nLe Mauvier que j'ai connu est le fondateur\ndes Quatre Zéphyrs.\x0E\x04\x02\x00
MID_RELIANCE_B_#011	Il pouvait se montrer parfois quelque peu\npsychorigide, mais il faisait preuve de force\net de bonté. C'était un excellent second.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06モーヴ\nIl était donc haut placé dans votre hiérarchie ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cセレスティア\nOui. En tant que fondateur du groupe, il aurait\npu en prendre le commandement, mais il a\ninsisté pour que ce soit moi.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Il y avait néanmoins des moments où il donnait\nles ordres, comme par exemple lorsque j'avais\noublié de manger.\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Il me réprimandait, même. Je l'entends encore\nme dire « Tu vas t'asseoir et manger un\nrepas digne de ce nom ! »\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06モーヴ\nVous aviez l'air d'entretenir d'excellentes\nrelations.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	J'aimerais bien en dire autant...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cセレスティア\nOh ?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06モーヴ\nÇa ne fait rien. Merci d'avoir bien\nvoulu me parler.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cセレスティア\nVous connaissez très bien celle qui est\nmon double dans ce monde ?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06モーヴ\nJe ne peux pas dire que je la connais très bien,\nmais je la connais suffisamment, oui.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cセレスティア\nJ'aimerais que vous me parliez d'elle, un jour.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06モーヴ\nSi vous y tenez...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nVous souvenez-vous de ce que je vous ai\ndemandé ? Je voulais que vous me parliez\nde mon double dans ce monde.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06モーヴ\nEt il me semble avoir accepté, oui.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nVous n'avez pas l'air très à l'aise.\nLe sujet est-il délicat ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06モーヴ\nNon, mais gardez à l'esprit que, parmi ce que\nje vais vous raconter, il y a surtout des rumeurs.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nD'accord.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06モーヴ\nDans ce monde, nous avons formé un groupe\nconnu sous le nom des Quatre Chacals.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	Ce groupe avait pour mission d'exécuter\nla volonté de Sombron. Votre double en\navait le commandement.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cセレスティア\nEt vous, dans ce monde, vous en étiez\nle second ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06モーヴ\nNon, un autre homme occupait cette position.\x0E\x04\x02\x00
MID_RELIANCE_A_#010	Zephia, la cheffe des Quatre Chacals,\nprétendait nous considérer comme\nfaisant partie d'une même famille.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nElle le prétendait ?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06モーヴ\nSes actes contredisaient ses paroles.\nElle était dure, destructrice, mais surtout...\nElle était très seule.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	On m'a dit que, même pour un dragon mage,\nses instincts draconiques étaient surpuissants.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	Elle aurait même détruit son village natal,\nsous l'emprise d'une pulsion magique qu'elle\nne contrôlait pas.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Certains vont jusqu'à dire qu'elle aurait pris\nla place de Sombron, s'il n'avait pas été\nle Dragon déchu.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nNon, tout cela est insensé...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06モーヴ\nCe que je sais, c'est qu'elle désirait plus que\ntout l'affection de Sombron et que pour cela,\nelle repoussait tous les autres.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	En tant que Quatre Chacals, nous gardions\nnos distances les uns par rapport aux autres.\nEt cela ne m'a jamais gêné.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Si les événements ont pris cette tournure\ndésastreuse, c'est probablement parce que\nnous n'étions pas une vraie famille.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cセレスティア\nJe vois...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06モーヴ\nJ'ai conscience que ce n'est pas une très\nbelle histoire.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cセレスティア\nMauvier, je... Je crois que nous ferions mieux\nde ne pas être amis, tout compte fait.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06モーヴ\nIl semblerait que je vous ai offensée.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cセレスティア\nPas du tout ! Mais j'aimerais plutôt que\nnous fassions partie de la même famille,\ntout comme dans mon monde.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06モーヴ\nVraiment ? Mais pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cセレスティア\nJe crois que je veux tout faire pour que vous\nne vous sentiez pas obligé de suivre la\nmauvaise voie, cette fois.\x0E\x04\x02\x00
MID_RELIANCE_A_#027	Je sais que nous ne nous connaissons pas\nencore très bien, mais c'est en tissant des liens\nforts que vous vous sentirez à votre place.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06モーヴ\nEh bien, voilà qui est soudain...\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cセレスティア\nNos sentiments vont vers ceux qui en ont\nle plus besoin. Mais vous ne le comprenez\nvraiment pas, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06モーヴ\nProbablement pas.\x0E\x04\x02\x00
MID_RELIANCE_A_#031	Mais si nous essayons de former un lien comme\ncelui qui unit les membres d'une même famille,\nje peux m'y efforcer.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0E\x0Cセレスティア\nHé hé... Merci, Mauvier.\x0E\x04\x02\x00
MID_RELIANCE_A_#033	Promettons-nous de nous soutenir\nmutuellement. J'ai hâte de mieux vous\nconnaître, vous qui êtes ma famille.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06モーヴ\nJe partage ce sentiment, Zelestia.\x0E\x04\x00\x00
