MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0A\x08ロサード\nTiens, Goldmary ! Est-ce que tu pourrais\nm'apprendre à cuisiner ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMais je ne comprends toujours pas pourquoi\ntu voulais absolument apprendre à cuisiner.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\nJ'essaie simplement... de me mettre à ton\nniveau, Goldmary.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ロサード\nÀ chaque combat, tu me protèges.\nJ'aimerais que tu puisses avoir confiance\nen moi, toi aussi.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\nAlors j'essaie de m'améliorer... D'acquérir\ndavantage de qualités.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nC'est vraiment gentil de ta part, j'ai toutefois\nune autre question, à présent...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEn quoi savoir que tu fais bien la cuisine\nme donnerait davantage confiance en toi\nsur le champ de bataille ?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ロサード\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAllons, c'est bon. Tes efforts ont beau ne\nrimer à rien, je n'en suis pas moins fière de toi.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ロサード\nGrr... OK, OK ! J'ai compris, on peut passer\nà autre chose.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHa ha ! Ne t'en fais pas, va. Tu as toute ma\nconfiance, que ce soit sur le champ de bataille\nou derrière un fourneau.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ロサード\nParfait. Je saurai m'en montrer digne.\x0E\x04\x00\x00
