MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nHa ha, ben voyons, on va vous plaindre, tiens !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe ne serai jamais votre amie, Veyle. Adieu.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nArgh...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ヴェイル\nHm, Hortensia ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nComment faut-il vous le dire ? Je n'ai aucune\nenvie ni de vous voir, ni de vous parler.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ヴェイル\nUne toute dernière chose, si vous me le\npermettez. Je tiens beaucoup à vous\nraconter une histoire.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nL'histoire de ma mère. C'était un dragon\nordinaire, voyez-vous, seulement...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ヴェイル\nLe Dragon déchu l'avait choisie pour compagne,\net les humains la haïssaient pour cette raison. Ils\nl'ont tellement persécutée qu'elle en est morte.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ヴェイル\nQuand ils ont compris que je ne vieillissais pas,\nils s'en sont pris à moi également. J'ai vécu\ndes moments très difficiles.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nMa nature de Dragon déchu ne m'a jamais\nrien apporté de bon. Au contraire, elle m'a\npris tout ce que j'avais.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nD'accord, donc vous aussi, vous avez perdu\nvotre famille. C'est bien là que vous voulez\nen venir ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ヴェイル\nOui.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ヴェイル\nJe n'aurais pas dû chercher à vous imposer mon\namitié. Ce que je vous ai fait est épouvantable,\net je n'avais pas le droit de vous demander ça.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ヴェイル\nAdieu, Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nAttendez.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe vous ai traitée durement, je vous demande\npardon. J'ignorais tout ce que vous m'avez\nraconté, et je me suis mal comportée.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'est tout ce que j'avais à dire. Vous pouvez\ny aller.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ヴェイル\nTrès bien. Merci de m'avoir écoutée.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nDame Veyle... Je peux vous parler ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ヴェイル\nOh, Hortensia. Mais oui, bien sûr.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nJ'ai quelque chose à vous dire.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ヴェイル\nJe vous écoute.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe vous ai jugée sans même vous connaître,\nc'était idiot de ma part.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'est facile de rejeter les gens sans chercher à\nles comprendre, mais ça n'arrange rien.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nAlors voilà, je veux bien qu'on essaie d'être\namies.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ヴェイル\nC'est vrai ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe ne sais toujours pas si j'arriverai à vous\npardonner un jour.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nSans compter que quand on se connaîtra mieux,\nje vais peut-être me rendre compte que je vous\ntrouve insupportable.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nMais je dois au moins vous laisser une chance.\nQu'est-ce que vous en dites ? Ça vous va\ncomme ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ヴェイル\nOui ! Je m'en contenterai avec bonheur !\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nTrès bien. Alors voilà, en gage d'amitié, je vous\nai apporté des sucreries.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nIl me semble que vous adorez ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nOh, euh...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nMais c'est ce que m'a dit mon père, pourtant !\nOu bien je confonds ?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ヴェイル\nJe suis désolée, Hortensia, mais j'ai horreur\nde ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nAh bon ?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ヴェイル\nC'est l'autre moi qui aimait les sucreries.\nLa vraie moi n'aime que les plats épicés.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nEh ben !\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cオルテンシア\nHi hi, y a pas à dire, vous avez changé du tout\nau tout.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cオルテンシア\nTrès bien, je vous préparerai un plat\nbourré d'épices, la prochaine fois.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ヴェイル\nCe... Ce serait très gentil.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cオルテンシア\nQuant à vous, vous allez devoir me parler\nde vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe veux apprendre tellement de choses sur celle\nque vous êtes aujourd'hui que je ne penserai\nplus jamais à l'autre.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ヴェイル\nQuelle bonne idée ! Vous aussi, vous allez\ndevoir m'en dire plus sur vous. Je veux tout\nsavoir !\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cオルテンシア\nD'accord. Peut-être que si nous arrivons à nous\ncomprendre, ma blessure finira par se refermer\npour de bon.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cオルテンシア\nAlors guérissons ensemble, Dame Veyle.\x0E\x04\x00\x00
