MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04エル\nDu besitzt eine bewundernswerte Gelassenheit,\nLyn. Ich erkenne, dass du ein authentisches\nLeben geführt hast.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nDein Umgang mit dem Bogen ist unglaublich,\nLyn. Die Art, wie der Pfeil sein Ziel trifft – es\nist, als ob der Pfeil davon angezogen würde!\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x06\x04リン\nVielen Dank! Ich werde mein Bestes geben,\ndamit die Gegner meine Pfeile in den nächsten\nSchlachten geradezu in sich hineinziehen.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nIch bin froh, dass wir Seite an Seite kämpfen\nkonnten. Wir mögen verschieden sein, aber ich\nsehe in dir eine liebe Freundin.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x06\x04リン\nIch danke dir. Meine Freunde sind der Grund,\nwarum ich stark sein kann – egal, was für He-\nrausforderungen sich uns auch entgegenstellen.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x06\x04リン\nDir geht es genauso, nicht wahr? Es zeigt sich\ndarin, wie sehr du für \x0E\x0A\x00\x10\x06den\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin und die\nVier Winde sorgst.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nEs ist ermutigend zu wissen, dass wir dasselbe\nempfinden. Ich hoffe du weißt, dass ich dir auf\ndie gleiche Weise beistehen werde.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nグレゴリー\nMir gefällt diese Art zu kämpfen. Wir sind weit\ngenug entfernt, um noch wegrennen zu können.\nWir werden uns bestimmt gut verstehen.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x06\x04リン\nIch habe mich nicht für den Bogen entschieden,\num wegrennen zu können. Aber es ist schön,\ndass du denkst, wir würden uns gut verstehen.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nグレゴリー\nObwohl du bei mir bist, bekomme ich immer\nnoch Angst. Es tut mir leid... Ich werde immer\nein Feigling sein.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x06\x04リン\nIch habe dich nie als Feigling betrachtet. Ich\nhabe gesehen, wie mutig du im Kampf sein\nkannst.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nGregory, ich werde dir sagen, warum ich dich\nnicht als Feigling ansehe – und dies auch nie tun\nwerde.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x06\x04リン\nDu bist vorsichtig, aber du scheust keinen\nKampf. Du hast Angst, deine Freunde in Gefahr\nzu bringen.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nIch... danke dir. Weil du mich so gut beobachtet\nhast. Ob ich das wiedergutmachen kann, weiß\nich nicht, aber...\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nAber ich gebe mein Bestes, um dir zu zeigen,\ndass du recht hast. Wenn du mich für mutig\nerachtest, dann werde ich das einfach sein.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nマデリーン\nDa ist ein Käfer! Aber seid beruhigt. Ich werde...\näh, mich um ihn kümmern. Lasst mich nur kurz\ntief durchatmen...\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x06\x04リン\nDu musst dich nicht überwinden. Ich habe\nnichts gegen Käfer, aber ich kenne Leute, die\nfühlen sich in ihrer Nähe gar nicht wohl.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nマデリーン\nWie ich hörte, wart Ihr eine Nomadin und habt\nin einer Ebene gelebt. Daher habt Ihr vermutlich\nkeine Angst vor Käfern.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x06\x04リン\nWenn man ihnen jeden Tag begegnet, lernt man\nschnell, ob sie harmlos sind oder nicht. Das ist\neine Sache der Gewöhnung.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nマデリーン\nMilady Lyn. Eine Ritterin sollte unter keinen\nUmständen jemals die Fassung verlieren, und\ndoch...\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x06\x04リン\nGeht es um dein Problem mit den Käfern? Ich\ndenke nicht, dass du dich weiter damit befassen\nmusst.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x06\x04リン\nSchwächen spielen keine Rolle. Was zählt ist\nallein, dass du Stärke zeigst und dein Bestes\ngibst.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nIch bin erleichtert, dies von Euch zu hören.\nWenn es darum geht, sein Bestes zu geben,\nbin ich erstklassig!\x0E\x04\x00\x00
