MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nIch danke dir vielmals, heute mit dir trainieren\nzu dürfen, Diamant. Das bedeutet mir sehr viel.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nHa! Ich lasse meinen kleinen Bruder nicht\ngewinnen. Willst du mich besiegen, dann tu es.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nスタルーク\nHahaha, ich hätte nichts anderes vom\nKronprinzen von Brodia erwarten sollen.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\nIch wünschte, du wüsstest, wie beruhigend es\nist, einen Bruder wie dich zu haben, Diamant.\nIch kann mich glücklich schätzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nIch bin auch glücklich, einen Bruder wie dich\nzu haben, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nKein Herausforderer war jemals so talentiert\nund höflich wie du – ob Schütze oder nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nIch muss nur mehr trainieren und besser\nwerden. Wenn ich so weit bin, komme ich\nund fordere Revanche von dir.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nAbgemacht! Aber sei auf der Hut, denn ich\nwerde mit meinem Training nicht nachlassen.\nAuch ich werde besser werden.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nスタルーク\nDaran habe ich keine Zweifel, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nスタルーク\nIm Moment liege ich noch hinter dir, aber ich\nwerde aufholen. Nein, besser! Ich werde dich\nüberholen.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nスタルーク\nUnd was auch immer geschehen mag, ich werde\ndich stets beschützen.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cディアマンド\nHm? Was hast du gerade gesagt, Alcryst?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nスタルーク\nIch habe nur laut gedacht. Mehr nicht.\x0E\x04\x00\x00
