MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06カゲツ\nIch habe hierbei gar nichts zu sagen, oder?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nZelkov! Es wird Zeit...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06カゲツ\nFür mich, dass ich damit aufhöre, dich heraus-\nzufordern. Es spielt keine Rolle mehr.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nDu scheinst nicht gerade... erfreut... darüber\nzu sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06カゲツ\nIch weiß... dass du mich nicht leiden kannst.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nIch soll dich... nicht leiden... können? Wieso\nsagst du so etwas?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06カゲツ\nKomm schon! Es ist doch ganz offensichtlich,\ndass Prinzessin Ivy und du euch wenig um mich\nschert.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nDas macht mich traurig. Ich... möchte, dass wir\nFreunde sind.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ゼルコバ\n...Freunde? Argh – du bist ein Narr.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nIch wollte eigentlich warten, bis Prinzessin Ivy\nhier ist, um dies zu... enthüllen... aber...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nHier... ist mein Gemälde.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nOh, was ist das?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nMeine Arbeit ist... beendet. Das sind wir drei. \nDu, Prinzessin Ivy, und ich.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06カゲツ\nIch... bin auch dabei. Wieso?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nPrinzessin Ivy wollte es dir zum Geschenk machen.\nUm zu... feiern.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\nFeiern? Was denn feiern?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nDen Tag, an dem Milady Ivy und ich dich...\ngetroffen... haben. Hast du das schon ver-\ngessen?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nHeute jährt sich dieser Tag.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nOh.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nDu kamst nach Schloss Elusia auf der Suche\nnach herausfordernden... Duellen.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nDeine Suche nach stärkeren... Gegnern... führte\ndich den langen Weg von deiner Heimat zu uns.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06カゲツ\nIch habe alle, die mich aufhalten wollten,\nbesiegt... bis du aufgetaucht bist.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nDas war das erste Mal überhaupt, dass ich in\neinem Duell geschlagen wurde. Ich war am\nBoden zerstört.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nAber König Hyacinth war von deinen...\nFähigkeiten... beeindruckt und stellte dich in die\nDienste von Prinzessin Ivy.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06カゲツ\nIch erinnere mich an deinen Gesichtsausdruck\nund an den von Prinzessin Ivy.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06カゲツ\nEs missfiel euch beiden so sehr – und ihr wart\nso verärgert.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ゼルコバ\nDu hattest dich durch alle... Wachen... gekämpft,\naus Gründen, über die wir nur spekulieren\nkonnten.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06カゲツ\nJa, das muss für euch unangenehm gewesen\nsein. Das tut mir leid.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ゼルコバ\nDamals war ich wirklich... verärgert... Aber\ndas sei dir nun alles... vergeben.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ゼルコバ\nAuch Prinzessin Ivy hat dir verziehen. Deshalb...\nfeiert... sie nun den Tag unseres Treffens.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ゼルコバ\nSo viel bedeutest du ihr.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06カゲツ\nZelkov... Danke...\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08ゼルコバ\n...Weinst... du?\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0A\x08ゼルコバ\nUnwichtig. Ich war gerade dabei, Prinzessin Ivy\nzu holen. Möchtest du mich dabei... begleiten?\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06カゲツ\nIch werde hier warten. Ich möchte nicht, dass\nsie mich so sieht.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0A\x08ゼルコバ\nMach dir darüber keine... Sorgen.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ゼルコバ\nPrinzessin Ivy könnte es... gefallen... eine andere\nSeite von dir zu sehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x08\x06カゲツ\nMeinst du? Würdet ihr beide mich wirklich so\nakzeptieren?\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0A\x08ゼルコバ\nKomm, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x08\x06カゲツ\nMein Herz zerspringt vor Liebe für dich und\nPrinzessin Ivy. Ich werde euch auf ewig lieben!\x0E\x04\x00\x00
