MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0A\x08リュール\nHahaha.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nエーティエ\nSolange ich laufe, ist mein Geist ganz leer.\nBeinahe so, als würde ich all meine Sorgen\nausschwitzen.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nHm. Trotzdem... Müssen es gleich\neinhundert Runden sein?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nエーティエ\nWenn Ihr mich fragt: Ja! Bei weniger Runden\nbesteht die Gefahr, dass noch immer ein paar\nRestzweifel in Eurem Kopf herumspuken.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nエーティエ\nAlso wie sieht's aus? Habt Ihr Interesse?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nJa... Schätze ich.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nエーティエ\nPrima. Dann lasst uns gleich loslegen!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nJetzt sofort?!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nエーティエ\nWarum noch lange warten? Wollt Ihr nun\nzuversichtlicher werden oder nicht?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nIch hatte heute eigentlich nicht geplant,\neinhundert Runden zu laufen. Aber einen\nVersuch ist es wohl wert.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nAlso los, Etie! Lass uns laufen!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nエーティエ\nSo gefällt mir das!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nWie hat Euch unser kleiner Rundenlauf\nneulich gefallen?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nDas war das erste Mal, dass ich einhundert\nRunden um irgendetwas gelaufen bin!\nIch habe danach geschlafen wie ein Baby.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nUnd am nächsten Morgen hatte ich gewaltigen\nMuskelkater.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nエーティエ\nUps. Ich hätte Euch wohl vorwarnen sollen.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nBeim Laufen selbst war es aber genau so, wie\ndu gesagt hattest!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nIch konnte förmlich spüren, wie meine Sorgen\nverblassten. Meine Gedanken kreisten nur noch\nums Laufen selbst.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nGanz schön eigenartig, ehrlich gesagt.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nエーティエ\nAlso habt Ihr es nun begriffen! Oh, welch eine\nEhre, Euch dabei geholfen zu haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nエーティエ\nAber wir sind noch längst nicht fertig.\nBeim nächsten Mal möchte ich, dass Ihr\nhinterher einen Muskelbalsam auftragt.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nEinen WAS bitte?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nエーティエ\nNach ausgiebigem Training solltet Ihr Euren\nMuskeln Ruhe gönnen, sonst werden sich diese\nerneut beschweren.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nAaah. Verstehe.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nWenn ich künftig mit dem von dir erwähnten\nMuskelbalsam laufen gehe, werde ich\ndann genauso zuversichtlich wie du?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nエーティエ\nNa klar. Funktioniert bei mir doch auch.\nUnd ich bin bloß eine Normalsterbliche!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nエーティエ\nAber Ihr, \x0E\x0A\x008\x1Ader Göttliche\x1Adie Göttliche? Ihr werdet nach diesem\nTrainingsprogramm vor Zuversicht nur so\nstrahlen!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nHahaha. Wenn du das so sagst, bin ich fast\ngeneigt, dir das zu glauben.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nBislang hat es mir immer gereicht, mich von\ndeinem Optimismus inspirieren zu lassen, doch\njetzt, mit diesen Übungen...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nVielleicht könnte ich damit andere inspirieren,\nso wie du es bei mir getan hast. Du hast mir\nsehr geholfen, Etie.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nエーティエ\nOooch, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Euretwegen werde ich\nnoch ganz rot.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nエーティエ\nDies scheint mir ein guter Zeitpunkt, um eine\nkleine Runde zu drehen. Man sieht sich!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nWarte! Ich glaube, ich habe sie in Verlegenheit\ngebracht – da läuft sie dahin.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nSei's drum. Wenn ich mich an ihre Fersen hefte,\nkann ich vielleicht gleich auch noch ein paar\nRunden ums Somniel drehen!\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nWas ist denn in letzter Zeit mit Euch los?\nIhr geht ohne mich laufen, so als ob ihr mir\naus dem Weg gehen würdet.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nNun, es ist so...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0C\nエーティエ\nFalls ich irgendwas gesagt oder getan haben\nsollte, tut es mir leid. Ehrlich.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nLass mich doch erst einmal ausreden!\nEs gibt da eine Sache, die mich schon etwas\nlänger beschäftigt.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nUnd diesen Gedanken werde ich auch nicht los,\nganz gleich, wie oft ich laufe. Ich weiß wirklich\nnicht mehr weiter.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nVerzeih die Frage, aber dürfte ich mir vielleicht\netwas von der Seele reden?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0C\nエーティエ\nNur zu.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nIch fände es gut, wenn wir Partner sein könnten.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nエーティエ\nÄh...\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0C\nエーティエ\nKlar. Klingt gut.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nWie?! So leichtfertig willigst du ein?\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0C\nエーティエ\nIhr meint Trainingspartner, nicht wahr?\nPartner, die sich bei den Übungen unterstützen?\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nNun... das trifft es vielleicht nicht ganz.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nIch dachte eher an eine Unterstützung in allen\nLebenslagen. Deshalb möchte ich dir auch den\nPaktring geben.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0C\nエーティエ\nÄh...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nエーティエ\nWirklich?!\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0C\nエーティエ\nIhr erlaubt Euch einen Scherz, stimmt's?\nWieso solltet Ihr mir so etwas Wertvolles\nanvertrauen?\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nZum einen Teil aufgrund deiner Zuversicht.\nWenn ich in deiner Nähe bin, dann fühle auch\nich mich stärker.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nAber du besitzt auch ein sanftes Herz und bist\nzielstrebig. Es ist die richtige Entscheidung.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nIch wollte es schon lange ansprechen, hatte\naber Angst, du könntest Nein sagen.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0C\nエーティエ\nAlso seid Ihr deshalb allein laufen gegangen.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nGenau.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0C\nエーティエ\nGut, dann könnt Ihr jetzt aufhören, Euch\nGedanken zu machen. Von nun an werden\nwir nur noch gemeinsam laufen gehen.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0C\nエーティエ\nIhr und ich, wir beide werden Seite an Seite\nnoch mindestens eine Million Runden laufen.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nAlso akzeptierst du meinen Vorschlag?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0C\nエーティエ\nKlar. Immer bereit zu helfen!\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nIch danke dir! Das ist eine große Erleichterung.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0C\nエーティエ\nDas Thema hat mich ganz aufgewühlt.\nIch sollte die angestaute Energie für einen\nkleinen Lauf nutzen.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0C\nエーティエ\nWie sieht's aus? Ein Rennen um das Somniel,\nbis wir total erledigt sind?\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08リュール\nKlingt wunderbar. Wenn du magst, können\nwir sofort loslegen!\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0C\nエーティエ\nDann mal auf, \x0E\x06\x03\x00.\nWer als Letzter wieder beim Somniel ankommt,\nist ein faules Ei!\x0E\x04\x00\x00
