MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nKönnen wir beginnen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リンデン\nAls Erstes werde ich ein paar Mal „Donner“\nsprechen und auf Euch wirken lassen, um zu\nsehen, wie Euer Körper darauf reagiert.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リンデン\nWas die Schmerzen angeht, tritt sicher rasch ein\nGewöhnungseffekt ein. Euer Haar aber wird das\nExperiment vielleicht weniger gut überstehen...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nWisst Ihr, ich habe es mir anders überlegt.\nTut mir leid, aber Ihr müsst Euch einen anderen\nTestkandidaten suchen.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リュール\nIch muss ständig daran denken, was Ihr zum\nThema Schlafen gesagt habt, Lindon.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リンデン\nAh, ich grüße Euch, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nIch lehne das Experiment immer noch strikt ab,\naber ich möchte mit Euch darüber reden.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nSeid Ihr sicher, dass Ihr Eure Zeit mit einem\nBesuch bei einem alten Zausel verschwenden\nwollt?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リンデン\nEs gibt so viele andere, mit denen Ihr reden\nkönnt und die Euer Leben beeinflussen können.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nWas ist denn los mit Euch? Hat Vander Euch\netwa eine Standpauke gehalten?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リンデン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nEr war nicht gerade erfreut darüber zu hören,\ndass Ihr beinahe mein Haar abgefackelt hättet.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リンデン\nÄh... Nun, ich sage stets, es ist sinnlos,\nin der Vergangenheit herumzukramen.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nIch weiß, es wird nicht wieder passieren. Also\nlassen wir das hinter uns und reden über Schlaf.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リンデン\nIch bin erleichtert zu hören, dass Ihr keinen\nGroll hegt. Und doch weiß ich nicht, wie sehr\nich hier von Nutzen sein werde.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リンデン\nEure Zeit ist etwas, womit Ihr pragmatisch und\neffizient umgehen solltet. Wenn Ihr das nicht\nmacht, werdet Ihr es irgendwann bereuen.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nNun, das stimmt, und ich habe auch nicht vor,\nmeine Zeit zu verschwenden.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nIch weiß am besten, wie schnell sie vergehen\nkann.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リンデン\nGut gesprochen. Also dann...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nAber das ist erst recht ein Grund, warum wir\nuns zusammensetzen und ohne Umschweife\nreden sollten, Lindon.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nIch habe eine Menge Fragen, und noch mehr\nHin und Her wäre unpraktisch und ineffizient.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リンデン\nNun... Aber anderseits...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リンデン\nHmpf. Ihr seid klüger als Euch guttut, wenn Ihr\nmich fragt!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リンデン\nAber so soll es sein. Was immer ich auch weiß,\nsteht zu Eurer Verfügung.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nMeine Gute, Ihr lernt aber schnell, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nIch habe einen guten Lehrer.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リンデン\nHa ha. Schmeicheleien nützen Euch gar nichts.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リンデン\nAaah, aber ich hätte nie gedacht, dass ich\ndiesen Tag mal erleben würde.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リンデン\nEin ehemaliger Ritter von Elusia sitzt mit \x0E\x0A\x00\x10\x06dem\x06der\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin zusammen, um zu plaudern.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リンデン\nWenn ich mein jüngeres Ich besuchen könnte,\num ihm davon zu erzählen, so würde ich mir\nvermutlich keinen Glauben schenken.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リンデン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nWoran denkt Ihr?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リンデン\nNur eine Bitte an \x0E\x0A\x00\x10\x06den\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin von jemandem,\nder schon ein paar Jahre auf dem Buckel hat.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nBleibt am Leben. Egal, welche Verdorbenheit\nIhr in diesem Leben auch sehen mögt.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nLindon?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リンデン\nUnter meinen vielen Tagen gab es einige, die\nso schwer waren, dass ich versucht war,\naufzugeben und zu sterben.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リンデン\nAber danach widerfuhr mir immer irgendetwas,\ndas mich froh machte, dass ich noch lebte.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\nMeine Freundschaft zu Euch, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche, gehört\ndabei zu den höchsten der freudigen Ereignisse.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nEure Worte bewegen mich.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リンデン\nDurchbrecht die finstersten Nächte mit aller\nKraft – und geht der Morgendämmerung\nentgegen, die alle Dinge heller erscheinen lässt.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リンデン\nWenn es irgendwas gibt, wovon ich mir\nwünsche, dass ich es der Jugend von heute\nmit auf den Weg geben kann, dann das.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nIch werde es mir zu Herzen nehmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nDoch ich sollte eines anmerken, Lindon...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nIhr sprecht oft davon, wie lange Ihr schon lebt,\naber Ihr wisst, dass ich viel älter bin, nicht\nwahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リンデン\nHahaha! Stimmt ja!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リンデン\nSeht Ihr? Jeder Tag hält eine Überraschung\nbereit! Hahaha!\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nDas ist also der Paktring. Ich kann bereits er-\nkennen, dass er eine große Macht in sich trägt.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リンデン\nEs macht Euch doch nichts aus, wenn ich ein\nwenig damit herumexperimentiere, hm?\nAls Erstes teste ich seine Reaktion auf Donner...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nHalt, wartet! Dieser Ring ist überaus wichtig.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リンデン\nHahaha, ich ziehe Euch doch nur auf, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リンデン\nAlso, gibt es einen Grund, warum Ihr mir diesen\nRing zeigt?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nIch hoffte, Ihr würdet ihn tragen.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リンデン\nHm. Das könnte ich wohl, aber warum?\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nAls Zeichen für unsere Partnerschaft.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リンデン\nÄh... Verzeihung?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リンデン\nWas um alles in der Welt ist in Euch gefahren?!\nWarum wollt Ihr eine Partnerschaft ausgerech-\nnet mit mir?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リンデン\nIch glaubte, Ihr wäret ein helles Köpfchen,\naber Ihr macht Euch gerade zum Narren!\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リンデン\nIch bin viel zu alt, um noch irgendetwas Neues\nmit jemandem zu beginnen.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nDa möchte ich widersprechen. Wir arbeiten sehr\ngut zusammen. Der Paktring ist ein Symbol der\nPartnerschaft, die wir bereits haben.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nGemeinsam sind wir stärker. Ich möchte dieses\nBand besiegeln, in der Hoffnung, eines Tages\nan Eurer Seite die Welt zu retten.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リンデン\nUnd das muss dann ich sein, hä? Es gibt keinen,\nder jünger ist? So viele Jahre bleiben mir nicht\nmehr.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リンデン\nWenn Ihr das tut, dann werdet Ihr mit dem\nGefühl enden, das ich an dem Tag verspürte,\nan dem meine Frau starb.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リンデン\nNichts als Trauer erwartet Euch auf diesem\nWeg.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nDas Jetzt zählt für mich mehr.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nIhr lebt, hier und jetzt, und Ihr gebt mir\nInspiration und Kraft.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nAbgesehen davon, selbst wenn ich jemanden\nwählen würde, der jünger ist – ich bin ein\nDrache. Ich überlebe ohnehin jeden.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リンデン\nHm...\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nDenkt Ihr wirklich, ich sei \x0E\x0A\x00*\x10ein Narr\x16eine Närrin, so etwas\nvon Euch zu erbitten?\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リンデン\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リンデン\nNein, das seid Ihr nicht. Wenn hier einer ein Narr\nist, dann bin ich das.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リンデン\nIhr kamt mit einer Bitte und ich bürstete Euch\nab, ohne einen zweiten Gedanken daran zu\nverschwenden.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08リンデン\nGebt mir den Ring, und ich gebe Euch, was\nimmer ich Euch noch geben kann.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nIch weiß das zu schätzen. Wirklich und wahr-\nhaftig.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リンデン\nAh, hör sich einer das an! Ich klinge so\nundankbar.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08リンデン\nIch danke Euch für dieses Geschenk,\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08リンデン\nIch will versuchen, Euch nicht zu enttäuschen!\nNun, sollen wir dann los und die Welt retten?\x0E\x04\x00\x00
