MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nWieder ein böser Traum, Prinzessin Céline?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セリーヌ\nHahaha, ist es so offensichtlich?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セリーヌ\nWenn ich mich recht entsinne, träumt auch Ihr\nvom Verlust Eures Bruders, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セリーヌ\nIch bin neugierig... Wann hat es bei Euch\nbegonnen?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nErst seit einiger Zeit. Kurz nachdem wir in\ndiesen Krieg gegen den Dämonendrachen\ngezogen wurden.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nスタルーク\nMein Vater sagte mir einst: „Wenn ich sterbe,\nund Diamant mit mir, wirst du den Thron\nbesteigen müssen.“\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nDamals klang das für mich völlig unmöglich.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nMein mächtiger Vater und mein unverwundbarer\ngroßer Bruder? Im Kampf fallen? Welch\nlächerlicher Gedanke!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nスタルーク\nDoch Kriege sind oft... unberechenbar.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セリーヌ\nIch weiß, was Ihr meint.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nスタルーク\nNun verfolgt mich eine stets wachsende Furcht,\ndass meine schlimmen Träume wahr werden\nkönnten.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\nWas, wenn ihn ein Feind überrascht? Was, wenn\nwir getrennt werden und ich ihn nie wieder\nfinde?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nスタルーク\nIch kann schon gar nicht mehr zählen, auf wie\nviele schreckliche Arten meine Träume Diamant\nschon von mir genommen haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セリーヌ\nBei mir ist es ähnlich. In meinen Träumen\ngeschehen die schlimmsten Katastrophen, die\nich mir nur vorstellen kann.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nNach jedem Albtraum schleiche ich aus meinem\nBett und schaue nach meinem schlafenden\nBruder.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nスタルーク\nWenn ich dann sehe, wie er ausgestreckt da\nliegt und lauter schnarcht als eine Sägemühle,\ndann verschwindet meine Furcht.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セリーヌ\nIch bin froh, dass Ihr wenigstens das habt.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セリーヌ\nMein Bruder steht dafür viel zu früh auf. Er\nwürde mich sofort an seinem Frühsport\nteilnehmen lassen.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nHahaha... Komisch. Ich könnte mir vorstellen,\ndass es eine Erleichterung ist, ihm dabei zuzu-\nsehen, wie er munter im Kreis herumrennt.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セリーヌ\nHahaha, ja, es hilft, das gebe ich zu.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08セリーヌ\nNun, mit Euch zu sprechen hat meine Nerven\nberuhigt. Es tut mir leid, dass ich Euch\nSorgen bereitet habe.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nスタルーク\nAber überhaupt nicht. Wenn Ihr wieder einmal\neinen bösen Traum habt und darüber sprechen\nwollt, bin ich immer für Euch da.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nスタルーク\nIch kann ihn nicht verscheuchen, aber...\nzumindest kann ich Euch versichern, dass Ihr\nnicht allein seid.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08セリーヌ\nDanke, Prinz Alcryst. Das gibt mir ein sicheres\nGefühl.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nDieser Tee duftet so gut. Und er hat noch dazu\neinen wunderbaren Geschmack.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nIn der Tat. Die Blätter stammen aus dem\nbrodianischen Hochland. Es heißt, der Tee helfe\ngut beim Einschlafen.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nWirklich?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08セリーヌ\nOh... Ihr habt ihn extra für mich bereitet, nicht\nwahr? Ich bin gerührt.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nWie waren Eure Träume in letzter Zeit?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セリーヌ\nNicht besser, fürchte ich. So, wie der Krieg\nimmer schrecklicher wird, werden es auch\nmeine Träume.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nスタルーク\nDas tut mir leid zu hören.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\nWisst Ihr... Ich glaube, keiner von uns beiden\nwird jemals über das eigene Land herrschen.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セリーヌWie bitte?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nスタルーク\nAh, ich habe mich falsch ausgedrückt. Sollte\ndas Schlimmste eintreten, werden wir natürlich\nunsere Pflicht erfüllen, aber...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nスタルーク\nDas Schlimmste wird nicht eintreten. Wir\nwerden kämpfen, um sie zu beschützen –\nunsere Brüder. Unsere zukünftigen Könige.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nスタルーク\nIm Traum mögen wir noch Furcht verspüren,\ndoch wir lassen nicht zu, dass sie unsere\nRealität beeinträchtigt.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nスタルーク\nIch gehe sogar noch weiter... und werde mein\nBestes geben, um auch Prinz Alfred zu\nbeschützen!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セリーヌ\nOh!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\nEr ist der Kronprinz eines verbündeten\nReiches... und damit betrachte ich ihn auch\nals meinen Bruder.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nスタルーク\nOh, wartet... Er würde es wohl nicht gutheißen,\nwenn ein Schwächling wie ich sich anmaßte,\nihn als „Bruder“ beschützen zu wollen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セリーヌ\nSeid nicht albern. Alfred wäre überglücklich.\nIch bin es auf jeden Fall. Ihr bringt mich damit\nan den Rand der Freudentränen.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セリーヌ\nEs ist sehr beruhigend, dass jemand, der so\ntalentiert ist wie Ihr, über ihn wacht.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\nOh. Ich weiß zu schätzen, dass Ihr eine so hohe\nMeinung von mir habt.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08セリーヌ\nIch für meinen Teil werde ebenfalls Euren\nBruder behüten, den Kronprinzen Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セリーヌ\nDie Zusammenarbeit zum Schutze der künftigen\nKönige wird unseren beiden Nationen zum\nVorteil gereichen.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08セリーヌ\nIch würde für sie sogar mein eigenes Leben\nriskieren, falls nötig.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nスタルーク\nPrinzessin Céline! Das ist nicht--\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08セリーヌ\nDas ist der übliche Lauf der Dinge. Ich weiß.\nUnd dennoch...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08セリーヌ\nIch vermute, Ihr würdet das Gleiche tun,\nnicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nスタルーク\nHm.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nスタルーク\nIhr habt natürlich recht, aber... wir sollten diese\nVereinbarung lieber geheim halten.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08セリーヌ\nJa, selbstverständlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nスタルーク\nIch glaube, wir haben soeben eine Allianz\ngeschmiedet, die den meisten unserer Freunde\nund Verbündeten große Sorgen bereiten würde.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08セリーヌ\nDoch sie wird sicher dazu beitragen, dass mich\nmeine Albträume künftig seltener heimsuchen\nwerden.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0C\nスタルーク\nIch denke, das trifft auch auf mich zu.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0C\nスタルーク\nWir können vielleicht niemals unsere eigenen\nKronen tragen, aber sehr wohl die Bürde des\nanderen.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0A\x08セリーヌ\nJa. Mögen wir auch nach dem Ende des Krieges\nstets in Harmonie handeln, um unserer\nHeimatnationen willen.\x0E\x04\x00\x00
