MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nSo, wie du dir ein Leben wie im Märchen\nwünschst, habe ich nun auch einen Traum für\nmein Leben.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x08\x06クロエ\nAber das ist doch toll!\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x08\x06クロエ\nNun, da Ihr eine Vorstellung davon habt, was\nEuer Traum ist, könnt Ihr beginnen, ihn zu\nverwirklichen.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nSo einfach ist es vielleicht nicht.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nEs gibt Teile dieses Traums, die ich nicht\nallein erfüllen kann.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06クロエ\nWas benötigt Ihr noch?\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nDich, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06クロエ\nMich?!\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nWenn ich über das Leben nachdenke, das ich\nnach dem Krieg führen will, fühlt es sich so leer\nan, wenn du nicht irgendwie darin vorkommst.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nWenn du die Heldin deines eigenen Märchens\nbist, möchte ich darin dein Unterstützungs-\ncharakter sein.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06クロエ\nAch, du meine Güte...\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nWenn es dir auch so geht, hoffe ich, dass du\ndieses Geschenk annimmst.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nIch habe es nur für dich aufgehoben.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06クロエ\nDas ist der Paktring...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nDu hattest recht, als du sagtest, dass ich kein\nnormales Leben führe.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nUnd es mag viel verlangt sein, dich zu bitten,\nein Teil dieses Lebens zu sein, obwohl es\nmir bewusst ist, dass es nicht gewöhnlich ist.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nAber ich musste einfach Klarheit haben.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x08\x06クロエ\nIhr musstet einfach nur fragen, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x08\x06クロエ\nIch wollte nie ein normales Leben.\nDie Gelegenheit, mich in Eurer Geschichte\nzu sehen...\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x08\x06クロエ\nIch kann mir kein schöneres Ende vorstellen.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nAlso?\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x08\x06クロエ\nNatürlich werde ich den Ring tragen. Und ich\nwerde da sein und mit Euch zusammen den\nTraum Wirklichkeit werden lassen.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nIch danke dir, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06クロエ\nHeute beginnt das erste Kapitel in der\nGeschichte \x0E\x0A\x00\x10\x06des\x06der Göttlichen und mir.\nEine Erzählung für die Ewigkeit!\x0E\x04\x00\x00
