MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nHallo, Boucheron. Darf ich einen Moment deiner\nZeit in Anspruch nehmen?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nスタルーク\nWirklich? Oh, wunderbar. Vielen Dank,\nBoucheron!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nIch fühle mich so geehrt, dass du einen\nhoffnungslosen Fall wie mich unter deine\nFittiche nimmst.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nスタルーク\nVerglichen mit Euch bin ich doch nur...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nブシュロン\nAlso, mein erster Tipp lautet: Hört auf, solches\nZeug zu erzählen. Reißt Euch zusammen!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\nSchon gut. Du musst mich nicht trösten. Ich\nweiß genau, dass ich nur kraftloses Wachs\nin deinen starken Händen bin.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nブシュロン\nIch fürchte, ich sehe allmählich die größeren\nHürden auf Eurem Weg.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nスタルーク\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nブシュロン\nSieben! Acht! Neun!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nスタルーク\nIch... Ich schaffe nicht mehr!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nブシュロン\nWas ist los, Prinz Alcryst? Das waren erst neun\nLiegestütze.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nブシュロン\nEuch stehen noch 91 weitere bevor!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nブシュロン\nWaren die hundert als Anfangsziel doch etwas\nhoch gesteckt? Sollen wir es erst mal mit zehn\nversuchen?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nNein, bitte nicht. Das würde eine der Nullen aus\nder Zielzahl werfen!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nDie arme Null täte mir so leid. Einfach aus dem\nTeam zu fliegen, nur wegen eines elenden\nSchwächlings wie mir...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nブシュロン\nÄh, ja. Verschieben wir die Liegestütze auf\nspäter und versuchen uns jetzt an den\nKlappmessern.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nOh. In Ordnung... Wie viele soll ich machen?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nブシュロン\nHundert.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\nHast du hundert gesagt?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nスタルーク\nNein. Ich darf nicht zurückschrecken oder\naufgeben. Ich muss Muskelmasse aufbauen und\nselbstbewusster werden!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nブシュロン\nSo ist es recht. Legen wir los!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nブシュロン\nEins! Zwei! Drei!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nスタルーク\nV-vier! Uff! Mehr schaffe ich nicht. Ich habe\nschon Seitenstechen!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nブシュロン\nÄhm, Prinz Alcryst? Ihr seid noch 96 Wieder-\nholungen von Eurem Ziel entfernt.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nスタルーク\nIch will ja die hundert erreichen. Ich will es\nunbedingt. Aber mein Körper schafft es einfach\nnicht...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nブシュロン\nHmmm. Ja, das ist ein Problem.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nブシュロン\nWarum machen wir nicht eine kurze Pause?\nLasst mich wissen, wenn Ihr Euch erholt habt.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nスタルーク\nGut. In Ordnung... Au, au, au...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nブシュロン\n98! 99! 100!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nAh, ich habe es geschafft!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nブシュロン\nIhr habt es geschafft, Prinz Alcryst! Ihr habt die\nhundert erreicht!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\nIch kann es gar nicht glauben. Ich bin so\nglücklich!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nブシュロン\nIch wusste immer, dass Ihr es könnt.\nWie fühlt Ihr Euch? Meint Ihr, die Muskeln\nsind schon gewachsen?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nスタルーク\nJa, ein bisschen. Wenn ich hier anspanne, kann\nich spüren, wie der Muskel fest wird.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nブシュロン\nWunderbar. Und, hilft das auch Eurem\nSelbstbewusstsein?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\nNicht im Geringsten.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nブシュロン\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nEs tut mir leid, Boucheron.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nスタルーク\nDu hast deine wertvolle Zeit mit einem\nhoffnungslosen Fall verschwendet.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nブシュロン\nSo solltet Ihr wirklich nicht reden.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nスタルーク\nIch kann noch immer nicht mit meinem Bruder\nDiamant mithalten. Er ist so unglaublich.\nUnd ich, ich bin so...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nブシュロン\nWas soll das denn jetzt?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nスタルーク\nSo war es schon, seit ich ein Kind war...\nzumindest hat man mir das immer erzählt.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nブシュロン\nNa, dann ist es ja kein Wunder, dass Ihr kein\nSelbstbewusstsein habt, wenn man Euch das\nständig vorgehalten hat.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nブシュロン\nSeht mal, Prinz Alcryst. Ich bin auch nicht\nimmer so selbstsicher.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nスタルーク\nWirklich? Obwohl du mit einem solch\nunglaublichen Körper gesegnet bist?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nブシュロン\nMeine Muskeln sind vielleicht gut entwickelt, ja,\naber innen drin bin ich ein Softie mit\nschrecklichem Orientierungssinn.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nブシュロン\nWisst Ihr, wie man mich genannt hat? „Große\nHeulsuse“ und „Schusselkraftprotz“.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nスタルーク\nDas kann ich nicht glauben.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nブシュロン\nEs gibt Dinge, bei denen ich unsicher bin.\nAber trotzdem komme ich zurecht.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nブシュロン\nManchmal frage ich mich, ob es jemanden mit\ntiefem, unerschütterlichen Selbstbewusstsein\nauf der Welt überhaupt gibt.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nブシュロン\nIch wette, sogar Prinz Diamant hat seine\nSelbstzweifel.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nスタルーク\nSelbst mein Bruder?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nスタルーク\nHahaha, solch aufbauende Worte für einen\nmickrigen Hänfling wie mich. Ich weiß das\nzu schätzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nブシュロン\nAh, schon gut. Das Gleiche würde ich genauso\nfür meine besten Schüler tun.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nスタルーク\nDas glaube ich.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nブシュロン\nIhr solltet weiter trainieren. Ich kann Euch gerne\njederzeit weiter unterrichten.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nスタルーク\nDas werde ich. Danke, Lehrmeister Boucheron!\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nブシュロン\nHahaha, die Ehre ist ganz meinerseits,\nPrinz Alcryst.\x0E\x04\x00\x00
