MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04エル\nEndlich sind wir wieder vereint, Tiki. Es ist mir\neine Ehre, an deiner Seite kämpfen zu dürfen.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nIch werde immer so schläfrig, wenn ich mich\nmit dir unterhalte. Es ist einfach so schön, und\nich fühle mich absolut sicher...\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nKomm, setz dich doch neben mich. Solltest du\neinschlafen, bleibe ich bei dir, bis du wieder\naufwachst.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nJeder hier ist so freundlich! Es fühlt sich an,\nals ob sie eine Familie seien. Das muss so\nschön sein...\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nHahaha. Ja, das stimmt. Eine wertvolle Familie.\nWir sehen dich aber auch als Teil unserer\nFamilie an.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x06\x04チキ\nEhrlich?! Juchu! Ich möchte auf ewig mit dir so\nzusammen sein. Ist das in Ordnung?\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nSicher. Das Band zwischen uns ist sehr stark\ngeworden. Es wird uns bis in alle Ewigkeit\nverbinden. Das verspreche ich dir.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nObwohl Tiki ein Emblem in meiner alten Welt\nwar, habe ich keine Ahnung, wie ich mich ihr\nauch nur nähern soll...\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x06\x04チキ\nHm? Stimmt etwas nicht? Moment, du möchtest\ndich mit mir unterhalten? Au ja! Lass uns das\ntun!\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nDeine Kleidung sieht so klasse aus!\nIch wünschte, meine würde einschüchternder\nwirken!\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nDu findest sie klasse? Danke. Je verrückter\nich aussehe, desto weniger Leute wollen mit\nmir kämpfen.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nIst alles in Ordnung? Du bist heute gar nicht so\nfröhlich wie sonst. Bist du müde, oder hungrig?\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x06\x04チキ\nNein... Ich musste an einen Traum denken.\nIn dem Traum habe ich mich in ein Monster\nverwandelt und Leute verletzt...\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x06\x04チキ\nIch weiß nicht, warum ich darüber nachdenken\nmuss. All meine Freunde sind doch in meiner\nNähe... so wie du.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nDas stimmt. Du bist nicht mehr allein und wir\nwerden nicht fortgehen. Du kannst dich also\nunbesorgt ausruhen.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nマデリーン\nEs ist eine Ehre, Euch hier in dieser Welt\nwiederzusehen. Ich freue mich schon darauf,\nwieder an Eurer Seite kämpfen zu dürfen.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x06\x04チキ\nDanke! Nun, dann lass uns doch ein wenig\nreden! Ich möchte alles über dich wissen,\nMadeline!\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nマデリーン\nMilady Tiki, warum setzt Ihr im Kampf Euer\nLeben aufs Spiel? Dafür muss es doch einen\nGrund geben?\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x06\x04チキ\nIch möchte dabei helfen, das Kämpfen ein für\nalle Mal zu beenden, damit ein jeder wieder\nlächeln kann!\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nマデリーン\nWenn ich mich mit Euch unterhalte, dann ist\nes... verzeiht diese Dreistigkeit... dann ist es,\nals hätte ich eine kleine Schwester bekommen.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x06\x04チキ\nEhrlich?! Das ist ja wundervoll! Denn ich habe\ndas Gefühl, eine größere Schwester zu haben.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x06\x04チキ\nIch möchte dich besser kennenlernen, Madeline!\nWirst du von nun an wie eine Schwester für\nmich sein?\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nEs wäre mir eine Ehre, Milady Tiki.\nIch verspreche Euch, Euch auf der Reise in eine\nfriedliche Welt – unserer Welt – zu begleiten.\x0E\x04\x00\x00
