MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nEine Macht wie die Eure habe ich noch nie\ngesehen. Diese Fertigkeit, Embleme zu mani-\nfestieren... Ich will sie.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nIch stricke. Das ist mir eine meiner liebsten\nFreizeitbeschäftigungen. Habt Ihr Interesse\ndaran, es zu erlernen?\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nIch habe das Gefühl, alles was Ihr tut, ist, mir\nbeim Reden zuzuhören. Findet Ihr das nicht\nlangweilig?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nÜberhaupt nicht. Eure Geschichten sind äußerst\nfaszinierend und ich freue mich über Euer\nLächeln, wenn Ihr sie erzählt.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nIch lächele, wenn ich mit Euch rede? Wie\neigenartig... Ich lächele nur selten.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nVielleicht liegt es daran, dass wir so viel Zeit\nmiteinander verbracht haben. Wir sind Freunde\ngeworden.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06クラン\nPrinzessin Veronica, wenn es irgendetwas gibt,\ndas ich für Euch tun kann, lasst es mich wissen.\nIch helfe gerne.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nHmm... Wenn das so ist, erzähl mir eine\nGeschichte. Ich möchte gerne mehr über dich\nwissen.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06クラン\nWenn es Euch nichts ausmacht, würde ich gerne\nmehr über Euch erfahren. Was mögt Ihr? Was\nunternehmt Ihr in Eurer Freizeit?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nÜber mich? Nun, da du so nett gefragt hast...\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nClanne, du... redest recht oft mit mir.\nFindest du das wirklich unterhaltsam?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nNatürlich! Ich liebe Eure Geschichten. Es ist\nsehr entspannend, mit Euch Zeit zu verbringen.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nWas ist mit Euch? Fühlt Ihr Euch durch meine\nAnwesenheit belästigt?\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nAbsolut nicht. Ich freue mich auf unsere\nGespräche. Es ist seltsam, aber ich würde mich\ngerne noch sehr oft mir dir unterhalten.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06フラン\nPrinzessin Veronica! Kann ich Euch irgendwie\nhelfen? Ich werde mein Bestes geben, mich gut\num Euch zu kümmern.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIm Moment nicht, nein. Doch... falls du Zeit\nhast, könnten wir uns doch ein wenig\nunterhalten?\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06フラン\nIch möchte diesen Ort wirklich gerne neu\ngestalten. Ich finde, eine lebhaftere Umgebung\nwürde Euch wirklich gut stehen.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nOh, denkst du? Über so etwas habe ich noch\nnie nachgedacht. Aber wenn du möchtest,\nsehe ich dir zu.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nEs ist faszinierend, dich zu beobachten. Du\nrennst so schnell, stolperst, fällst hin, stehst\nauf – und machst weiter.\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06フラン\nIch gebe niemals auf. Ich mag hinfallen, aber\nich kann mit Stolz behaupten, dass ich immer\nwieder aufstehe!\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nDu bist stärker, als man vermuten würde. Und\ndu besitzt eine schier grenzenlose Energie.\nWoher kommt die?\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nEs ist schwer, bei all dem Spaß, den wir beide\nhaben, nicht voller Energie zu sein. Ich bin\nimmer ganz begeistert, bei Euch zu sein!\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nIhr seid so früh schon auf. Was geben Euch\ndiese Morgenstunden?\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nMehr Zeit fürs Training! Es ist wichtig, sich\nzu bewegen, komme, was da wolle. Wollt\nIhr mich nicht beim Laufen begleiten?\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nAaah, heute erwartet uns ein weiterer schöner\nTag, das habe ich im Gefühl. Erfüllt Euch das\nnicht einfach nur mit Freude?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nFreude... Die habe ich noch nie wirklich ver-\nspürt. Aber jetzt schon, glaube ich. Ein wenig...\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nEin weiterer großartiger Tag. Ich bin so dankbar,\ndass ich gesund und von guten Freunden um-\ngeben bin.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIhr seid stets so... lebensbejahend. Ihr habt\nso vieles, was ich nicht besitze. Das ist\nungerecht.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nDas ist absolut nicht wahr. Wir leben am selben\nOrt und wir haben dieselben Freunde.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nStimmt. Ich habe Verbündete und einen Ort,\nan den ich gehöre. Wenn es doch nur immer\nso sein könnte...\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nDu genießt das Lesen, nicht wahr? Rein aus\nNeugierde, was für ein Buch liest du da?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nブシュロン\nEine meiner Lieblingsgeschichten. Falls Ihr\nebenfalls gerne lest, kann ich Euch gerne etwas\nempfehlen.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nWas für ein Buch liest du heute? Vielleicht\nkönnte ich es mir dir zusammen lesen?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nSicher. Hier, ich habe gerade mit diesem\nbegonnen. Lasst mich wissen, wenn ich\numblättern soll.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nIch habe eine Menge Bücher mit dir zusammen\ngelesen. Da habe ich Sorge, dass uns bald die\nGeschichten ausgehen.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nEs gibt so viele Bücher in der Welt, dass es\nmehr als ein ganzes Leben bräuchte, um sie\nalle zu lesen.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nUnd deshalb wird es immer Geschichten geben.\nWir können so lange gemeinsam lesen, wie Ihr\nmögt.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nDas höre ich gerne. Enden sind beängstigend...\nAber ich bin schon aufgeregt zu erfahren,\nwelches Buch wir als Nächstes lesen!\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nDu bist ständig in Bewegung. Warum? Ist\ndieser ausdauernde Sport nicht furchtbar\nanstrengend?\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0C\nエーティエ\nBewegung schadet nicht. Im Gegenteil, nichts\nmacht mich glücklicher! Sport hilft mir, einen\nklaren Kopf zu behalten.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nエーティエ\nIch bin der Meinung, Sport gibt einem sehr viel.\nWie sieht es aus? Wollt Ihr mich nicht beim\nLaufen begleiten?\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nDas gehört nicht zu meinen Vorlieben... Aber\nwenn es mir dabei hilft, eine gute Kaiserin zu\nwerden, ziehe ich es in Betracht.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nエーティエ\nNachher werde ich eine Teepause einlegen.\nMöchtet Ihr mich begleiten?\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIch mag Tee. Als mein Bruder noch bei mir\nwar, haben wir beide ständig gemeinsam Tee\ngetrunken.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nOh, ja? Erzählt mir mehr.\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nDas werde ich – beim Tee. Ich bin neugierig\ndarauf, die Teesorten dieser Welt zu entdecken.\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nIch würde gerne mehr über Euch erfahren. Da\nIhr die Prinzessin von Embla seid, sind unsere\nRollen vergleichbar.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nOh... ja. Ich möchte ebenfalls mehr über Euch\nerfahren. Wie ist der Regent Eures Landes so?\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nWir wollten gerade mit unserer Teestunde\nbeginnen. Möchtet Ihr uns Gesellschaft leisten?\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nWenn ich mich hinsetzen und zuhören darf...\ndann bin ich gerne dabei. Ich habe nichts gegen\nlebhafte Unterhaltungen.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nEs muss schön sein, dass Ihr so viel Zeit mit\nEurem Bruder verbringen könnt.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nEuer Bruder befindet sich auf einer Reise,\nnicht wahr? Ich bin sicher, dass er, wo immer\ner sich gerade befindet, an Euch denkt.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nSo sind doch schließlich alle Geschwister. Ich\nbin sicher, dass auch Ihr stets an ihn denkt.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nJa, da habt Ihr recht. Ich danke Euch... Ich\nfühle mich besser, nachdem ich mit Euch\ndarüber gesprochen habe.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x06\x04ルイ\nIhr seid wahrhaftig eine Macht, die man in einer\nSchlacht nicht übersehen kann. An Eurer Seite\nzu kämpfen, macht mich ganz ehrfürchtig.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nDu bist selbst ein starker Ritter. Ich würde dich\nzu gerne zu einer meiner Marionetten machen.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nBruder... Ich vermisse dich so sehr.\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x06\x04ルイ\nOh, Ihr habt einen Bruder? Ich würde ihn gerne\nirgendwann mal kennenlernen.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x06\x04ルイ\nAls ich noch bei meiner Familie war, bereitete\nich ihnen oft einen besonderen Schwarztee zu.\nMögt Ihr schwarzen Tee?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nDas tue ich, ja. Immer, wenn mein Bruder\nzu Hause war, haben wir gemeinsam Tee\ngetrunken.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nNun, dann setze ich mal eine Kanne auf. Ich\nhabe einige vorzügliche Teeblätter, die wir\ngemeinsam genießen können.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nDas klingt nett. Ich freue mich schon darauf,\ndeinen Erzählungen zuzuhören.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06クロエ\nWie wunderbar! Eine Prinzessin aus einem\nmagischen Armring! Bitte erzählt mir alles\nüber Eure Welt.\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIn Embla gibt es nichts. Gar nichts. Firene\nist dagegen reich gefüllt.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06クロエ\nPrinzessinnen haben nur selten die Gelegenheit,\nImbissbudengerichte zu probieren.\nIch wünschte, ich könnte Euch eines anbieten.\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nDaran habe ich eigentlich kein Interesse. Ich\nmag allerdings schwarzen Tee.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06クロエ\nIhr sagtet, Ihr würdet schwarzen Tee mögen,\nrichtig? Ich habe im Ort eine köstliche Mischung\ngefunden und musste sie einfach kaufen.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nAaah, sie duftet herrlich. Würdest du für mich\netwas davon zubereiten?\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nNatürlich. Selbst wenn Ihr den Tee nicht trinken\nkönnt, könnt Ihr doch seinen Duft genießen.\nUnd wir können uns unterhalten!\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nMich mit dir bei einer Tasse Tee zu unterhalten,\nklingt nett. Ich freue mich schon darauf, dich\nbesser kennenzulernen.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nIn der anderen Welt war mein Armring in der\nObhut Brodias. Euch wiederzusehen, scheint\nSchicksal zu sein.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nEuch verbindet also etwas mit meinem Land.\nDann ist es mir eine besondere Freude, Euch\nkennenzulernen.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nEinst kämpfte ich gegen einen König, der das\nFeuer beherrschte. Seitdem hasse ich Feuer.\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nDa bin ich ganz bei Euch. Ich habe vor Jahren\nversucht, Feuermagie zu nutzen, aber es ging\nfurchtbar schief.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nVeronica, Ihr geht auf herausragende Weise\nmit Magie um. Ihr müsst sehr hart daran gear-\nbeitet haben, um so mächtig zu werden.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nDas habe ich nicht. Ich habe ein natürliches\nTalent dafür.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nSelbst wenn das wahr ist, so habt Ihr doch den\nverantwortungsbewussten Umgang damit ge-\nlernt. Euch zu beobachten hat mich viel gelehrt.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nIch möchte ebenfalls von Euch lernen. Vielleicht\nkönntet Ihr mir beibringen, wie man ein guter\nRegent wird.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08アンバー\nEin Emblem erscheint aus einem Armring...\nWas für ein romantischer Gedanke. Erzählt\nmir etwas von Euch!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nDa du so ein Interesse zeigst... kann ich\nwohl mit dir reden. Aber... was ist daran so\nbeeindruckend?\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08アンバー\nVeronica, wie gut kennt Ihr Euch mit Alpakas\naus? Sie sind so wunderbar niedlich und fluffig!\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nDer Name sagt mir nichts. Aber wenn sie\nniedlich und fluffig sind... könnte mich das\nein wenig interessieren.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nAmber, du bist ständig fröhlich und lachst. Wie\nlacht man? Würdest du mir das beibringen?\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nWie man... Nun, man lacht, wenn man Spaß\nhat. Ich weiß was! Seht Euch mein Gesicht an.\nUnd zwar... JETZT!\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nHahaha! Urplötzlich so ein lächerliches Gesicht\nzu machen... Sehr raffiniert.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08アンバー\nGenau das ist es! Ihr habt ein wunderschönes\nLachen. Ich werde Euch gerne dabei helfen,\ndas Lachen zu üben – wann immer Ihr mögt!\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nJade, du erfüllst deine Pflichten gewissenhaft.\nDas ist eine gute Qualität. Ich will, dass du\nmir gehörst.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nEs ist eine Ehre, von Euch gelobt zu werden.\nIch werde mit Freuden weiter Eure „Eiserne\nMauer“ sein.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nIch würde gerne einen Charakter für eine\nGeschichte nach Euch gestalten. Was würdet\nIhr dazu sagen?\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIch würde ja sagen. Ich bin neugierig zu\nerfahren, was du schreibst. Wenn du damit\nfertig bist... könntest du mir das zeigen?\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nMeine Geschichte, für die ich Euch als Vorbild\ngenommen habe, ist fertig. Würdet Ihr mir wohl\nEure ehrliche Meinung dazu sagen?\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nJa, ich möchte sie lesen. Leg sie doch hierhin,\ndann können wir sie gemeinsam lesen.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nIch habe ein Stadtmädchen nach Euch gestaltet.\nHier, auf dieser Seite erscheint es zum ersten\nMal.\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nWie seltsam... Das bin ich... Geht die\nGeschichte noch weiter? Jetzt bin ich aber\nsehr neugierig geworden.\x0E\x04\x00\x00
