MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nHey, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Was meint Ihr?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nAlso, gesteht Ihr Eure Niederlage ein und gebt\nzu, dass Ihr vollständig bezaubert seid?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nDu siehst wirklich niedlich aus. Und ich bin mir\nsicher, dass du viel Arbeit investiert hast, aber...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nIch habe dir neulich schon gesagt, dass\nNiedlichkeit nicht beeinflusst, wie ich jeman-\nden behandle. Wieso lässt du davon nicht ab?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch mag es nicht, darüber zu reden, aber... in\nOrdnung.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nMeine Mutter war eine der Mätressen des\nKönigs. Sie hatte am Hofe stets unter\nhinterhältigen Intrigen zu leiden.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nAber ich habe sie nie verärgert gesehen. Sie\nnahm jede Beleidigung mit einem erhabenen,\ngrazilen Lächeln auf.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nDieses Lächeln sicherte ihren Platz bei Hofe.\nEs nahm sogar die Königsgemahlin für\nsie ein.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nSo lernte ich, dass Charme eine eigene\nMacht besitzt. Und ich werde meinen genau\nso einsetzen, wie sie es tat.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nVerstehe. Aber darf ich dich etwas fragen?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nDenkst du nicht, deine Mutter hatte vielleicht\nnoch ein anderes Motiv als nur ihr eigenes\nÜberleben?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nWelches sollte das sein?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nVielleicht tat sie all dies auch, damit du\nlernst, ebenfalls bei Hofe zu überleben.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nSie wusste, sie würde nicht immer für dich\nda sein können. Daher wollte sie, dass du von\nihr lernst.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nGenau das macht für mich wahren Charme aus\n– die Art, wie wir jenen helfen, die wir lieben.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nMutter... Das war mir nie bewusst...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nHier, für Euch, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche – genießt es!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nHast du, äh, etwas für mich gekocht?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nA-hm! Und die Gewürze darin werden Euch\nwärmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch habe auch ein paar Heilkräuter für Euch\ngesammelt. Hier, bitte schön.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nÄhm, danke.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nDas ist wirklich alles sehr schön, aber... warum?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nIhr habt mir etwas gesagt, das mir die Augen\ngeöffnet hat.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nWenn ich wahrhaft charmant werden will, muss\nich mich darin üben, anderen zu helfen.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nMein Verhalten von neulich tut mir leid.\nKönnt Ihr mir verzeihen?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nNatürlich. Ich war dir doch nie böse.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas höre ich gern.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nDie Leute damals liebten meine Mutter, weil sie\nsowohl charmant als auch gütig war.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch habe noch einen weiten Weg vor mir, wenn\nich so sein möchte, wie sie es war.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nAber ich danke Euch, dass Ihr mir geholfen\nhabt, das herauszufinden.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nGern geschehen. Und du bist auf dem richtigen\nWeg, um alle für dich einzunehmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch frage mich allerdings... wenn ich dann eines\nTages durch und durch charmant bin, innerlich\nund äußerlich...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nWerdet Ihr dann immer noch behaupten können,\nNiedlichkeit sei Euch egal, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nDa fällt mir schon noch was ein.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nHa! Oh, das glaube ich kaum! Ihr werdet schon\nnoch eine ganz andere Melodie singen!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nWir werden sehen.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0A\x08リュール\nDu bist in letzter Zeit bestens aufgelegt,\nHortensia.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nJepp, das bin ich. Wie sich herausstellte, macht\nes andere glücklich, wenn man nett zu ihnen ist.\nUnd das macht mich dann wieder glücklich.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nDas erklärt, warum du in letzter Zeit ständig von\nFreunden umgeben bist.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nVermutlich. Hey, Momentchen. Was höre ich\nda?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nHöre ich da etwa ein kleines bisschen Eifersucht\naus Eurer Stimme heraus, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nWas? Natürlich nicht!\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nHihihi, ich kann nicht glauben, dass \x0E\x0A\x00\x10\x06der\x06die\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin eifersüchtig ist. Das tut meinem\nEgo sehr gut.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nAber Ihr habt nichts zu befürchten. Wie beliebt\nich auch immer sein werde, ich werde stets\nZeit für Euch haben.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nWeil Ihr mir am Herzen liegt.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nTue ich das?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nAAAH! All mein graziles, gefasstes Benehmen,\nzerstört in einem Augenblick der Schwäche!\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nKönnen wir so tun, als hättet Ihr das nicht\ngehört?\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nAuf keinen Fall!\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nErbarmungslos.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nDu hattest recht, Hortensia.\nIch war eifersüchtig.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nIch habe die Zeit mit dir stets genossen. Nun\nbist du so beliebt, dass für mich weniger Zeit\nbleibt.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nDadurch wurde mir klar, welchen Schritt ich\nnun als Nächstes unternehmen muss.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas ist... der Paktring.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nIhr gebt ihn mir?\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nJa.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch weiß gar nicht, wo ich anfangen soll, um\nEuch zu erklären, wie viel er mir bedeutet. Ich\nwerde ihn für immer bewahren.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nIch kann nur staunen, was für eine wunderbare\njunge Frau du geworden bist.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nIch staune so sehr, dass ich das Gefühl habe,\ndass ich an meiner eigenen Güte arbeiten muss.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0E\x0Cオルテンシア\nMacht Euch nicht lächerlich. Ihr seid unglaub-\nlich, und das schon seit dem Tag, an dem wir\nuns das erste Mal trafen.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0E\x0Cオルテンシア\nUnd seit damals seid Ihr noch viel\nunglaublicher geworden.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nHahaha! Wenn du weiter so redest, glaube ich\nirgendwann noch selbst daran.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0E\x0Cオルテンシア\nGut. Je eher, desto besser.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0E\x0Cオルテンシア\nDenn wäre all dies nicht wahr, dann wärt Ihr\nmir niemals so sehr ans Herz gewachsen.\x0E\x04\x00\x00
