MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x06\x04ルイ\nIst der Tee zu Eurer Zufriedenheit,\nPrinzessin Céline?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ルイ\nHahaha, das glückselige Gesicht meiner\nPrinzessin ist der Mühe Lohn.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ルイ\nArgh!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セリーヌ\nHm? Stimmt etwas nicht mit deinem Arm?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ルイ\nNichts Erwähnenswertes. Nur ein kleiner\nVorfall, der sich während der Beschaffung\nder Teeblätter ereignete.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セリーヌ\nWas ist geschehen?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x06\x04ルイ\nDiese Teeblätter gedeihen leider nicht auf\nPlantagen, sondern wachsen in freier Natur.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ルイ\nDer Weg zu ihren Feldern ist tückisch,\nda dort wilde Bestien hausen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セリーヌ\nUnd eine dieser Bestien griff dich an...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ルイ\nBitte grämt Euch deshalb nicht. Es ist bloß eine\noberflächliche Wunde, nichts weiter.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04ルイ\nFür solch kostbare Teeblätter würde ich\nHunderte Verletzungen wie diese erleiden.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ルイ\nWie dem auch sei, Eure frische Kanne Tee\nist fertig. Dürfte ich wohl Eure Tasse haben?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08セリーヌ\nMir ist die Lust darauf vergangen.\nEinen angenehmen Tag noch, Louis.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x06\x04ルイ\nHabe ich sie beleidigt?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nLouis, ich muss um Vergebung bitten.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nIch bin einfach gegangen, ohne den Tee zu Ende\nzu trinken, den du so mühevoll zubereitet hast.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nAll das, was du für diese Blätter erleiden\nmusstest...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ルイ\nEs besteht kein Grund, sich zu entschuldigen,\nPrinzessin Céline.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ルイ\nIch war es, der Euch Eure vergnügliche\nStimmung vergällt hat.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セリーヌ\nLouis... Es gibt viele Freuden in meinem Leben.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セリーヌ\nDie Art, wie du für mich Tee zubereitest, ist\neine von ihnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ルイ\nHabt Dank.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セリーヌ\nDer Tee, den du aus deinen besonderen\nTeeblättern gekocht hast, bereitete mir\nsogar noch mehr Freude als sonst.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セリーヌ\nUnd dennoch... Louis, hör mir gut zu.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セリーヌ\nEs betrübt mich sehr, dass du dich in Gefahr\nbegibst, nur um mir diese Freude zu bereiten.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ルイ\nPrinzessin Céline?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セリーヌ\nIch brauche nicht mehr als das Vergnügen\ndeiner Gesellschaft, während ich Tee trinke.\nDie Sorte ist mir einerlei.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セリーヌ\nEs bedarf keiner ausgefallenen Gesten. Diese\nkleine, alltägliche Freude genügt mir vollends.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ルイ\nIhr erfüllt mich mit Demut.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ルイ\nIch erkenne nun, dass ich Eure Bedürfnisse\nwohl fehlgedeutet habe. Ein höchst\nunschicklicher Schnitzer.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ルイ\nDiesen Fehler werde ich nicht noch einmal\nbegehen. Ich schwöre Euch, hier und jetzt...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ルイ\nIch werde an Eurer Seite verweilen, um über\ndie kleinen Freuden Eures Lebens zu wachen.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セリーヌ\nSehr gut. Nichts Geringeres erwarte ich von dir.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08セリーヌ\nNun, da dies geklärt wäre... Dürfte ich\ndich bitten, eine Kanne Tee aufzusetzen?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ルイ\nGewiss doch. Ihr habt sicher nichts dagegen,\nwenn ich diesmal auf die besonderen Teeblätter\nverzichte, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08セリーヌ\nHahaha, ich bitte darum.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セリーヌ\nSolch kleine Momente wie dieser vermögen,\nselbst den gewöhnlichsten Tee zu etwas ganz\nBesonderem zu machen.\x0E\x04\x00\x00
