MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nIch stelle gerne meine Macht zur Verfügung,\nso von Drache zu Drache, damit ihr den Krieg\nbeenden könnt.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nHmm... In diesem Fall muss ich mich wohl doch\nzusammenreißen, damit du im Kampf nicht\nverletzt wirst.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x08\x06カムイ\nDu bist so umsichtig, Gregory. Ich gebe mein\nBestes, damit niemand dein gütiges Herz\nverletzt.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nマデリーン\nIch hörte, dass Ihr Euren Feinden vergeben habt\nund Ihnen Vertrauen schenktet. Als Ritterin zolle\nich Eurer Großherzigkeit höchsten Respekt.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x08\x06カムイ\nMeine Furcht ließ mich den Kampf hassen.\nIch denke, jetzt bin ich dank euch allen hier\nstärker geworden.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nDu hast einen starken Willen, Madeline.\nDu beschreitest deinen gewählten Pfad\nals Ritterin, ohne zu wanken.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nIch brauche kein Lob. Ich arbeite lediglich\ndarauf hin, ein edler Ritter zu werden, genau\nwie meine Eltern.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nIch hatte Angst vor Kämpfen und dem Anblick\nVerwundeter. Du bist jünger, als ich damals war.\nIch bin beeindruckt.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nIch bin nicht allein so weit gekommen.\nIch bin die, die ich bin, dank der Unterstützung\nmeiner Eltern und meiner Verbündeten.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06カムイ\nSelbst wenn man vor Angst wie versteinert ist,\nkönnen Freunde dabei helfen, weiterzugehen.\nSchreiten wir gemeinsam weiter voran.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nJa. Ich will mich nicht nur auf andere verlassen,\naber es ist beruhigend, Euch an meiner Seite\nzu wissen.\x0E\x04\x00\x00
