MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0A\x08アイビー\nHortensia.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nWas ist dir am deutlichsten in Erinnerung\ngeblieben?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アイビー\nIhr Lächeln habe ich am klarsten vor Augen.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アイビー\nMeine Mutter hasste alle Mätressen meines\nVaters. Ganz besonders deine Mutter.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アイビー\nSie und all die, die sich gut mit ihr stellen\nwollten, ließen keine Gelegenheit aus, deine\nMutter auf üble Weise zu behandeln.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アイビー\nTrotz all der schlechten Behandlung schien\ndeine Mutter niemals ihr Lächeln zu verlieren.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nJa...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アイビー\nDurch ihren Charme und durch ihre Weisheit\ngewann sie sogar meine Mutter irgendwann für\nsich.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アイビー\nSie verwandelte ihre größte Feindin durch\nreine Entschlossenheit in eine Freundin.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アイビー\nDas hinterließ einen starken Eindruck bei mir.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アイビー\nDurch sie erkannte ich, wie stark ein Elternteil\nzum Wohle seines Kindes sein kann.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nWie stark?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アイビー\nJa.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アイビー\nMir erscheint es so, als ob deine Mutter in diese\nSchlachten zog, um für dich einen sicheren\nPlatz zu schaffen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nFür mich?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アイビー\nJa. Sie hatte eine Art, alle, die sie kannten, mit\nihrem Strahlen zu erhellen.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アイビー\nDer Grund für ihr Strahlen warst du.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas war etwas, das ich hören musste.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cオルテンシア\nDanke schön, Ivy.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nHey, Ivy?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アイビー\nJa?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nGlaubst du... ich könnte eines Tages wie meine\nMama werden?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch meine, ich sehe schon wie sie aus. Aber\nich bin nicht sicher, ob ich ihre anderen\nEigenschaften besitze.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アイビー\nWeißt du, Hortensia...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アイビー\nIch denke, das tust du.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アイビー\nDu hast sie verloren, als du sieben warst,\nrichtig?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nJa.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アイビー\nAber du bist im Schloss geblieben, ganz ohne\nden Schutz deiner Mutter.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アイビー\nDu weißt selbst, was für eine Schlangengrube\ndas ist. Ein gewöhnliches Kind könnte dort\nniemals überleben.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アイビー\nAber deine Ausstrahlung ermöglichte dir das.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nWie meinst du das?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アイビー\nDu hast deinen Charme und Verstand genutzt,\num Verbündete und einen sicheren Platz im\nSchloss zu finden. Kommt dir das bekannt vor?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アイビー\nAuch in der Akademie hast du geglänzt. Du\nhast sogar Klassen übersprungen, um mich\neinzuholen.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アイビー\nDas alles hast du ganz allein geschafft, durch\ndeine eigenen Leistungen.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アイビー\nErkennst du es immer noch nicht?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アイビー\nDu sagtest, du hoffst, eines Tages so zu sein\nwie deine Mutter.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アイビー\nAber das bist du schon. Dein Strahlen erhellt\nalle, mit denen du in Berührung kommst, so\nwie es bei ihr war.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch... Ich kann nicht glauben, dass du mich\nso siehst.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch danke dir.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アイビー\nIch sollte dir danken.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アイビー\nDu warst ein Vorbild, das mir so viele Male\nMut gegeben hat, dass ich es nicht mehr zählen\nkann.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\nDanke, dass du dein Strahlen auf mich\nscheinen lässt, Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cオルテンシア\nOooh...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch werde alles tun, damit ich dem Bild, das\ndu von mir hast, gerecht werde.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cオルテンシア\nEs war so schwer, nicht einfach zu verzweifeln\nund aufzugeben, als wir beide getrennt waren.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cオルテンシア\nVater war fort, du ebenso. Ich hatte niemanden.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08アイビー\nEs tut mir ehrlich leid, Hortensia. Von nun\nan werden wir zusammen sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas sollte besser ein Versprechen sein, denn\ndu wirst mich nicht wieder los.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08アイビー\nAbsolut. Wir werden niemals wieder getrennt\nsein. Das verspreche ich.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08アイビー\nIch kann mich glücklich schätzen, eine Familie\nwie dich zu haben, Hortensia. Ich werde sie\nnie wieder loslassen.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0E\x0Cオルテンシア\nGut. Ich auch.\x0E\x04\x00\x00
