MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0A\x08リュール\nPuh, das ist genug Training für heute.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0C\nヴァンドレ\nDa ich Euch auch weiterhin dienen will,\nhalte ich es für das Beste, Euch reinen\nWein einzuschenken.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0C\nヴァンドレ\nAls ich in das Somniel entsandt wurde, um Euch\nzu behüten, war ich anfangs alles andere als\nglücklich darüber.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nWirklich?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0C\nヴァンドレ\nJa. Bevor ich in Eure Dienste trat, wünschte\nich mir nichts sehnlicher, als Königin Lumera\nbis ans Ende meiner Tage dienen zu können.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0C\nヴァンドレ\nDoch trotz meiner vielen Proteste bestand\nsie darauf, dass ich über Euch wachen sollte\nwährend Eures Schlafes.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0C\nヴァンドレ\nIch fühlte mich aussortiert – als hätte ich\nversagt als ihr Behüter. Ich war geplagt von\ndüsteren Gedanken, als ich im Somniel ankam.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nVerstehe... Wie kam es denn dann zu Eurem\nSinneswandel?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0C\nヴァンドレ\nAnfangs führte ich schlichtweg Königin Lumeras\nBefehle aus.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0C\nヴァンドレ\nDoch nun diene ich Euch, weil ich an Euch\nglaube. Weil ich Vertrauen in Euer Herz und\nEuren Willen habe, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nVander...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0C\nヴァンドレ\nErst nach Königin Lumeras Tod wurde mir klar,\ndass sie gewusst haben muss, wie wenig Zeit ihr\nnoch blieb.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0C\nヴァンドレ\nDas muss auch der Grund gewesen sein,\nweshalb sie mich zu Eurem Behüter machte und\nmir befahl, Euch Unterstützung zu gewähren.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0C\nヴァンドレ\nFür einen Behüter kann es keine größere Ehre\ngeben, als das Kind von Königin Lumera\nanvertraut zu bekommen.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nヴァンドレ\nDamals erkannte ich dies in meiner Torheit\nnicht, doch inzwischen ist es mir klar. Für diese\ndamalige Einfalt muss ich mich entschuldigen.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nEs gibt nichts, wofür Ihr Euch entschuldigen\nmüsstet... Und danke, dass Ihr so offen mit mir\ndarüber gesprochen habt, Vander.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0C\nヴァンドレ\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, würdet Ihr mir wohl gestatten, Euch\naufs Neue meine Treue zu schwören?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nAber natürlich.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0C\nヴァンドレ\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche... hiermit gelobe ich Euch meine\nimmerwährende Loyalität!\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nVander, ich erkenne Euch als meinen besten\nRitter an.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nUnd um dies zu ehren, möchte ich Euch das\nhier geben.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0C\nヴァンドレ\nIhr gebt mir Euren Paktring?! Etwas derartig\nWertvolles könnt Ihr doch nicht so jemandem\nwie mir überlassen!\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nUnd ob ich das kann. Ich möchte, dass Ihr ihn\nan Euch nehmt, Vander.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nDieser Ring wird unter den Wyrmgöttern\nweitergereicht und signalisiert ein besonderes\nBand mit ihnen.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08リュール\nInsofern gibt es niemanden, der würdiger ist als\nIhr, der Ihr sowohl meiner Mutter als auch mir\nunermüdlich zur Seite gestanden habt.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0C\nヴァンドレ\nIch hätte nie gedacht... dass mir eines Tages\nsolch Ehre zuteilwird.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nHa! Bei meinem Erwachen habt Ihr ähnliche\nWorte von Euch gegeben, wenn ich mich nicht\nirre. Seitdem wart Ihr stets bei mir.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08リュール\nUnd nun bitte ich Euch darum, bis zum Ende an\nmeiner Seite zu bleiben.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0C\nヴァンドレ\nEs ist mir eine Ehre! \x0E\x0A\x00*\x14Göttlicher\x12Göttliche, ich werde Euch\nfolgen – falls nötig sogar bis ans Ende der Welt.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0C\nヴァンドレ\nUm mich dieses Ringes als wirklich würdig zu\nerweisen, will ich dafür sorgen, dass Ihr nie\nwieder zu Schaden kommt.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0C\nヴァンドレ\nIch, Vander, schwöre, Euch zu beschützen. Ich\nwerde Euer Schwert und Schild sein, selbst\nwenn es mich das Leben kosten sollte.\x0E\x04\x00\x00
