MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04エル\nEuer Haar scheint so hell wie Feuer. Es ist\nein Leuchtfeuer auf dem Schlachtfeld.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x06\x04ロイ\nEr war unglaublich. Im Vergleich zu ihm bin ich\nnur ein kleiner Junge. Ich kann nur hoffen, eines\nTages so zu werden wie er.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nラファール\nIch dachte, ich besäße Macht und Stärke, doch\nich bin immer noch... schwach. Ist es seltsam,\nmehr zu wollen?\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x06\x04ロイ\nMeiner Meinung nach ist Macht an sich weder\ngut noch schlecht, daher finde ich den Wunsch\ndanach nicht seltsam.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x06\x04ロイ\nIch benötigte ebenfalls Macht, um einen\nAufruhr zu beenden. Das Wichtigste dabei ist,\nzu wissen, wie man mit ihr umgeht.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nIch habe nicht vor, meinen Weg zu verlassen.\nIch werde mir treu bleiben, so wie Ihr es mir\ngezeigt habt.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nWas ist denn, Roy? Ihr seht mich unverwandt\nan. Habe ich etwas an mir? Ihr könnt ehrlich\nzu mir sein.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x06\x04ロイ\nIhr seid ein Magiedrache, nicht wahr? In meiner\nWelt existieren ebenfalls Magiedrachen, aber ich\nkenne keinen, der dir ähnlich wäre.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nMir kam zu Ohren, dass du dich nicht mit den\nanderen hinsetzt, um etwas zu essen. Ist alles\nin Ordnung, Zelestia?\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, ich bin einfach nur immer so beschäftigt.\nIch sollte mir die Zeit für ein gutes Essen\nnehmen. Danke, dass Ihr auf mich Acht gebt.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nMeine Freunde sind meine Familie. Wenn ich\nmir vorstelle, wieder jemanden zu verlieren,\nbekomme ich Angst.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x06\x04ロイ\nIch hatte einst ein ähnliches Gefühl, als ich das\nKommando über die Armee erhielt. Die Unter-\nstützung meiner Freunde gab mir Mut.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x06\x04ロイ\nIch möchte dich unterstützen und dir helfen,\ndeine Angst zu lindern, so wie meine Freunde\nmir halfen.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nVielen Dank, Roy. Ihr seid für mich ebenfalls\nFamilie. Ich kann es kaum erwarten, mit Euch\nan meiner Seite zu kämpfen.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nIch habe noch niemals Kleidung wie die deine\ngesehen, Gregory. Hat sie eine besondere\nBedeutung?\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nNormalerweise mag ich es nicht, so furchtein-\nflößend auszusehen. Aber das hält andere\ndavon ab, sich mit mir anzulegen.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nIch habe mir eine Strategie erarbeitet, wie ich\nflüchten kann, während ich eingekesselt bin.\nWürdet Ihr mir Eure Meinung dazu sagen?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x06\x04ロイ\nSicher. Ich sehe vielleicht nicht so aus, aber\nich habe einst eine Armee kommandiert. Ich\nhelfe dir liebend gern dabei.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nSagt mal, Roy... Schmerz und Furcht sind\nsehr unangenehm, meint Ihr nicht?\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x06\x04ロイ\nIn der Tat, ja. Schmerz und Furcht verursachen\nso viel Leid. Mein Wunsch ist es stets, dies\nzu vermeiden.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nDas ist auch mein Wunsch. Und um ihn wahr\nzu machen, kann ich nicht einfach bloß weg-\nrennen. Ich muss für den Frieden einstehen.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x06\x04ロイ\nDas sehe ich genauso. Bitte erlaube mir daher,\ndich bei deiner Mission, dieser Welt den Frieden\nzu bringen, zu unterstützen.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nDie Art, wie du gekämpft hast, war beeindru-\nckend... Geradezu meisterhaft hast du Gegner\nbesiegt, während du die anderen beschützt hast.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nSolch ein Lob verdiene ich nicht. Ich habe nur\ngetan, was getan werden musste.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nマデリーン\nEuch gebührt die Anerkennung. Nicht nur auf\ndem Schlachtfeld zeigt Ihr Haltung und Würde.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x06\x04ロイ\nWenn du es so ausdrückst... ist mir das schon\netwas peinlich. Aber ich danke dir dafür.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nマデリーン\nIhr seid von Adel, aber Ihr zeigt einem jeden\ngegenüber Bescheidenheit.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nNicht nur das! Ihr führt das Schwert auf\nmeisterhafte Weise. Wie kann ich so\nbemerkenswert werden?\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x06\x04ロイ\nIch denke nicht, dass ich mich schon mit\nmeinem Vater vergleichen kann, aber meine\nErfahrung auf dem Schlachtfeld spricht für sich.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x06\x04ロイ\nFalls du Interesse hast, bringe ich dir gerne bei,\nwas ich weiß – und gemeinsam können wir so\ndanach streben, den Frieden wiederherzustellen.\x0E\x04\x00\x00
