MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x06\x04エル\nEure Leistung in der letzten Schlacht war\nwirklich beeindruckend, Ike. Ich würde sagen,\nIhr seid ziemlich stark.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06アイク\nStirnband? Oh, ja. Ich bin übrigens Ike.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0C\nグレゴリー\nDanke für deine Rettung neulich. Ohne dich\nhätte ich echt alt ausgesehen.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x08\x06アイク\nKeine Ursache. Allerdings habe ich doch\ngedacht, dass du auch allein ganz gut zurecht\nkommen würdest.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0C\nグレゴリー\nIch... hasse das Kämpfen wirklich. Ich habe\ngenug Schmerz und Angst erlebt, das reicht\nfür ein ganzes Leben.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06アイク\nUnd dennoch ziehst du in die Schlacht. Das\nallein zeigt schon, wie mutig und entschlossen\ndu bist.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nNicht so wirklich. Ich kämpfe nur, weil ich\nkämpfen muss. Ansonsten bin ich einfach nur\nein Feigling, der nichts anderes zu bieten hat.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x08\x06アイク\nDas stimmt absolut nicht. Du bist ein wertvoller\nVerbündeter und ich werde mich bis zum Ende\nauf dich verlassen.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nDie Art und Weise, wie du dich auf dem\nSchlachtfeld schlägst, sagt mir, dass du gut\nausgebildet bist.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nIch trainiere jeden Tag, ohne Ausnahme. Meine\nEltern waren herausragende Ritter. Ich möchte\nsie stolz machen.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0C\nマデリーン\nIhr verfügt über eine unglaubliche Stärke. Wie\ngenau sah Euer Training aus, um so stark zu\nwerden?\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x08\x06アイク\nNicht anders als deines. Ich habe nur mit einem\nGedanken trainiert – ich hoffe, so zu werden\nwie mein Vater.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nDu warst in der letzten Schlacht recht\nwaghalsig. Ist etwas passiert? Du kannst gerne\nmit mir darüber reden, wenn du magst.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nIch glaube, ich habe mich so verhalten, weil\nich unbedingt so schnell wie möglich eine\naußergewöhnliche Ritterin werden will.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06アイク\nVersuch, es dabei nicht zu übertreiben. Das\nWichtige ist, innerhalb deiner Fähigkeiten das\nBeste zu geben.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nIhr habt recht. Wenn Ihr damit einverstanden\nseid... dann seid bitte ab nun mein Mentor!\x0E\x04\x00\x00
