MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0A\x08ロサード\nHey, Goldmary! Könntest du mir beibringen,\nwie man kocht?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDennoch verstehe ich immer noch nicht, warum\ndu überhaupt kochen lernen wolltest.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\nIch habe versucht... mit dir gleichzuziehen,\nGoldmary.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ロサード\nIn den Schlachten hältst du mir ständig den\nRücken frei. Ich wollte, dass du siehst, dass\ndu dich auf mich verlassen kannst.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\nMan könnte wohl sagen, ich habe versucht...\nzu wachsen. Als Person.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDas ist wirklich süß von dir. Ich muss dich\naber fragen...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWie soll es mir helfen, dir auf dem Schlachtfeld\nzu vertrauen, weil du ein guter Koch bist?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ロサード\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIst schon gut. Selbst wenn all deine Anstren-\ngungen nichts bedeuten, bin ich stolz auf dich.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ロサード\nUff! Ist ja gut, ist ja gut, ich habe es\nverstanden.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHahaha, keine Sorge. Ich werde dir weiterhin\nmein Leben anvertrauen, auf dem Schlachtfeld\nund in der Küche.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ロサード\nGut. Ich werde dich nicht enttäuschen.\x0E\x04\x00\x00
