MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nIhr seid das Herz dieser Gruppe. Ich werde\nalles tun in meiner Macht Stehende tun, um\nEuch vor Schaden zu bewahren.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nIch bin sicher, Ihr seid darin recht talentiert.\nWas für Motive habt Ihr denn gestickt?\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nVander, würde es Euch etwas ausmachen, wenn\nich Euch ein wenig beim Stricken zusehe?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nÜberhaupt nicht. Ihr könnt mich dabei mit\nEuren Geschichten erfreuen.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x08\x06カミラ\nPerfekt. Wollen wir dann den Tag gemeinsam\nverbringen, mit Stricken und Geschichten-\nerzählen?\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nDas klingt wunderbar. Aber bitte seht mir nicht\nzu konzentriert zu – das macht mich nervös.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nClanne, ich wollte dir sagen, wie beeindruckt\nich von dir bin. Du bist immer so fleißig.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nVielen Dank, Prinzessin Camilla. Solltet Ihr\netwas brauchen, was immer es auch ist, bitte\nfragt mich einfach.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06クラン\nEntschuldigt bitte, Prinzessin Camilla. Ich freue\nmich über Euer Lob, aber meint Ihr nicht,\nIhr übertreibt ein wenig?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06カミラ\nGanz und gar nicht, lieber Clanne. Du bist so\neine große Hilfe – für mich und für die anderen.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nGibt es schöneres Gefühl, als etwas für die-\njenigen zu tun, die man liebt? Ich würde wohl\nalles für Corrin tun.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nIch denke mir ständig neue Wege aus, wie ich\n\x0E\x0A\x00\x10\x06dem\x06der \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin helfen kann. Habt Ihr ein paar\nIdeen?\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06カミラ\nHmm, mal sehen... Oh! Ich hatte mir überlegt,\nin der Schlacht eine Fahne zu schwenken, um\nCorrin anzufeuern.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nJa, die Idee ist großartig! Wir können Fahnen\nnähen und beide anfeuern!\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nDu hast in der letzten Schlacht so heldenhaft\ngekämpft. Deine Stärke ist beeindruckend.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06フラン\nMeint Ihr? Nun, dann werde ich mich noch\nmehr anstrengen, damit Ihr immer beeindruckt\nseid!\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nIch würde zu gerne wissen, was unter den\nMädchen hier in dieser Welt gerade beliebt\nist.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06フラン\nHmm, ich persönlich finde rote Beete toll. Sie\nsind so schön rot und so lecker! Ich habe immer\nwelche bei mir!\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nDu verehrst \x0E\x0A\x00\x10\x06den\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin sehr, nicht wahr?\nIrgendwie kommen wir stets auf dieses Thema\nzurück...\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06フラン\nDas tue ich. Aber ihr sprecht oft über Milady\nCorrin, daher könnte ich mir vorstellen, dass\nIhr dasselbe für sie empfindet.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nMir macht es Spaß, über diejenigen zu reden,\ndie uns wichtig sind. Und ich unterhalte mich\nsehr gerne mit Euch!\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06カミラ\nOh, mir macht das auch Freude. Aber jetzt mal\ngenug von den anderen. Erzähl mir etwas über\ndich...\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nIch habe mir gedacht, dass es Spaß machen\nkönnte, ein wenig Zeit miteinander zu ver-\nbringen. Wollt Ihr mit mir Laufen gehen?\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06カミラ\nDas klingt wunderbar. Aber ich denke, ich\nwerde Euch auf dem Rücken meines Wyverns\nbegleiten, wenn Ihr nichts dagegen habt.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWie bleibt Ihr in guter Kampfform? Gibt es da\neinen besonderen Trick beim Training?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x08\x06カミラ\nHmm, ich weiß nicht, ob ich für Euch einen\nbesonderen Rat geben kann. Vielleicht dieser...\nIch trinke sehr viel Milch.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nAls ich jünger war, war ich eher schwächlich.\nMeine kleine Schwester war deshalb stets um\nmich besorgt.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x08\x06カミラ\nOh, ja? Es ist offensichtlich, dass Ihr beide Euch\nsehr liebt. Mögt Ihr mir mehr über Eure Kindheit\nerzählen?\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nLiebend gerne, während ich laufe. Ich würde\nauch sehr gerne etwas über Eure Geschwister\nerfahren.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x08\x06カミラ\nMeine? Ja, Euer goldblondes Haar erinnert\nmich an sie. Wir sollten all unsere Kindheits-\nerinnerungen miteinander teilen.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nDu läufst schon eine ganze Weile immer wieder\ndenselben Weg. Ist das eine Art von Training?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nブシュロン\nNein... Ich will eigentlich in die Grotte, aber\nich verpasse immer die Abzweigung und lande\ndann wieder hier.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nBist du schon mal auf einem Wyvern geritten?\nDas könnte dir helfen, den Weg zu finden, da\ndu von oben alles besser überblickst.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nHmm, daran habe ich noch nie gedacht. Aber...\nwenn ich mich dann am Himmel verirre,\nhätte ich ein echtes Problem.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nブシュロン\nIch komme immer wieder dort an, wo Ihr seid.\nVielleicht, weil ich mich so gerne mit Euch\nunterhalte...\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x08\x06カミラ\nDas freut mich zu hören. Ich genieße unsere\nkleinen Gespräche auch. Da du mich erneut\ngefunden hast, wollen wir dann etwas plaudern?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x08\x06カミラ\nIch habe das Gefühl, dass ich dich gerade\nerst kennenlerne. Und ich möchte mehr über\ndich erfahren. Wie verbringst du deine Freizeit?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\nIch lese sehr gerne – es vertreibt mir die Zeit,\nwenn ich mich verlaufen habe und auf Hilfe\nwarte. Ratet, welches Buch ich gerade lese.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nIch weiß nicht, ob ich schon jemals einem\nMädchen begegnet bin, das so hingebungsvoll\ntrainiert hat, wie du, Etie. Sehr bewundernswert.\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0C\nエーティエ\nIch nehme an, das liegt einfach in meiner Natur.\nAber Ihr scheint auch einem ordentlichen\nTrainingsprogramm zu folgen!\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nエーティエ\nIhr habt bestimmt ein paar geheime Trainings-\ntechniken aus Eurer Welt auf Lager. Würdet Ihr\nsie mit mir teilen?\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x08\x06カミラ\nMir fiele nichts aus Nohr ein, was einzigartig\nwäre. Ich habe einfach nur trainiert, um für\nmeine Geschwister stark zu sein.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nエーティエ\nWie war Nohr? Meine Heimat ist Firene, das\nfür seine wunderschönen Blumen bekannt ist.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x08\x06カミラ\nEin Land der Blumen – das klingt himmlisch!\nNohr war ein finsterer Ort, daher fand man dort\nnur selten eine Blume.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nOh, dunkel klingt großartig! Dann kann man\ndraußen trainieren, ohne einen Sonnenbrand\nbefürchten zu müssen!\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x08\x06カミラ\nHahaha. So habe ich das noch nie gesehen.\nWarum trainieren wir nicht öfter gemeinsam,\negal, ob im Regen oder im Sonnenschein?\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nIhr wart wundervoll im Kampf. Güte und Strenge\nsind bei Euch gut ausbalanciert.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nIch mag das Kämpfen nicht, aber es ist not-\nwendig, um den Frieden wiederherzustellen.\nGemeinsam werden wir diesen Krieg beenden.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nIch weiß, in Nohr schien kaum die Sonne, aber\ngab es dort trotzdem ein paar einzigartige\nTeesorten?\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x08\x06カミラ\nHmm... Es gab einen köstlichen Tee, der mit\nden Blättern des Nachtjasmin aromatisiert\nwurde.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nIch konnte den Jasmin, den ihr erwähnt habt,\nhier nicht finden, aber ich habe hier eine ähn-\nliche Pflanze. Was meint Ihr dazu?\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x08\x06カミラ\nWas für ein wunderbarer Duft. Er ist nicht so\nwie in meiner Heimat, aber er erinnert mich\ndennoch an sie.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nDas freut mich. Wollen wir ein wenig plaudern,\nwährend wir den Duft genießen? Ich wollte\nEuch für all Eure Hilfe danken.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x08\x06カミラ\nOh, Prinzessin Céline, ich hatte eigentlich vor,\nEuch zu danken! Ja, ich bin überzeugt, wir\nfinden garantiert einige amüsante Themen.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nLouis? Gibt es einen Grund, warum du so in\nmeine Richtung starrst? Möchtest du etwas\nsagen?\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x06\x04ルイ\nOh, bitte entschuldigt. Ich fürchte, ich war\nin einem Tagtraum gefangen.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x06\x04ルイ\nEs gibt mir so viel Freude zu sehen, wie alle\nhier sich so gut miteinander verstehen.\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x08\x06カミラ\nJa, es ist wirklich eine Freude! Das schließt die\nZeit, die ich mir dir verbringe, mit ein.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x06\x04ルイ\nIch bin mit meinen Brüdern aufgewachsen,\nund bin immer noch ganz verwundert, wie viele\nstarke Frauen es hier gibt.\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x08\x06カミラ\nDamals in Nohr suchte ich mir nur weibliche\nGetreue aus, die stark und niedlich waren.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nDas klingt nach einer fabelhaften Wache. Ich\nhätte sie gerne irgendwann einmal kennen-\ngelernt.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x08\x06カミラ\nSie hätten dich bestimmt auch gerne kennenge-\nlernt. Sie waren etwas seltsam, aber für mich\nwaren sie die besten Verbündeten der Welt.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06クロエ\nEine Prinzessin aus einem Land ohne Sonne...\nDas ist wie in einem Märchen! Ich möchte\nvon Euch alles darüber hören.\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x08\x06カミラ\nHahaha. Ich weiß nicht, ob es wirklich wie ein\nMärchen war, aber ich freue mich darauf, dir\ndavon zu erzählen.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06クロエ\nWas esst Ihr am liebsten? Wenn ich raten\nmüsste, würde ich sagen... Fleisch, noch etwas\nblutig zubereitet.\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06カミラ\nOh, du hast den Nagel auf den Kopf getroffen.\nIch habe zwar immer gesagt, ich würde Obst\nlieben, aber am meisten mochte ich Fleisch.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nIch muss zugeben, dein Geschmack in Sachen\nSpeisen und Zutaten ist eigenartig, aber ich\nfinde ihn auch charmant. Du bist... faszinierend.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06クロエ\nCharmant? Ich? Ich werde ja ganz rot!\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06カミラ\nSollten wir die Möglichkeit dazu bekommen,\nlass uns gemeinsam fliegen. Wir können uns\ndort oben all unsere Geheimnisse anvertrauen!\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06クロエ\nDarauf freue ich mich schon! Und ich bringe\nauch ganz bestimmt viele charmante Speisen\nmit.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nCamilla, erste Prinzessin von Nohr... Ist so\neine formelle Begrüßung unter Königlichen\neigentlich notwendig?\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nWir sind doch alle Verbündete, die ein gemein-\nsames Ziel haben. Ich würde mich freuen, wenn\nwir weniger förmlich wären.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nMich interessiert die Geschichte deines\nHeimatlandes sehr. Wurde es oft von Feinden\nüberfallen?\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x08\x06カミラ\nNohr befand sich mit einem Land namens\nHoshido im Krieg. Aber meine Schwester\nCorrin hat diesen Krieg beendet.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nWenn ich König bin, soll mein Land ein blühen-\ndes Land werden. Ich möchte, dass mein Volk\nangenehm leben kann.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x08\x06カミラ\nWenn du mit anderen Nationen gemeinsam\nan diesem Ziel arbeitest, wird es auch viel\nweniger Konflikte geben.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nDeine Worte beruhigen mich. Brodia mag ein\nLand der Krieger sein, aber wir sehnen uns\nnicht nach Krieg.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x08\x06カミラ\nUnter deiner Herrschaft wird Brodia gewiss zu\neinem Land des Friedens. Ich kann es kaum\nerwarten, das zu sehen.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nMeine Wyvern ist ganz schön launisch, aber\nsie stört sich nicht an dir. Tiere mögen dich,\nnicht wahr, Amber?\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x0A\x08アンバー\nIch lebte mit einer Familie auf einer Farm, ich\nbin mit Tieren aufgewachsen. Deine Wyvern\nist wirklich niedlich!\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0A\x08アンバー\nEure Rüstung sieht sehr schick und stilvoll aus.\nSteht eine Legende dahinter? Ich liebe so was!\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x08\x06カミラ\nVielen Dank. Die Rüstung hat in der Tat so\netwas wie eine Geschichte. Irgendwann erzähle\nich sie dir mal.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nMeine Rüstung heißt „Swaläups Mena“, der\nprächtige Mond! Sie soll an den ewigen\nNachthimmel erinnern.\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nWhoooah! Der Name ist ja so was von KLASSE!\nIch wusste, es ist eine legendäre Rüstung!\nOooooh, ich bin total aus dem Häuschen!\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x08\x06カミラ\nHahahaha. Ich würde es dem Mann, der ihr den\nNamen gab, zu gerne mitteilen. Ihr beide würdet\neuch mit Sicherheit gut verstehen.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08アンバー\nIhr hättet sagen können, ich sei schwer beein-\ndruckt gewesen. Ich habe Respekt vor jedem,\nder den Geist des Abenteuers einfangen kann!\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nGegenüber Gegnern kennst du keine Gnade,\nnicht wahr? Fantastisch. Ich glaube, wir werden\nuns gut verstehen.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nAls Prinz Diamants Getreue ist es natürlich\nmeine Pflicht, unsere Gegner auszulöschen.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nIch weiß dein Pflichtbewusstsein zu schätzen.\nEs erinnert mich an eine Getreue, die einst\neine Assassine war.\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nUm das klarzustellen: Ich bin keine Assassine\nund war auch nie eine. Bevor ich hierherkam,\nbewachte ich eine Mine.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nDu magst sie nicht laut aussprechen, aber ich\nweiß, dass dir viele Worte durch den Kopf\ngehen.\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x0A\x08ジェーデ\nIch habe mich bei Unterhaltungen noch nie\nwohlgefühlt. Daher liebe ich es auch so sehr,\nGeschichten zu schreiben.\x0E\x04\x00\x00
