MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x06\x04エル\nHo saputo che non sei in buoni rapporti con\ni Draghi Maligni. Non sentirti obbligata a\nsocializzare con me, allora.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nNon ho rimpianti, comunque. Sento che,\nsalvando questo mondo, salverò anche il mio.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06ルキナ\nSo come ti senti. Offrirò tutto il mio appoggio\nperché ciò accada.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nGrazie, Lucina. Insieme salveremo questo\nmondo.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nNon capisco... Come mai indossi degli abiti\ncosì spaventosi, Gregory? Eppure sei una\npersona gentile...\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nNon fraintendermi. Preferirei di gran lunga\nindossare degli abiti più comodi, ma questi\nservono a spaventare i nemici.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nCi ho pensato su... Perché non provi a indossare\ndegli abiti più comodi, ma coperti di decorazioni\nminacciose?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nWow, hai fatto persino uno schizzo?\nUn abito comodo decorato con lupi e viverne?\nInnovativo!\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nVolevo ringraziarti per l'abito che hai disegnato\nper me. Purtroppo, non penso che lo indosserò\nfinché dovremo combattere.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06ルキナ\nOh... Non ti è piaciuto, per caso? Scusami, non\nvolevo importi qualcosa di cattivo gusto.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nMa no, non è quello il problema! Non voglio\nassociare il tuo abito al dolore delle battaglie...\nPerché mi rende troppo felice.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x08\x06ルキナ\nAllora, sbrighiamoci a vincere la guerra.\nPotremmo celebrare la vittoria con una\nsfilata di moda!\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nBen fatto, hai combattuto con valore. Stai\nsfruttando il nostro legame per un nobile scopo.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nOh... Stavo solo svolgendo il mio compito di\ncavaliera. Questo non giustifica i tuoi\ncomplimenti, lady Lucina.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nマデリーン\nCosì anche tu perdesti genitori e amici, lady\nLucina. Come hai fatto... ad andare avanti?\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x08\x06ルキナ\nNon ci sono riuscita, in realtà. Quel dolore mi\nsegue tuttora. Se anche tu ti senti triste, sfogati\npure con me.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nマデリーン\nHo perso così tanti amici, e molti di loro erano\ndei bravi cavalieri. Non sarò mai alla loro\naltezza.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x08\x06ルキナ\nTi capisco. Anche io ambivo a diventare degna\ndel mio defunto padre. Non è facile seguire\nle orme di qualcuno così valoroso.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06ルキナ\nMa non dimentichiamoci chi c'è ancora. Sarò\nal tuo fianco finché non diventerai una cavaliera\nmagnifica.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nGrazie! Con te accanto diventerò così forte che\nil mio nome sarà sulla bocca di tutti.\x0E\x04\x00\x00
