MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nEccoti qua, Clanne!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nScusa, ti ho spaventato? Guarda che non sono\narrabbiata per il discorso dell'altra volta.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nHo confessato che il fan club non esiste e tutti\nhanno detto che l'avevano immaginato.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nChe scortesi. Davano per scontato che avessi\nmentito.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クラン\nA proposito di quello, principessa Hortensia,\nvolevo mostrarvi una cosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nEh? Cos'è questo pezzo di carta? C'è scritto...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\n"Fan club della principessa Hortensia.\nPresidente... Clanne."\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nÈ una tessera del mio fan club? L'hai fatta tu?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クラン\nL'altra volta siete stata un po'... dura, ma\nin fondo anche gentile. Non è da tutti\nriconoscere i propri errori!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クラン\nCosì ho pensato di fondare il vostro fan club.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh, Clanne...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クラン\nForse ormai è tardi, ma sappiate che avete\nil mio sostegno, principessa Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nUmpf. Già, è tardi. Però...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nSono così felice! Grazie, Clanne!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06クラン\nOra andiamo a fare un po' di pubblicità!\nSaranno in tanti a volersi unire!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nSai una cosa? Per un po' preferirei continuare\nad avere un fan club con un solo membro.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クラン\nDavvero? Perché?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nBeh, OVVIAMENTE prima o poi migliaia di\nfan si uniranno al club, visto che sono io.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nQuindi mi farebbe piacere una cosa più\nintima finché posso, capisci?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クラン\nOh, mi sembra sensato, sì...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06クラン\nAllora avrete il miglior sostegno possibile da\nparte di una persona sola!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cオルテンシア\nNon potrei desiderare di più dal presidente.\x0E\x04\x00\x00
