MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nMmmh...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セアダス\nMa trovo incredibile che pur non facendo\nniente... tu sia sempre così perfetto.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nNon essere geloso. Anche tu puoi fare le stesse\nidentiche cose.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nE cioè vivere come mi pare e piace? Sarebbe\nquesto il tuo segreto?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nMmmh. E se rinunciare a tutte le cose che mi\npiacciono avesse invece un effetto negativo\nsulla danza?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セアダス\nForse il segreto per sentirsi in forma è...\nassecondare i propri desideri.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セアダス\nTutta quell'ossessione per la mancanza di\nsapore non mi fa bene e la mia arte ne risente.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セアダス\nMa certo! Dev'essere per forza così! E Rosado\nne è la dimostrazione pratica!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セアダス\nD'accordo, d'ora in avanti smetterò di\nrinunciare alle cose che mi piacciono!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セアダス\nMangerò pollo arrosto in ogni tipo di salsa\nal miele! Dolce! Piccante! Dolcissima!\nPiccantissima!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セアダス\nDa oggi in poi mangerò a sazietà e dormirò\nfinché voglio!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ロサード\nSpero solo che non esageri. Il troppo\nstroppia...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ロサード\nE vabbè...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ロサード\nChe male c'è se vuole solo godersela per un\npo'? Ciò che conta è che sia felice.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ロサード\nIl resto verrà da sé!\x0E\x04\x00\x00
