MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0A\x08リュール\nOh, Lapis! Ci tenevo a ringraziarti per tutto\nil supporto che stai dando in battaglia\nultimamente.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nOh, grazie. Beh, penso sia una gran bella cosa\nche tu riesca a costruire ogni sorta di oggetti!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ラピス\nOooh, non dite così.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nMa sono seri\x0E\x0A\x00\x08\x02o\x02a. Le tue abilità manuali possono\nessere molto utili su un campo di battaglia.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nMi insegneresti a costruire qualcosa?\nMi piacerebbe imparare.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ラピス\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ラピス\nÈ strano ricevere dei complimenti per qualcosa\ndi così modesto.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ラピス\nVa bene, posso insegnarvi a creare dei pesi.\nOsservate attentamente!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リュール\nMolto bene.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nWoah! Che mani rapide! Non potresti farmi\nrivedere l'ultimo passaggio?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\nDrago Divino, ho qualcosa per voi!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nDegli attrezzi?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nSe volete imparare l'arte dei fai-da-te, vi\nserviranno gli attrezzi adatti.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nMolte grazie.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ラピス\nSono io a dovervi ringraziare, piuttosto.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ラピス\nMi avete aiutato a sbarazzarmi della scarsa\nautostima che avevo.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nLe vostre parole gentili riguardo alle mie\nabilità manuali mi hanno dato fiducia in me\nstessa.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nNe sono liet\x0E\x0A\x00\x08\x02o\x02a! E credo davvero che tu sia\nfantastica, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nHo visto come confezionavi quei pesi per la\nschiena. Sento di avere molto da imparare da te.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ラピス\nSe volete posso insegnarvi a costruire un\nrastrello.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nUn rastrello? E a cosa ci servirebbe?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ラピス\nA raccogliere patate.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nPatate.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ラピス\nSì! Posso costruirne uno che vada bene per\nogni tipo di tubero: patate, patate dolci\nbrodiane...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nPatate dolci brodiane?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ラピス\nBeh, "brodiane" è il nome, ma possono crescere\ndappertutto... anche qui!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ラピス\nSono così buone. Basta bollirle... Mmh, mi è\nvenuta fame solo a parlarne. Presto, costruiamo\nil rastrello!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nIncredibile. Beh, come dicevo hai molto da\ninsegnarmi, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0A\x08リュール\nCiao, Lapis. Hai un minuto?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x08\x06ラピス\nCerto, Drago Divino! Come posso aiutarvi?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nEcco... vorrei che prendessi questo.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x08\x06ラピス\nWow. Cos'è? Il metallo sembra prezioso, costerà\nun occhio della t- Ah! Un momento!\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x08\x06ラピス\nMa questo... non è l'anello del patto?!\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nProprio lui. Guarda l'altro lato.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x08\x06ラピス\nMa... c'è inciso il mio nome. Come mai?\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nHo usato gli attrezzi che mi hai dato per\ninciderlo.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x08\x06ラピス\nCooosa? Lo avete fatto voi? Usando i miei\nattrezzi?!\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06ラピス\nMa ora che è inciso non potrete più cancellare\nla scritta! Perché lo avete fatto?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nNon ho intenzione di cancellarla. L'ho fatto\ncon l'idea di regalarlo a te.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nAllora cosa mi dici? Vuoi portare l'anello\ndel patto?\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06ラピス\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x08\x06ラピス\nUn tempo... sarei scappata via in preda alla\nvergogna.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x08\x06ラピス\nMa ora no. Tengo molto a voi, Drago Divino.\nE non mi importa cosa possano pensare gli altri.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nMa allora...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x08\x06ラピス\nSì, accetto l'anello.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x08\x06ラピス\nCi avete messo il cuore in questa incisione.\nCome potrei non accettare?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nGrazie, Lapis. Mi fa molto piacere.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x08\x06ラピス\nUhm... Forse ora è il momento di dirvi che...\nEcco...\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nVieni da un villaggio della campagna brodiana\ndove si coltivano le patate?\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x08\x06ラピス\nMh? E voi come fate a saperlo?!\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nMi sono documentat\x0E\x0A\x00\x08\x02o\x02a sulle patate dolci\nbrodiane e ho scoperto che le sole persone\nche le chiamano così sono...\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x08\x06ラピス\nI contadini. Ugh. E così avete scoperto il mio\nsegreto... Ma in realtà mi fa piacere. Fa parte\ndi chi sono.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nE ti ho dato l'anello del patto proprio perché\nsei tu, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06ラピス\nGrazie, Drago Divino \x0E\x06\x03\x00...\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x08\x06ラピス\nSarete al sicuro con me. Ora che so che anche\nvoi ve la cavate coi lavori manuali... potremo\ncostruire un futuro migliore.\x0E\x04\x00\x00
