MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ゼルコバ\nAnche la principessa Ivy ti ha perdonato. Ora\n*festeggia* persino il giorno del vostro incontro.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ゼルコバ\nPensa quanto *significhi* per lei.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06カゲツ\nZelkov... Grazie...\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08ゼルコバ\nStai... *piangendo*?\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0A\x08ゼルコバ\nVolevo giusto andare dalla principessa,\nvuoi *accompagnarmi*?\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06カゲツ\nAspetterò qui. Non voglio che mi veda ridotto\ncosì.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0A\x08ゼルコバ\nIo non mi *preoccuperei*.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ゼルコバ\nLa principessa *apprezzerebbe* questo nuovo\nlato di te.\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x08\x06カゲツ\nDici davvero? Ma allora mi accettate?\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0A\x08ゼルコバ\n*Andiamo*, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x08\x06カゲツ\nIl mio cuore scoppia d'amore per te e per\nla principessa Ivy! Vi amerò per sempre!\x0E\x04\x00\x00
