MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nDrago Divino! Attenzione! C'è un lupo!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\n(Così non va. Più tempo passo con il\nDrago Divino e la sua perfezione, peggio mi\nsento riguardo a me stesso...)\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nPerdonatemi. Devo andare...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08リュール\nMa...? Alcryst! Ehi!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08リュール\nPerò. Che velocità...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0A\x08リュール\nAlcryst? Posso parlarti?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nスタルーク\nCerto, Drago Divino. Di che si tratta?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nCosa stai facendo? Tutto a posto?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nスタルーク\nMi appresto a fare un inchino.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nE... come mai?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nIn caso debba scusarmi per qualcosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nEh? Ma come ti viene in mente? Non ce n'è\nbisogno! Volevo solo parlare del lupo.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nOh? Riguardo a cosa?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nVorrei che ti fosse chiara una cosa: la tua vita\nvale quanto la mia. Non sono superiore e tu non\nsei inferiore.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nAppoggiamo sulle stesse basi. Quindi d'ora in\npoi comportati di conseguenza, intesi?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nVorrei potervi dire di sì... ma non ci credo, è\npiù forte di me.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nPerché è così difficile da accettare?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\nPerdonatemi se non riesco ad accontentarvi,\nDrago Divino.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nImmagino non ci sia niente da fare. Dopotutto\nottieni lo stesso dei risultati. Bah, allora\ncontinua a modo tuo.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nスタルーク\nPosso continuare a modo mio? Ne siete sicur\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nSo di essere spesso e volentieri negativo. E\nnon so come prendere un complimento.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nスタルーク\nNon ho la spavalderia di mio fratello e la mia\ntitubanza spesso fa innervosire la gente.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nスタルーク\nMa ciononostante... mi state suggerendo di\ncontinuare come ho sempre fatto?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nSì.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nMa allo stesso tempo spero che un giorno\nriuscirai ad assimilare il mio discorso.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nスタルーク\nGrazie per le sagge parole, Drago Divino...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0A\x08リュール\nAlcryst! C'è un altro lupo!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nSta venendo verso di te! Attento!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nスタルーク\nL'ho visto.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nE perché sei lì impalato? Scappiamo!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nSo come fare, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nスタルーク\nHai sentito che profumino? Ti ho portato della\ncarne. Forza, mangia...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nQuesta poi. Alcryst ha domato quel lupo.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\nÈ lo stesso lupo che aveva cercato di attaccarvi\nl'altra volta, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\nTorna sulla tua montagna. E stammi bene.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nE da quando voi due siete amici?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nスタルーク\nVengo spesso qui ad allenarmi con l'arco.\nA lui piace guardare.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nスタルーク\nAll'inizio c'era tensione, sia da parte mia sia\nda parte sua. Ma poi mi sono ricordato le vostre\nparole.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nChe parole?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nスタルーク\nAvete detto di fare a modo mio. E così ho fatto.\nNon avevo intenzione di attaccare il lupo, quindi\nmi sono rilassato.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nスタルーク\nDeve essersene accorto, perché anche lui si\nè rilassato. E così siamo diventati amici.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nAlcryst! Ma è incredibile!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nスタルーク\nGrazie. Ho solo seguito i vostri consigli.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nスタルーク\nOh! Ma cosa faccio?! Non mi sono\ninginocchiato! Ecco, ora...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nBasta, Alcryst, non inginocchiarti più davanti\na me.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\nMh?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nLe tue maniere sono sempre molto educate, ma\npreferirei che restassi in piedi.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nSe davvero vuoi ringraziarmi, beh... quel lupo\nsembrava molto amichevole nei tuoi confronti...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nMi aiuteresti ad avvicinarlo?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nスタルーク\nFacile. Basta che portiate della carne la\nprossima volta. E vedrete che giocheremo tutti\ninsieme.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08リュール\nLo farò. Non vedo l'ora! Grazie, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nScusate... Drago Divino?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nAlcryst? Che c'è?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0C\nスタルーク\nEhm... Uhm... Beh, ecco...\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nNon ti sei chinato! Hai resistito alla tentazione.\nMolto bene, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0C\nスタルーク\nMh. Questa occasione mi richiede di stare\na testa alta...\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0C\nスタルーク\nDrago Divino, guardate qui.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nOh, che gemma graziosa! Il colore è davvero\nmisterioso.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0C\nスタルーク\nViene dalla Brodia. Sì, il colore è molto raro:\nun misto di rosso e blu...\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nスタルーク\nMio padre me la diede quando nacqui perché\ngli ricordava il colore dei miei capelli e dei miei\nocchi.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nEh, già. Hai i capelli blu e gli occhi rossi, in\neffetti. Questa gemma ti si addice proprio.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0C\nスタルーク\nM-Ma... si addice anche a voi, Drago Divino.\nI colori sono distribuiti diversamente, ma...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0C\nスタルーク\nMi fa pensare a voi: una persona che ammiro\nmolto e che mi ha insegnato ad accettarmi\nper come sono.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nUna persona che ammiri, eh?\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0C\nスタルーク\nMio padre mi disse che un giorno avrei potuto\ndonarla a qualcuno di importante. E così...\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0C\nスタルーク\nDrago Divino... Vogliate accettare questo...\nsimbolo... dei miei sentimenti per voi.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nGrazie, Alcryst. Lo accetto con gioia.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0C\nスタルーク\n...!\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nOra, invece, vorrei che tu prendessi questo\nanello.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0C\nスタルーク\nMa è l'anello del patto...\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nEbbene sì. È tutto tuo.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nPrincipe Alcryst... in qualità di Drago Divino,\nconferisco a te questo simbolo del nostro\nlegame speciale.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nVoglio che tu sia il mio fratello d'armi in\nbattaglia... e compagno in tempi di pace.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0C\nスタルーク\nGr-\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nCosa vuol dire "gr"?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0C\nスタルーク\nGrandioso! Non riesco a crederci, Drago\nDivino!\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0C\nスタルーク\nPensavo che vi avrei sorpres\x0E\x0A\x00\x08\x02o\x02a col mio gesto,\nma voi mi avete superato di gran lunga!\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0C\nスタルーク\nMa non mi dispiace! Sono così felice.\nV-Vi ringrazio, Drago Divino...!\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08リュール\nAlcryst, non piangere!\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0C\nスタルーク\nNon sto piangendo. D'ora in avanti starò\na testa alta, per voi e per me.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0C\nスタルーク\nO almeno ci proverò, ecco.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08リュール\nMeglio di niente.\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0C\nスタルーク\nE diventerò forte. Nonostante tutto sono\nun principe di Brodia...\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0C\nスタルーク\nVengo dal regno dei guerrieri. Prometto che\npotrete fare affidamento su di me...\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x0C\nスタルーク\nFaccio voto di proteggervi per sempre, Drago\nDivino \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x0A\x08リュール\nSei sempre così premuroso.\x0E\x04\x00\x00
MID_RELIANCE_S_#037	\x0E\x03\x02\x0C\nスタルーク\nPosso dirlo con la massima sicurezza.\nAnzi, ve lo prometto su questo anello.\x0E\x04\x00\x00
MID_RELIANCE_S_#038	\x0E\x03\x02\x0A\x08リュール\nTi credo, Alcryst, grazie.\x0E\x04\x00\x00
MID_RELIANCE_S_#039	\x0E\x03\x02\x0C\nスタルーク\nCercherò di essere un principe degno di questo\nnome. Resterò a testa alta al vostro fianco fino\nalla morte.\x0E\x04\x00\x00
