MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nIt's strange... Although we haven't fought\ntogether long, I feel we understand each other.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nI see. You wondered if I might do the same.\nI will say, I understand your knight's devotion.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nOur desire to be of service, body and soul, is\nstrong. Perhaps I should try plucking weeds.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x08\x06クロム\nYou already do more than enough. Let me be of\nuse to you too. Please, rely on me in battle.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nClanne...are you trying to hide from me?\nBecause you're pretty conspicuous.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nAh! Sorry, Lord Chrom. I was only hiding\nbecause I'm so in awe of you!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クラン\nDo you have any siblings, Lord Chrom? What\nare they like?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クロム\nMy older sister was incredibly compassionate,\nand my little sister was kind and cheerful.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クラン\nAw, if only I could become as strong as you.\nThen I'd be more help to the Divine Dragon...\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クロム\nI think you're strong enough as you are. But you\nwill keep growing so long as you push yourself.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クロム\nI wasn't strong when I started out. I grew thanks\nto my friends and my people.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nThanks for the encouragement. I really\nappreciate it and will work as hard as I can!\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06フラン\nI'd like to formally say it's nice to work with\nyou. I'm your go-to for all Divine Dragon info!\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06クロム\nMy pleasure. But...that's very specific. Well, the\nnext time I have a Divine Dragon question, sure.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06フラン\nYou and Lord Robin are a single Emblem, right?\nWhat do you do when you aren't in battle?\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06クロム\nWell, I train and go for walks. And Robin... He\nreads novels and magic tomes most of the time.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06フラン\nWhat should I do to become a strong warrior\nlike you, Lord Chrom?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06クロム\nIt's important to train daily and fuel yourself\nwith good food. And never give up.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06クロム\nPersevere no matter the odds. Fight for what\nyou cherish. That spirit will turn into strength.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nYou really are the best. That's great advice! I'll\nkeep getting stronger to protect my friends.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nI bet you have a lot of insight into ruling. I'd\nlove to hear your tips and tricks for greatness.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06クロム\nI wouldn't say I'm the best person to ask, but I\nwork hard to understand those I work with.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWow, your muscles are magnificent! I'd better\ntrain even harder. I'll start early tomorrow!\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x08\x06クロム\nEarly morning training? That's some motivation.\nMaybe I should get up early to train as well.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nGoing on an early morning run again, I see.\nI don't think I could ever match your efforts.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nI don't see it as effort─I just love training.\nI probably enjoy it more than anyone in Firene.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x08\x06クロム\nOh yeah? You may have met your match, as\nI'm the best at breaking things while training.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nIs...that something you should be proud of?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nブシュロン\nIt's an honor to fight beside you, Emblem of\nBonds! I'll need to be even more vigilant now.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x08\x06クロム\nI appreciate the enthusiasm, but please, no need\nto be so formal. We're friends, aren't we?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nブシュロン\nYou helped me find my way when I got lost the\nother day. That was mighty caring of you.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x08\x06クロム\nI was once the leader of a group called the\nShepherds. Guiding people is second nature.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nI've been wondering... Have you always been so\nstrong, or is it from all your training?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nI think it's just from working as a royal guard.\nMakes even swinging this axe easy.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x08\x06クロム\nOne of my Shepherds was deadly with an axe.\nWhen he didn't forget to bring it...\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\nEntering a battle unarmed? That's terrifying! If\nhe's safe, tell him I'd like to meet him.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nエーティエ\nHey, Chrom, what should I do? I got a little\noverenthusiastic and broke a wall while training.\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x08\x06クロム\nSpeaking from frequent experience, I'd say you\nowe someone an apology.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nYou look down, Etie. Is everything OK? I'm here\nif you want to talk.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nエーティエ\nI just need to burn off some energy after that\nwar council. Let's run a hundred laps and talk!\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nエーティエ\nYou're up early today. I think even Prince Alfred\nis still in bed.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x08\x06クロム\nI couldn't really sleep, so I figured I'd tire myself\nout training. Why are you up?\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nI thought it might be nice to run under the stars\nfor a change. Want to join me?\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x08\x06クロム\nA run under the stars sounds pretty nice. Lead\non. I'm sure I'll sleep well after this.\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nYou really excelled in that last battle, Céline.\nMake sure to rest well for the next one.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nThank you. Your presence made all the\ndifference. Try not to push yourself either.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nWhat is that sweet scent? It's delicate and light\nand warms my heart...\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nIt's a black tea produced only in Firene. The\nbrand is called Ylisse, like your homeland.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nI wish to grow stronger so I may protect my\nkingdom. I will do whatever it takes.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x08\x06クロム\nI feel the same. And I'm happy to lend you my\nstrength, knowing our goals align.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nShould the world ever become free of conflict,\nI'd like for us all to have a pleasant tea party.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x08\x06クロム\nYou'll have to bring that tea you made earlier.\nWe can speak of the future over its lovely scent.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04ルイ\nYou and Robin reside together in that bracelet,\nyes? It must be nice to always be together.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x08\x06クロム\nRobin and I share a powerful bond. It makes\nsense for us to serve as Emblems together.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04ルイ\nThough you and Robin are a single Emblem, it's\nrare for you to be present together. Hm...\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x08\x06クロム\nTry not to look so disappointed. I'll arrange it\nso we're both here sometimes.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04ルイ\nI grew up surrounded by men, but you... I've\nheard you only have sisters.\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x08\x06クロム\nI do indeed. I often wondered what it would be\nlike to have a brother.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nPerhaps we can find a stand-in brother for you.\nI'm sure several of our allies could fill the role.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x08\x06クロム\nHah, that sounds like it could be fun. Are you\ngoing to audition for the part yourself?\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロエ\nYou and Robin are as wonderful a pair as any\nI've read about in my fairy tales!\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x08\x06クロム\nOh? That's very kind of you to say. Thank you.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nWhat are you eating, Chloé? It smells good, but\nit looks, well...\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06クロエ\nIt's a sandwich made from fat and cow guts and\nblood. It's so filling and scrumptious!\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロエ\nLook what I bought at the market! A fish-eggs\nmilkshake and fried bird-blood bread.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06クロム\nOh, wow... That's quite...striking. It reminds me\nof the food a friend of mine once tried making.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nIt's so delicious, I could squeal. I'd be happy to\nshare some, if you want to try it.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06クロム\nI often regret I can't eat. But today, from the\nbottom of my heart, I'm glad to be an Emblem.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nAs a blood relative of Hero-King Marth, you\nare always a worthy opponent. Let us duel.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x08\x06クロム\nYou're on. I'd like to see more of what the\ncrown prince of a mighty nation can do.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nI am next in line to be king, but I have moments\nof uncertainty. Did you ever feel this way?\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x08\x06クロム\nThe grief of losing my sister was greater than\nmy anxiety about being a ruler, but I can relate.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nYou speak so cheerfully of your past. Did the\nrestrictions of royal blood never get to you?\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x08\x06クロム\nThey did, for a while. But my time in the\nShepherds helped open my eyes.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x08\x06クロム\nFreedom is a state of mind. If you're having\ndoubts, try changing your perspective.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nThat's an interesting way of thinking about it.\nYou may have a point.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08アンバー\nIt's my dream to become a really powerful\nknight! A legend! Glad to be working with you!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x08\x06クロム\nHah! You remind me of my nephew. Let's work\ntogether to make your dream come true.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nThe way you fight is impressive. Where did you\nlearn those techniques?\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0A\x08アンバー\nI spent 10 hours a day training in my home, the\nalpaca hamlet, striving to become a knight.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08アンバー\nI've been on a roll since you complimented my\nfighting. I'll be a legendary knight any day now.\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nI may be a commoner, but I've learned enough\nfrom you and Prince Diamant to manage it!\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x08\x06クロム\nIt's worth keeping an eye on your exploits.\nYou'd be a match for many long-time veterans.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x08\x06クロム\nI'll keep lending you my strength so you don't\nlose that spirit before you become a legend.\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nYour prior work as a bodyguard seems similar\nto my work establishing a volunteer militia.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nCompared to your Shepherds, someone like me\nstill has much to learn. I just like staying active.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nWould you mind telling me about your world?\nI hoped to use it as reference for a new novel.\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x08\x06クロム\nI could tell you about the former exalt. To me,\nshe was also a gentle older sister.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nI understand that you possess a tremendous\npower capable of destroying any wall.\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x08\x06クロム\nWell, I don't intend to destroy them. It's just\nthat I often end up breaking them while training.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nSo long as the outcome is the same. Would you\nmind helping me mine some ore?\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x08\x06クロム\nGladly. Let's ask Robin too. He'll know exactly\nhow to maximize our yield.\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nFor all your skill, you're too subservient. Would\nyou gain any confidence if I sang your praises?\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x0C\nスタルーク\nWhat?! I'd simply die if you had to keep praising\nme! I'll try to appreciate the sentiment alone.\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nスタルーク\nYou both have so much skill and confidence.\nI'm sorry you're stuck with me by your side.\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x08\x06クロム\nYou and Robin are tactically-minded, while I\nhave no such ability at all. We all do our part.\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nスタルーク\nThank you for always encouraging me. Your\nconcern just emphasizes how different we are.\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x08\x06クロム\nYour battle prowess is on par with everyone\nelse, and you have excellent observational skills.\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x08\x06クロム\nThose strengths help protect those important\nto you, right? In that way, we are quite similar.\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x0C\nスタルーク\nAgain you sing my praises! I must try to become\na man who won't feel ashamed of those words!\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nYou handled yourself remarkably well in that\nbattle. You must have had grueling training.\x0E\x04\x00\x00
MID_GR_Lapis_C_#002	\x0E\x03\x02\x08\x06ラピス\nI got a lot stronger fighting bears. You're strong\ntoo. What kinds of bears did you fight?\x0E\x04\x00\x00
MID_GR_Lapis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06ラピス\nOh, training with your strength is hard on the\nequipment. I should make some tougher stuff.\x0E\x04\x00\x00
MID_GR_Lapis_B_#002	\x0E\x03\x02\x08\x06クロム\nI'd appreciate that. Those I lend my power to\nend up breaking walls. Build us a better wall.\x0E\x04\x00\x00
MID_GR_Lapis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06ラピス\nHey, you have two sisters, right? Did you really\nget that strong to protect your family?\x0E\x04\x00\x00
MID_GR_Lapis_A_#002	\x0E\x03\x02\x08\x06クロム\nYes. I trained and fought my way through war\nto protect my sisters and friends.\x0E\x04\x00\x00
MID_GR_Lapis_A_#003	\x0E\x03\x02\x08\x06ラピス\nFor family and friends... Maybe I should train\nharder, so I can protect everyone like you do.\x0E\x04\x00\x00
MID_GR_Lapis_A_#004	\x0E\x03\x02\x08\x06クロム\nYou already have the strength to defeat bears. \nI can train you in the ways of my Shepherds.\x0E\x04\x00\x00
MID_GR_Citrinica_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nI'm amazed by your financial resources. That\nalone could repair all the walls I've destroyed.\x0E\x04\x00\x00
MID_GR_Citrinica_C_#002	\x0E\x03\x02\x0C\nシトリニカ\nIf it is breaking walls that you are worried\nabout, I could have some made out of diamond.\x0E\x04\x00\x00
MID_GR_Citrinica_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nPerfect timing. I was going to train. It's more\neffective with two people. Would you join me?\x0E\x04\x00\x00
MID_GR_Citrinica_B_#002	\x0E\x03\x02\x0C\nシトリニカ\nWhat an honor to be able to train with you!\nI was thinking I would like to refine my skills.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nシトリニカ\nMy older brothers are both the overprotective\nsort. You had a little sister. What was she like?\x0E\x04\x00\x00
MID_GR_Citrinica_A_#002	\x0E\x03\x02\x08\x06クロム\nMy little sister liked mischief and was always\nrunning around. She wasn't composed like you.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#003	\x0E\x03\x02\x0C\nシトリニカ\nBut the gentle look in your eyes says you care\nfor her. I wonder if my brothers think of me...\x0E\x04\x00\x00
