MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nDivine One, I have something to discuss with\nyou, if it's not too much trouble.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06メリン\nWhat do you mean? Future generations deserve\nto know all about the Divine Dragon.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08リュール\nI, uh... I guess so.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nMerrin... It's difficult to train with you staring at\nme like that.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\nDon't mind me. I'm not even here.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nI'm simply observing your behaviors to gather\nmaterial for my book.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nAnd how long do you plan to do that, exactly?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nAs long as it takes.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06メリン\nDon't you worry. I'm not going to stop until I've\ncaptured every last detail!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nOh, please, cut it out!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06メリン\nWhat? I was just...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nYou were just nothing! I'm not one of your\ncritters, OK?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nYes, I am a dragon. I live longer than humans\nand have certain unique abilities.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nBut I also have feelings. I don't appreciate being\ngawked at like an animal.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06メリン\nDivine One, I'm so sorry!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06メリン\nIt's just that...to me, you are more than human.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nYou're a truly divine being. I wanted to make\nsure future generations understood that.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06メリン\nIn hopes that they would protect you, the one\nand only Divine Dragon.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06メリン\nBut I never meant for you to feel like some kind\nof research specimen.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nI know you didn't. It's all right.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06メリン\nNo, it's not! Because that's exactly how I made\nyou feel, isn't it?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06メリン\nForget about the book. I'll stop writing it.\nI'm sorry, Divine One.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nMerrin, please! It's really OK!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x0A\x08リュール\nMerrin, listen. I'm sorry for blowing up at you\nthe other day.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06メリン\n"Blowing up" is a bit strong...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nI didn't understand that you were observing me\nso closely because you genuinely care.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\nNo... I was in the wrong, not you.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06メリン\nI was completely oblivious to how my actions\nmade you feel.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nYou know...now that we understand each other\nbetter, I'd be happy to help you.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nThere aren't many books about Divine Dragons,\nand nobody's asked me about my life before.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nYou want to fill that gap─help people learn\nabout me. I can see the value in that.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nWhat I'm trying to say is...please, observe to\nyour heart's content.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06メリン\nReally?! You mean it?!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nI mean it.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06メリン\nThank you, Divine One! I really appreciate that.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06メリン\nWhen I'm observing you, I forget about all the\nstress and worry. Everything bad slips away.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nI just feel...joyful! And I want to share that joy\nwith others, you know?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nHaha! You're truly one of a kind, Merrin. Maybe\nI should write a book about you.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06メリン\nYou flatter me, Divine One.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nI do have a request. Stop thinking of me as\n"more than human," all right?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nI may be the only Divine Dragon, but hey.\nYou're one of a kind too.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nHehe, you make a good point! I guess we're\nboth rare critters, aren't we?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nExactly.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nOh, and also? I want to be the first to read this\nbook of yours.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06メリン\nOf course! I can't think of anyone better to\nfact-check it.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nDivine One! I've finished a draft of my book!\nWould you mind giving it a read?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nI'd be happy to. Let me take a look...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\n"The Divine Dragon \x0E\x06\x03\x00 awoke in a\nfloating castle after 1,000 years of slumber...\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\n"Humble and kind, the Divine Dragon fought\nwith a courageous heart to protect the people."\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nI think I'm starting to blush...\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x08\x06メリン\nIt is the truth.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\n"The Divine Dragon can live thousands of years\nand possesses powers that humans do not.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\n"However, this dragon's habitat and behaviors\nare no different than those of a typical human.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\n"And let it be noted, the Divine Dragon is the\nmost precious being in the world to the author."\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nMerrin, this is...\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x08\x06メリン\nI'm sorry. I had to write it. Don't worry, I'll cut it\nfrom the final copy. It's just...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x08\x06メリン\nDivine One, I need you to know how important\nyou are to me.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06メリン\nAnd I want people to always remember there\nwas a human who cared very deeply for you.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nI want you to leave it in.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06メリン\nI don't...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nAnd please add this: "The author of the book\nwas equally as precious to the Divine Dragon.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\n"So much so, the Divine Dragon gave Merrin the\nPact Ring and vowed to be with her always."\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x08\x06メリン\nD-Divine One! You cannot give me something\nso precious!\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nIf you care so very deeply for me, you have\nto accept it.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nYour book must tell the truth─that the Divine\nDragon adored a human named Merrin.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x08\x06メリン\nIf that's how you feel. Thank you, Divine One.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nWhen this incredible book is done, I hope people\nwill see that I'm not so different from them.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x08\x06メリン\nYes, there's just one problem. I can't finish\nit yet.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nWhy not?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06メリン\nI have to write about our life together─about\nhow a human and dragon cared for one another.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nYou make a good point, Merrin. And I can't wait\nto write that part of the story with you.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x08\x06メリン\nYes!\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x08\x06メリン\nI adore you, Divine One. The stories we write\ntogether will be told for thousands of years.\x0E\x04\x00\x00
