MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08リュール\nHey, Nel. How are you feeling? Having any\ntrouble adjusting or anything?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nRespect? OK, where is Nel, and what have you\ndone with her?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04エル\nDo not be so taken aback. It is true, and it ought\nnot to be such a surprise.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Perhaps I have hidden it better than I thought.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nMaybe a little bit.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04エル\nI believe I have an answer to the question you\nasked me previously.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	In truth, I have known the answer for some\ntime. I was merely unable to find the words.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nDon't worry. I understand.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	Now that you have an answer, though, I'd like\nto hear it.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Do you actually think of me as the same\nDivine Dragon you knew before?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04エル\nI do not. You may have the same name and\nsimilar eyes, but you are distinct and unique.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	When I stand beside you, in or out of battle,\nI see only this \x0E\x06\x03\x00, here and now.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	It is you I wish to protect. And it will be your\nenemies I destroy.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nI'm relieved to hear you say that. Thank you.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	That devotion goes both ways, you know.\nI want to protect you too.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	I don't want to lose you again.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04エル\nThose words are...complicated for me to hear,\nDivine One.\x0E\x04\x02\x00
MID_RELIANCE_A_#023	Nevertheless, consider them to be engraved\nupon my heart.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Let us fight to hold on to what has become\nso dear to the both of us.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nDivine One. Before you proceed to battle, allow\nme to assist you with any preparations.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nI appreciate that, Nel.\x0E\x04\x02\x00
MID_RELIANCE_S_#003	I'm actually all set, but it'd be great if you could\ncheck on the others.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x06\x04エル\nI see.\x0E\x04\x02\x00
MID_RELIANCE_S_#005	...\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nWhat's wrong?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x06\x04エル\nApologies. My offer of assistance was merely\nan excuse to be near you.\x0E\x04\x02\x00
MID_RELIANCE_S_#008	I am...concerned.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nTalk to me. Maybe I can help.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x06\x04エル\nNot only have I seen you endure battle after\nbattle, but now you have faced death itself.\x0E\x04\x02\x00
MID_RELIANCE_S_#011	This war has no doubt taken its toll upon your\nbody and mind. Tell me how you are feeling.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nI'm OK. Really.\x0E\x04\x02\x00
MID_RELIANCE_S_#013	I'm as tired as you'd expect, but it hasn't\nslowed me down too much.\x0E\x04\x02\x00
MID_RELIANCE_S_#014	Overall, if anything, I'm feeling stronger than\nI've ever felt before.\x0E\x04\x02\x00
MID_RELIANCE_S_#015	That's not just me being the thirteenth Emblem.\nIt's thanks to my friends─especially you.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x06\x04エル\nIf I did not know better, I would attribute your\nremarkable strength to Divine Dragon blood.\x0E\x04\x02\x00
MID_RELIANCE_S_#017	Imagine my surprise when I learned that you\nwere actually born a Fell Dragon child.\x0E\x04\x02\x00
MID_RELIANCE_S_#018	That said, though we are not family, we share a\nheritage. And I am glad for that.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nI'm flattered to hear you say so.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x06\x04エル\nIt is my intention to remain by your side for as\nlong as I can. Even after the fighting is done.\x0E\x04\x02\x00
MID_RELIANCE_S_#021	It is my wish to remain your companion and to\nbear witness to the world of peace you create.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nThere's no one I'd rather have by my side for\nthat. I can't imagine my life without you, Nel.\x0E\x04\x02\x00
MID_RELIANCE_S_#023	That's why I've been wanting to give you this.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x06\x04エル\nDivine One, is this...\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nThe Pact Ring. I'd like it to be a symbol of our\nshared future. Will you accept?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x06\x04エル\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nIf you'd said you thought of me as the same\nperson you once knew, I wouldn't feel this way.\x0E\x04\x02\x00
MID_RELIANCE_S_#028	But you said that you only see me, this version\nof me, here and now.\x0E\x04\x02\x00
MID_RELIANCE_S_#029	I'll never be a substitute for the Divine Dragon\nyou used to know.\x0E\x04\x02\x00
MID_RELIANCE_S_#030	But as my own person, I can love you just as\nmuch. I hope you feel the same.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x06\x04エル\nI do, Divine One. And I am deeply moved by\nyour words.\x0E\x04\x02\x00
MID_RELIANCE_S_#032	Forgive me─this is not an occasion for tears.\nBut as you can see, I am smiling.\x0E\x04\x02\x00
MID_RELIANCE_S_#033	And I will gladly accept this ring.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0A\x08リュール\nI can't tell you how happy that makes me.\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x06\x04エル\nNow that the pact is sealed, allow me to express\nmy feelings to you without reservation.\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x06\x04エル\nMy fondness for you grows each and every\nday. I love you, \x0E\x06\x03\x00.\x0E\x04\x00\x00
