MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nHmm. Maybe I'm coming at this wrong.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06アンナ\nLalalala! I can't hear you!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06アンナ\nAs soon as I finish the rest of these babies up,\nthey'll sell out on day one.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nAh... Well, I guess I can let the name slide as\nlong as you're enjoying yourself.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nFingers crossed that business booms for you,\nLady Anna.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0A\x08リュール\nToday's Sweethearts Day, isn't it? How's the\nnew product selling?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x08\x06アンナ\nAlready sold out.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nReally?!\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x08\x06アンナ\nYeah, really! Those suckers practically flew\noff the shelves!\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nWow. Congratulations, Lady Anna.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x08\x06アンナ\nIt wouldn't have happened without you,\nDivine One.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nIt's too bad I didn't get to see any of the\nfinished necklaces, though.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06アンナ\nActually... I did keep one. Check it out.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nOooh! You did a great job with this. No wonder\nthey sold so quickly.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06アンナ\nYou can keep it if you want.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nHuh? You're sure?\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x08\x06アンナ\nThat one wasn't for sale. It came out the best,\nso I set it aside just for you.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06アンナ\nI hope you like it.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nThis is the best one? You really don't mind if\nI have it?\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x08\x06アンナ\nI wouldn't say it if I didn't mean it!\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06アンナ\nI just...you know...really appreciate how much\nyou help me out.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nThat's kind of you to say.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x08\x06アンナ\nWe made a good team, coming up with this\nproduct together. I'm really grateful.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x08\x06アンナ\nSo I thought you should have the best one as a\nsign of our friendship.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nAww.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nI'm happy it worked out so well. And I'm\nhonored to accept the necklace. Thank you.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nYou know what? I have a gift for you too.\nIt's the Pact Ring.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x08\x06アンナ\nWhat?! Oh, come on! That thing's way\ntoo valuable.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nThat's exactly why I want you to have it.\nThe best goods are one-of-a-kind, right?\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nI got a memento of our great teamwork, so why\nshouldn't you?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06アンナ\nTrue... We did come up with a smash hit, so\nI guess that does make us partners after all.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x08\x06アンナ\nAll right, all right, I'll take it. What a great day\nthis is turning out to be!\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nHahaha, I agree.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x08\x06アンナ\nRight, then. Starting tomorrow, we've got a lot\nof work ahead of us.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x08\x06アンナ\nFirst, we need to source artisans who can mass-\nproduce those necklaces.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x08\x06アンナ\nIf you thought they sold quick before, wait until\npeople find out the Divine Dragon wears one!\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08リュール\nHahaha! How mercenary of you. Never change,\nLady Anna.\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nI can't let my business partner go soft, right?\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x08\x06アンナ\nNope! This partnership is our ticket to fame,\nfortune, and finding my family!\x0E\x04\x00\x00
