MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x08\x06メリン\nDragon, dragon, dragoooon! You are a\nREAL dragon!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06メリン\nNo one loves dragons more than I do, so that\nmakes me the perfect person for the job.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nI'm going to find you so many reasons why\nbeing a dragon is cool!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nI'm so excited! And I'm so glad you're the one\nto help me with this.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\nAnd just like that, I've already found one reason.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06メリン\nYou are kind! And all those experiences you had\nduring your long life as a dragon made you kind.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ヴェイル\nI see. Hehe, but now you're making me blush.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06メリン\nOh, this is just the beginning. I'm going to find\nyou a hundred─no, a thousand─reasons!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06メリン\nYou'd better prepare yourself, Lady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ヴェイル\nOK! I'm ready! You know, for the first time,\nI might actually be looking forward to life.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ヴェイル\nAnd it's all because of you, Merrin.\x0E\x04\x00\x00
