MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x02\x0A\x08アンバー\nPff... Il faut que j'aille inspecter les lieux... mais\nc'est trop dangereux pour m'y aventurer seul...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アンバー\nAh ! Eh bien... tant mieux !\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\nJe craignais que tu regrettes d'être venue,\nparce que... moi, j'étais très content que\ntu m'aies accompagné, Panette.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アンバー\nJe ne connais pas grand-monde qui apprécie\nla chasse aux mythes, légendes et autres\nrumeurs...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アンバー\nSi jamais tu cherches un compagnon d'aventure\npour enquêter sur une légende dont tu aurais\nentendu parler, tu n'as qu'à demander.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パネトネ\nJ'en connais un, d'endroit légendaire où\nnous pourrions aller !\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アンバー\nC'est vrai ? Où ça ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08パネトネ\nC'est un restaurant qui propose des plats\ntrès, très épicés !\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08アンバー\nAh... Et la nourriture y est enchantée, c'est ça ?\nOu alors, la bâtisse se dresse sur un ancien\ncimetière ? Ou...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08パネトネ\nLeur carte comporte un plat baptisé « Brasier\ndu palais ». Il est si relevé qu'on dit que\nnul n'en a jamais terminé son bol !\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08アンバー\nOooh... c'est aussi une légende, en effet.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08アンバー\nEh bien, ma foi, une légende est une légende !\nTu peux compter sur moi, et c'est moi qui\nréglerai l'addition. Je te dois au moins cela.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08パネトネ\nYoupiii !\x0E\x04\x00\x00
