MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クロエ\nOh, je sais ! Pour m'excuser, je vais vous\napporter un mets délicieux.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クロエ\nIl s'agit d'un poisson de mer plutôt rare, mariné\nau vinaigre. C'est tellement acide que vous\nen tomberez à la renverse !\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クロエ\nJe vais en chercher tout de suite.\nVous allez adorer !\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nCe n'est pas la peine ! J'ai déjà des aigreurs\nd'estomac rien qu'à y penser !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x0A\x08リュール\nJ'ai remarqué que vous mentionniez souvent\nle désir de vivre comme dans un conte de fées...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クロエ\nEn effet. C'est mon souhait depuis que je suis\ntoute petite.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クロエ\nMa famille était noble. Toute ma vie était\nplanifiée par mes parents.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クロエ\nEn tant que fille de noble, je devais me\nmarier et me dévouer à mon époux et\nà notre famille.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クロエ\nJe n'avais même pas le droit de manger\nla cuisine de rue dont je raffolais.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クロエ\nCe n'était pas ainsi que se conduisait\nune jeune fille de bonne famille. Cette vie,\nje la détestais corps et âme.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nJe l'ignorais complètement.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06クロエ\nJe rêvais d'une vie libre, pleine d'aventure.\nUne vie pas banale du tout, en somme.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nJe n'avais pas l'intention d'éveiller des\nsouvenirs si douloureux, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クロエ\nOh, ce n'est pas grave. Ce ne sont que des\nsouvenirs. Et mon rêve s'est réalisé quand\nje suis devenue chevalier.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クロエ\nEn faisant la rencontre de la princesse\nCéline, ainsi que la vôtre, j'ai pu vivre\nla vie dont je rêvais.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クロエ\nSe battre aux côtés du Dragon divin et\nde la famille royale n'est-il pas bien plus\nmerveilleux qu'un simple conte de fées ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nPrésenté ainsi, on ne peut que vous\ndonner raison.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クロエ\nJe me demande si un jour, on racontera\ndes histoires sur cette guerre.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nC'est fort possible...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nEt je ne serais pas surpris\x0E\x0A\x00\x06
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クロエ\nAh bon ?! Je n'y avais jamais pensé,\nmais c'est une idée séduisante !\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クロエ\nJe dois devenir le preux chevalier que tous\nles enfants rêveront d'être en entendant\nl'histoire.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nVous êtes déjà en bonne voie, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クロエ\nHi hi ! Merci, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x0A\x08リュール\nChloé, je crois que vous déteignez sur moi.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x08\x06クロエ\nAh bon ? Et comment, exactement ?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nVous souhaitez que votre vie ressemble à\nun conte de fées. Et moi aussi maintenant,\nje me surprends à rêver d'une vie nouvelle.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x08\x06クロエ\nEh bien, je trouve cela formidable !\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x08\x06クロエ\nMaintenant que vous avez une idée de la vie\nque vous rêvez de mener, vous pouvez œuvrer\nà sa concrétisation.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nCe n'est peut-être pas si simple.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nCe rêve contient des éléments que je ne peux\nréaliser seul\x0E\x0A\x00\x06
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06クロエ\nDe quoi auriez-vous besoin ?\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nDe vous, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06クロエ\nDe moi ?!\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nLa vie que j'envisage après la guerre sera\ndénuée de sens, si vous n'en faites pas partie.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nVous souhaitez devenir l'héroïne d'un conte\nde fées. Et moi, je veux devenir votre bras droit.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06クロエ\nJe ne sais que dire...\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nEh bien, si vous ressentez la même chose\nque moi, j'espère que vous accepterez\nce présent.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nJe tenais vraiment à vous le donner.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06クロエ\nMais c'est l'Anneau du Pacte...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nVous aviez raison quand vous disiez que\nma vie n'avait rien de quelconque.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nEt vous demander de m'accompagner dans\ncette vie qui n'a rien de quelconque est\nsûrement beaucoup demander.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nNéanmoins, il fallait que je vous le demande.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x08\x06クロエ\nEt vous avez bien fait, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x08\x06クロエ\nJe n'ai jamais voulu d'une vie ordinaire.\nMaintenant que vous m'offrez la chance\nde faire partie de votre histoire...\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x08\x06クロエ\nJe peux difficilement envisager une fin\nplus heureuse.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nDonc... ?\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x08\x06クロエ\nJ'accepte de porter l'anneau, bien sûr !\nEt je serai là, à vous aider à réaliser votre rêve.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nMerci, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06クロエ\nAujourd'hui commence un conte dont nous\nsommes tou\x0E\x0A\x00\x0C\x02s\x06tes deux les \x0E\x0A\x00\x1E\nhéros\x10héroïnes ! Ce conte\npromet d'être légendaire !\x0E\x04\x00\x00
