MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nVous seriez prête à tout pour votre frère,\nn'est-ce pas ? Sachez que j'en ferais\nautant pour protéger les miens.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nJ'ai constaté que vous mainteniez une certaine\ndistance avec vos amis, même envers ceux qui\nvous montrent le plus d'affection.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nJ'ai causé la mort de ma sœur. J'ai détruit un\nmonde. Toute rédemption m'est impossible.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06カミラ\nVos amis ne semblent pas de cet avis.\nPourquoi ne pas accorder un peu plus\nde crédit à leur capacité de jugement ?\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nHm, vous n'avez pas tort... Merci, Camilla.\nJe m'attacherai davantage à prendre leur\npoint de vue en considération.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nN'est-il pas réconfortant de voir autant de\ncombattants rejoindre cette armée ? Dans\nmon monde, nous étions bien peu nombreux.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06カミラ\nC'est vrai, il est bien agréable de se trouver\nen compagnie de guerrières aussi capables.\nQue diriez-vous d'aller leur parler avec moi ?\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nUn jour, une personne s'est enfuie alors que\nj'avais pris sa main pour la réchauffer. Les\ndragons mages sont-ils à ce point effrayants ?\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06カミラ\nNe laissez pas cela vous affecter, vous êtes\nl'incarnation de la douceur. Vous devriez\nsimplement demander avant, la prochaine fois.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nÀ mon grand étonnement, j'ai bien du mal à\nconvaincre les autres de me laisser les cajoler.\nY aurait-il quelque chose qui m'échappe ?\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06カミラ\nContinuez d'être gentille et attentionnée comme\nvous l'êtes, et vous verrez, les liens se noueront\nd'eux-mêmes.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06カミラ\nJ'ai observé avec attendrissement la façon dont\nvous prenez toujours soin des autres, Zelestia.\nJ'aimerais continuer à discuter avec vous.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nJ'ai l'impression de pouvoir aborder tous les\nsujets avec vous. Et si vous avez les mains\nfroides, je vous les réchaufferai volontiers.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nVotre tenue n'a de cesse de me fasciner.\nSe vêtir avec tant d'audace pour intimider\nl'ennemi... C'est une idée qui me plaît.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nMerci, mais votre armure en impose aussi.\nVous et moi, côte à côte sur le champ de\nbataille... L'ennemi s'aplatirait devant nous !\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nLe combat est loin de constituer votre point\nfort, n'est-ce pas ? Mais alors, pourquoi ne pas\ndéserter définitivement les champs de bataille ?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nMauvier n'était peut-être pas mon frère par\nle sang, mais je veux honorer sa mémoire\nen assumant pleinement mon rôle.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nJe comprends votre désir d'honorer votre frère,\nmême de substitution, mais n'en faites pas trop\ntout de même. Vous avez besoin de repos.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nOh, vous en faites pas pour ça. Je suis\nun lâche par nature et un combattant par\nobligation. Ma spécialité, c'est la dérobade.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06カミラ\nMais vous battez en retraite pour mieux\nlivrer bataille le jour suivant, cela fait de\nvous un véritable stratège militaire.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nVenant d'un illustre Emblème tel que vous,\nCamilla, ça me touche beaucoup. Merci.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nVoilà bien longtemps que nous n'avions pas\neu la chance de discuter ainsi. Vous êtes plus\nravissante et redoutable que jamais.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nDame Camilla, merci. Mais, euh... Je dois\ncontinuer à m'entraîner pour devenir plus\nforte encore.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nマデリーン\nVotre gentillesse me va droit au cœur, mais\nsachez que je préfère que vous me traitiez\ncomme une adulte, et non comme une enfant.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x08\x06カミラ\nOh, pardonnez-moi. C'est seulement que je vous\ntrouve irrésistiblement adorable, et à plus forte\nraison quand vous prenez un air sévère.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nQuand je vois des combattantes héroïques,\ncourageuses et qui ne comptent pas leurs\nefforts, comme vous, j'ai envie de les cajoler.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nAspirer à s'améliorer sans relâche fait partie\ndes devoirs d'un chevalier. Mon rôle est\nd'exceller au service de mon maître.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06カミラ\nC'est vrai. Vous êtes une femme forte,\nMadeline, mais cela ne devrait pas vous\nempêcher de vous laisser dorloter un peu.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nCela va à l'encontre de ma discipline\nchevaleresque, mais j'admets qu'il peut\nêtre agréable de se laisser choyer... parfois.\x0E\x04\x00\x00
