MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nRosado ! Tu as très belle allure aujourd'hui.\nComme toujours, en fait.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ロサード\nVous connaissez quelqu'un de plus beau ?\nPrince Fogado, revenez tout de suite !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0A\x08ロサード\nBonjour, Prince Fogado !\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nフォガート\nBonjour, Rosado ! Tel le soleil qui ne se\ndépare jamais de ces rayons, tu ne te\ndépares jamais de ton côté si mignon.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ロサード\nMais oui ! Je suis toujours aussi beau, n'est-ce\npas ? Même plus beau encore que la dernière\nfois ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nフォガート\nTout à fait. Et cette assurance ne gâche rien.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ロサード\nVous le pensez vraiment, cette fois ?\nVous me dites la vérité, la seule, l'unique,\nla vraie ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nフォガート\nOui, je te dis la vérité, promis, juré.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ロサード\nBon, alors vous pouvez affirmer qu'il n'y a pas\nplus irrésistible que moi, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nフォガート\nEh bien... Non, je ne peux pas.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ロサード\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ロサード\nEt moi qui pensais avoir mal compris\nla dernière fois ! Quelle cruauté !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ロサード\nMais pourquoi me dites-vous ces choses\naffreuses ?! Vous me faites des compliments\npour mieux piétiner ma dignité, c'est ça ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nフォガート\nAllons allons, calme-toi.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ロサード\nEt comment voulez-vous que je me calme ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ロサード\nLe prince à l'œil infaillible ne me trouve\npas si beau que ça...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nフォガート\nCe n'est pas ça Rosado. Je ne suis pas grand\namateur de comparaisons, c'est tout.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ロサード\nComment ça ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nフォガート\nJuger celui-ci par rapport à celui-là...\nCe n'est pas ma façon de voir les choses.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nフォガート\nTu es mignon. Inutile d'en faire un concours\ncomplètement disproportionné.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nフォガート\nEst-ce que tu me comprends ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ロサード\nEuh...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ロサード\nJe crois que oui, mais...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ロサード\nEn fait, je ne sais pas. Je crois que je vais\ny réfléchir.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x02\x0A\x08ロサード\nIl ne manque plus que la touche finale...\net voilà ! Un paysage parfait.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nAh, Rosado ! Tu es encore en train de\ndessiner... Quel beau paysage !\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ロサード\nOh... Bonjour, Prince Fogado.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nフォガート\nLa beauté de ton visage n'a rien à envier à\nce paysage.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ロサード\nVous le pensez vraiment ? Oh, ça me va\ndroit au cœur !\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ロサード\nOh mais attendez ! Vous ne m'aurez pas,\ncette fois. Je sais ce que vous allez faire.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ロサード\nSi je vous demande de me dire que vous\nne connaissez personne de plus beau,\nvous allez me flanquer un vent magistral !\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\nDésolé, mais comme je te l'ai dit,\nje n'aime pas tout comparer.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nフォガート\nEst-ce si inconvenant de ma part d'apprécier\ntout ce qui est beau sans établir de hiérarchie ?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ロサード\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ロサード\nVous devez avoir raison. Après tout,\nvous avez été tout à fait correct avec moi.\nAlors que moi, j'ai été assez méprisant.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nJe n'aurais pas dû faire une telle fixation sur\ncette idée de beauté supérieure à toute autre.\nJe suis désolé.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nフォガート\nCe n'est rien. Il n'y a aucune honte\nà vouloir être le meilleur.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nフォガート\nJ'aborde le monde d'une certaine manière,\net toi d'une autre.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\nNous avons le droit de ne pas être d'accord,\nn'est-ce pas ? Et de respecter nos différences ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\nRespecter nos différences...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ロサード\nOui, bien sûr.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\nJe devrais apprécier davantage les compliments\nqu'on me fait au lieu de sans cesse en réclamer\ndavantage.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nフォガート\nExactement ! Continue à être adorable,\net moi je continuerai à te complimenter.\nAinsi, nous serons heureux tous les deux.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ロサード\nOuais. Je suis adorable, c'est un fait.\nLa Terre peut continuer de tourner.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nフォガート\nEt voilà ! Et si je puis me permettre,\nton sourire est magnifique, je ne peux\npas m'arrêter de le regarder.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ロサード\nHa ha ha ! Ne vous privez pas\npour m'en dire plus !\x0E\x04\x00\x00
