MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nBien le bonjour, Pandreo. Aurais-tu un moment\nà me consacrer ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08パネトネ\nAlors pourquoi marcher dans leurs pas et\ndevenir un homme d'Église ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パンドロ\nTu sais qu'ils se sont volatilisés après\nton départ ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パネトネ\nOui. Et alors ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08パンドロ\nDu coup, les fidèles de l'église avaient besoin\nde quelqu'un pour les guider.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パンドロ\nC'est pour ça que je m'y suis mis.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08パネトネ\nOh. Alors c'est cela...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08パンドロ\nJe sais que ça fait un bail, mais si t'as envie\nde venir prier avec nous, t'es la bienvenue.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08パネトネ\nNon. Je préfère m'abstenir.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08パネトネ\nJ'ai tiré un trait sur nos parents, et j'ai tiré\nun trait sur leur église.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08パネトネ\nJe préfère trépasser sur place plutôt que\nde mettre les pieds là-bas.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08パンドロ\nÇa peut se comprendre.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nPourquoi tu ne m'as jamais reproché\nde m'être enfuie ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パンドロ\nEt pourquoi je te le reprocherais ?\nJ'étais content pour toi à l'époque.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パネトネ\nOh. J'ai toujours pensé que tu me tenais\nrancune d'avoir pris la clé des champs.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パンドロ\nNan. J'avais juste pas les tripes pour en faire\nautant. J'avais peur de pas pouvoir me\ndébrouiller tout seul.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パンドロ\nEt regarde ce que tu es devenue ! Une vassale !\nT'as pris sur toi de mettre les voiles et\ntu t'es prise en mains.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パンドロ\nJe suis sûr que nos parents seraient heureux\nde voir comment tu t'en sors.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08パネトネ\nPermets-moi d'en douter. Si je suis la cadette,\nc'est avant tout de leurs soucis.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パンドロ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パンドロ\nÉcoute, je devrais pas te dire ça, mais c'est\npas mon genre de faire des cachotteries.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nMaman et papa t'ont cherchée partout.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08パネトネ\nQuoi ? C'est des salades... Je n'y crois pas\nune seconde.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パンドロ\nJ'en étais le premier surpris.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パンドロ\nD'ailleurs, peut-être que ce qu'ils cherchaient\navant tout... C'était à sauver la face.\nFranchement, je peux pas te dire.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パンドロ\nEn tout cas, c'est la vérité. Je me suis dit\nqu'il fallait te mettre au courant.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パネトネ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パネトネ\nEt je fais quoi, moi, maintenant ?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x02\x0A\x08パネトネ\nSalut, grand frère. Tu es en train de prier ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パンドロ\nOui. Ça me fait plaisir de voir ta bouille ici.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パネトネ\nJe suis venue à mon corps défendant.\nCet endroit abrite tant de mauvais souvenirs...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08パネトネ\nMais ce n'est plus l'église de nos parents.\nC'est la tienne.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パネトネ\nAlors j'ai songé que je pouvais bien y faire\nun tour... Juste quelques minutes.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パンドロ\nOui, t'as très bien fait.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08パネトネ\nOui. Donc... hum... J'imagine que je vais\nme fendre d'une petite prière rapide.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08パネトネ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パネトネ\nJ'ai prié pour la paix.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パネトネ\nEt pendant que j'y étais... J'ai aussi prié pour\nque nos parents aillent bien. Où qu'ils soient.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08パンドロ\nÀ ta guise, Panette.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パネトネ\nÀ ton avis, qu'est-ce qu'ils font maintenant ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パンドロ\nAucune idée. Entre nous, j'ai plutôt l'impression\nqu'ils sont plus de ce monde.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\nMais qui sait ? Peut-être qu'on tombera sur\neux un de ces quatre, un peu comme on a fini\npar se retrouver tous les deux.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パネトネ\nNous sommes adultes désormais, nous avons\nun peu de recul... sur tout ce qui est advenu.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パネトネ\nJ'aime à penser que nous pourrions nous\nasseoir et avoir une conversation à cœur ouvert.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パンドロ\nÇa serait bien.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nJe crois qu'ils seraient fiers de nous.\nEt surtout de toi.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パネトネ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08パンドロ\nÉcoute, Panette... Il faut que tu survives\nà cette guerre.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08パンドロ\nJe... Je ne supporterais pas de perdre\nun autre membre de ma famille.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パネトネ\nNan. Je ne vais pas mourir et te laisser seul.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08パネトネ\nJe vais même faire mieux que cela. Je vais\naussi sauver ta petite peau de prêtre.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08パンドロ\nHa ha ! Ça fait plaisir. Si Panette la Terrible\nme protège, j'ai rien à craindre.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パネトネ\nT'as tout compris ! Toi et moi, on survivra\nensemble.\x0E\x04\x00\x00
