MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x08\x06メリン\nVous êtes un dragon, un DRAGON !\nUn vrai, un véritable et authentique dragon !\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nVous avez la classe, et sans rien faire de\nparticulier ? Les dragons sont vraiment\ndes êtres hors normes !\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nEuh, Merrin...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ヴェイル\nDites, quand vous dites que vous me trouvez\n« classe », c'est seulement parce que je suis un\ndragon, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06メリン\nPas du tout, Dame Veyle ! Vous êtes classe\nen tant que personne, je vous assure !\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06メリン\nMais ne me dites pas que vous avez honte\nde votre nature draconique ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ヴェイル\nBien sûr que si. On m'a toujours détestée,\nparce que je suis un dragon.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06メリン\nCe n'est pas de votre faute, c'est de celle\nde ceux qui vous haïssent sans même vous\nconnaître !\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ヴェイル\nMais il y a forcément quelque chose qui ne\nva pas, chez moi, pour que tout le monde me\ndéteste.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nComme chez tout le monde ! Personne n'est\nparfait. Et vous serez toujours un dragon, que\ncela vous plaise ou non.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06メリン\nVous devez accepter votre nature et la chérir.\nC'est extraordinaire d'être un dragon.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ヴェイル\nExtraordinaire ?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06メリン\nExactement. Les dragons sont des êtres\noriginaux, exceptionnels, et extraordinaires !\nVous avez de quoi être fière.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ヴェイル\nVous vous exprimez avec conviction.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ヴェイル\nSi vous croyez vraiment à tout ce que vous\ndites, je peux peut-être essayer d'y croire,\nmoi aussi.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nMerci beaucoup, Merrin.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06メリン\nPardon ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06メリン\nPourquoi me remerciez-vous, soudainement ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ヴェイル\nParce que vous m'avez dit que je pouvais être\nfière d'être un dragon.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ヴェイル\nJe n'arrive pas encore tout à fait à le voir\ncomme une bonne chose, mais...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ヴェイル\nVos arguments me permettent de penser qu'un\njour, je pourrai peut-être faire la paix avec\nmoi-même.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\nVoilà pourquoi je voulais vous remercier, Merrin.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06メリン\nDame Veyle...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nMerrin ? Que vous arrive-t-il ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06メリン\nRien, je vais bien... C'est le bonheur, c'est tout.\nVotre nouvelle perspective me réjouit tellement\nque j'en pleure...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06メリン\nDe ma vie, je n'oublierai jamais cet instant !\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ヴェイル\nAllons, inutile d'en faire une montagne ! Hi hi...\nDécidément, vous êtes vraiment une originale !\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nTout comme vous ! Quel duo hors normes\nnous faisons...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nHa ha ha, c'est bien vrai !\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06メリン\nJe viens de prendre une décision !\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06メリン\nÀ partir d'aujourd'hui, je vais vous aider à vous\nrendre compte de la chance que vous avez\nd'être un dragon !\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06メリン\nMoi qui suis folle de ces créatures, je crois que\nje suis la mieux placée pour cette tâche !\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nJe vais vous présenter une liste longue comme\nle bras de tout ce qui rend les dragons tellement\nclasse.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nJe suis impatiente de voir ça ! Et je suis bien\ncontente que nous vous soyez ma tutrice !\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\nEt voilà, je viens de vous trouver le premier\nélément de ma liste !\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06メリン\nVotre cœur est bon ! La longue expérience qui\nrésulte de votre grande espérance de vie en tant\nque dragon a fait de vous un être bon.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ヴェイル\nJe vois. Hi hi... Vous allez me faire rougir.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06メリン\nCe n'est que le début, pourtant ! J'ai encore\ndes centaines, non, des milliers d'éléments à\najouter à ma liste !\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06メリン\nJ'espère que vous êtes prête, Dame Veyle.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ヴェイル\nJe suis prête, oui ! Et je crois que pour la toute\npremière fois, j'ai envie de vivre ma vie.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ヴェイル\nEt c'est grâce à vous, Merrin.\x0E\x04\x00\x00
