MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04エル\nTiki, je vous retrouve enfin. C'est un\nhonneur de combattre à vos côtés.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nSommes-nous réellement... amis ? Très bien,\npassons du temps ensemble, dans ce cas.\nQue souhaitez-vous faire ?\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nPuis-je vous parler sans détour, Rafal ?\nJe vous apprécie beaucoup !\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nC'est un sentiment partagé, mais quand\nje repense à ce que j'ai fait, par le passé...\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x06\x04チキ\nNe vous torturez pas l'esprit avec ça.\nVous n'êtes plus la même personne,\ntout est oublié.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nAinsi, vous vous en souvenez, mais vous me\nconsidérez malgré tout comme un ami ?\nMerci, je ne mérite pas votre clémence.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nEst-il vrai que vous êtes un dragon mage,\nZelestia ? Accepteriez-vous d'être mon amie ?\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nMais avec plaisir. Je n'ai pas vraiment\neu la chance de mieux vous connaître,\ndans notre monde d'origine.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nIl est si agréable de bavarder avec vous.\nJe me sens tellement en sécurité que je\nm'assoupirais presque...\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nDans ce cas, venez vous asseoir près de moi.\nS'il vous prend l'envie de piquer un somme,\nje resterai à vos côtés jusqu'à votre réveil.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nTout le monde est si gentil, ici ! C'est comme\nsi vous formiez une grande famille. Ça doit\nêtre un sentiment agréable...\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nHa ha ha, c'est tout à fait vrai, une belle\net grande famille, et nous estimons tous\nque vous en faites déjà partie.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x06\x04チキ\nVraiment ?! Incroyable ! J'aimerais que\nnous restions ensemble ici pour toujours.\nC'est possible, n'est-ce pas ?\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nAbsolument. Nous avons noué des liens très\nforts, et rien ni personne ne pourra jamais les\ndéfaire, je vous le promets.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nJe ne comprends pas. Même si Tiki était\nun Emblème de mon ancien monde, je\nsuis incapable d'engager la conversation...\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x06\x04チキ\nHm ? Quelque chose ne va pas ? Attendez,\nsouhaitiez-vous me parler ? Approchez donc !\nBavardons un peu !\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nJ'adore votre tenue ! J'aimerais beaucoup\nporter des vêtements aussi intimidants !\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nC'est vrai ? Merci. J'ai découvert que\nplus je portais des choses effrayantes,\nmoins l'ennemi s'en prenait à moi.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nTout va bien ? Je vous trouve moins\nenjouée que d'habitude. Seriez-vous\nfatiguée ? Vous avez faim, peut-être ?\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x06\x04チキ\nNon... Je repense à un rêve qui me revenait\nsouvent, dans lequel j'étais transformée en\nmonstre et je m'en prenais à des innocents...\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x06\x04チキ\nJe ne sais pas pourquoi j'y pense aujourd'hui,\nalors que je suis entourée de tous mes amis...\ncomme vous.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nBien dit. Vous pouvez dormir sur vos deux\noreilles, car vous n'êtes plus seule, et nous\nn'avons aucune intention de vous planter ici.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nマデリーン\nC'est pour moi un honneur de vous retrouver\ndans ce monde, et je me fais une joie de\ncombattre avec vous de nouveau.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x06\x04チキ\nMerci ! Mais vous allez devoir me parler\nde vous, Madeline ! Je veux tout savoir !\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nマデリーン\nDame Tiki, pourquoi vous placez-vous toujours\nen première ligne sur le champ de bataille ?\nIl doit bien y avoir une raison à cela.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x06\x04チキ\nJe veux que cette guerre s'arrête et\nque tout le monde retrouve le sourire !\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nマデリーン\nQuand je converse avec vous, je... Eh bien,\npardonnez mon audace, mais j'ai le sentiment\nd'avoir trouvé une petite sœur d'adoption.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x06\x04チキ\nC'est vrai ?! Je suis aux anges, parce que\nde mon côté, j'ai l'impression d'avoir gagné\nune grande sœur !\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x06\x04チキ\nJ'ai envie de mieux vous connaître, Madeline !\nQue diriez-vous d'être une véritable sœur\npour moi à compter d'aujourd'hui ?\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nJ'en serais honorée, Dame Tiki, et je vous\npromets de rester à vos côtés pour toujours,\nmême quand la paix sera revenue en ce monde.\x0E\x04\x00\x00
