MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08リュール\nTiens, Nel. Comment allez-vous ?\nVous prenez vos marques ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04エル\nUn certain Dragon divin de ma connaissance\navait également la manie de prendre les\nblessures à la légère.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Ce même Dragon divin était tout aussi prompt\nà l'empathie, d'ailleurs. Toujours focalisé sur\nle bien-être d'autrui.\x0E\x04\x02\x00
MID_RELIANCE_B_#011	Vous êtes le pilier de cette armée. Un élément\nirremplaçable qui ne peut se permettre d'être\nmis hors de combat.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nJe comprends. Pardonnez-moi, je ferai\nplus attention à l'avenir.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04エル\nIl est fort aisé de prononcer des serments\nde cet acabit, mais plus ardu de les mettre\nà exécution.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nHa ha ! Décidément, vous n'en laissez\npas passer une.\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Au fait, Nel, je voulais vous demander...\x0E\x04\x02\x00
MID_RELIANCE_B_#016	À quel point suis-je semblable au Dragon divin\nque vous avez connu dans votre monde ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04エル\nPourquoi me demandez-vous cela maintenant ?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nEn fait, je m'interroge depuis longtemps\nà ce sujet.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Lorsque vous m'avez sauvé la vie dans votre\nmonde, vous avez dit que vous ne pouviez\npas vous permettre de me perdre.\x0E\x04\x02\x00
MID_RELIANCE_B_#020	Dois-je en conclure... que vous...\x0E\x04\x02\x00
MID_RELIANCE_B_#021	Quand vous me regardez, est-ce le Dragon\ndivin de votre monde que vous voyez ?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04エル\nLa blessure est propre.\nVous guérissez rapidement.\x0E\x04\x02\x00
MID_RELIANCE_B_#023	Profitez donc de cette journée pour prendre\ndu repos et vous remettre tout à fait. Adieu.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08リュール\nMerci, Nel. Bonne nuit.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nVotre Divinité, je suis heureuse de voir que\nvous avez saisi l'occasion de vous octroyer\nun peu de repos.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nJ'avais un peu de temps devant moi,\nalors j'ai décidé de suivre vos conseils\net de me détendre, pour une fois.\x0E\x04\x02\x00
MID_RELIANCE_A_#003	Si seulement je pouvais me le permettre\nplus souvent...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04エル\nConnaître une telle paix intérieure que\nle sommeil vous vient tout naturellement...\nVoilà le véritable bonheur.\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Bien des gens en jouissent mais sont incapables\nde le reconnaître. Et vous, vous mettez toute\nvotre énergie à l'offrir aux autres.\x0E\x04\x02\x00
MID_RELIANCE_A_#006	C'est la raison pour laquelle je vous tiens\nen si haute estime.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nEn haute estime ? Bon, ça suffit : qu'avez-vous\nfait de la véritable Nel et où est-elle ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04エル\nNe soyez pas sur la défensive. Je ne fais\nqu'énoncer la vérité, et elle ne devrait en\nrien vous surprendre.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Enfin, peut-être ai-je su la dissimuler\nmieux que je ne le croyais...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nÇa se pourrait bien, en effet.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04エル\nJe crois que j'ai désormais une réponse\nà la question que vous m'avez posée.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	En vérité, voilà un moment que je la connais.\nMais les mots pour l'exprimer se refusaient\nà moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nSoyez tranquille, je vous comprends.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	Mais puisque cette réponse a fini par prendre\nforme, j'aimerais bien l'entendre.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Est-ce qu'à vos yeux, le Dragon divin que vous\navez connu et moi sommes les mêmes ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04エル\nCertainement pas. Vous portez sans doute le\nmême nom, mais vous êtes deux êtres distincts.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Sur le champ de bataille comme en dehors,\nl\x0E\x0A\x00\x08\x02e\x02a seul\x0E\x0A\x00\x06
MID_RELIANCE_A_#018	L\x0E\x0A\x00\x08\x02e\x02a seul\x0E\x0A\x00\x06
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nC'est un soulagement d'entendre cela.\nMerci beaucoup.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Sachez également que ce dévouement est\nréciproque. Moi aussi, je souhaite vous protéger.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Moi non plus, je ne veux plus vous perdre.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04エル\nVoilà des paroles... pour le moins\ndéstabilisantes, Votre Divinité.\x0E\x04\x02\x00
MID_RELIANCE_A_#023	Toutefois, soyez certain\x0E\x0A\x00\x06
MID_RELIANCE_A_#024	Combattons ensemble pour ne plus jamais\nperdre ce qui nous est devenu si cher.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nVotre Divinité, permettez-moi de vous aider\nà vous préparer à l'assaut.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nC'est fort aimable de votre part, Nel.\x0E\x04\x02\x00
MID_RELIANCE_S_#003	J'ai personnellement achevé mes préparatifs,\nmais vous pouvez prêter assistance aux autres.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x06\x04エル\nBien.\x0E\x04\x02\x00
MID_RELIANCE_S_#005	...\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nQu'y a-t-il ?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x06\x04エル\nPardonnez-moi. En réalité, c'était une excuse\npour passer du temps avec vous.\x0E\x04\x02\x00
MID_RELIANCE_S_#008	Je me fais du souci.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nExpliquez-moi. Peut-être que je pourrai\nvous aider.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x06\x04エル\nVous essuyiez déjà des batailles à répétition, et\nvoilà que vous avez affronté la mort elle-même.\x0E\x04\x02\x00
MID_RELIANCE_S_#011	Votre corps et votre esprit doivent payer un\nlourd tribut à cette guerre. Comment vous\nsentez-vous ?\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nJe vais bien. Je vous assure.\x0E\x04\x02\x00
MID_RELIANCE_S_#013	Je mentirais en disant que je ne suis pas\nfatigué\x0E\x0A\x00\x06
MID_RELIANCE_S_#014	En fin de compte, je me sens plus fort\x0E\x0A\x00\x06
MID_RELIANCE_S_#015	Ce n'est pas seulement parce que je suis le\ntreizième Emblème. C'est aussi grâce à mes\namis, à commencer par vous.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x06\x04エル\nSi je ne connaissais pas aussi bien la situation,\nj'attribuerais votre force formidable au sang\ndu Dragon divin.\x0E\x04\x02\x00
MID_RELIANCE_S_#017	Figurez-vous ma surprise lorsque j'ai découvert\nque vous étiez en fait une progéniture du\nDragon déchu.\x0E\x04\x02\x00
MID_RELIANCE_S_#018	En tout cas, même si nous ne sommes pas\nde la même famille, nous avons des origines\ncommunes. Et vous m'en voyez ravie.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nJe suis honoré\x0E\x0A\x00\x06
MID_RELIANCE_S_#020	\x0E\x03\x02\x06\x04エル\nJe resterai à vos côtés aussi longtemps\nque je le pourrai. Même une fois que\nla guerre sera derrière nous.\x0E\x04\x02\x00
MID_RELIANCE_S_#021	Mon cœur n'a d'autre désir que de demeurer\navec vous, pour que nous profitions ensemble\ndu monde en paix que vous construisez.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nJe ne souhaiterais vivre ça avec personne\nd'autre que vous. Je ne peux imaginer ma\nvie sans vous, Nel.\x0E\x04\x02\x00
MID_RELIANCE_S_#023	C'est pourquoi je souhaite vous offrir ceci.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x06\x04エル\nVotre Divinité, c'est...\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nL'Anneau du Pacte. Le symbole d'un avenir\nque nous partagerions ensemble.\nAcceptez-vous ?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x06\x04エル\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nSi vous considériez que j'étais la même\npersonne que celle que vous avez connue dans\nvotre monde, les choses seraient différentes.\x0E\x04\x02\x00
MID_RELIANCE_S_#028	Mais vous avez dit que vous ne voyiez que\nmoi, \x0E\x0A\x00\x14\x06tel\ntelle que je suis ici et maintenant.\x0E\x04\x02\x00
MID_RELIANCE_S_#029	Je ne remplacerai jamais le Dragon divin\nque vous avez connu.\x0E\x04\x02\x00
MID_RELIANCE_S_#030	Mais je suis tout de même une personne à part\nentière, et je peux vous offrir mon amour.\nJ'espère que vous partagez ce sentiment.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x06\x04エル\nOui, Votre Divinité. Et vos paroles me vont\ndroit au cœur.\x0E\x04\x02\x00
MID_RELIANCE_S_#032	Je vous demande pardon... Ce n'est pas\nle moment de pleurer. Mais regardez,\nje souris.\x0E\x04\x02\x00
MID_RELIANCE_S_#033	Et j'accepte cet anneau avec joie.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0A\x08リュール\nLes mots me manquent pour exprimer\nle bonheur que votre assentiment me procure.\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x06\x04エル\nMaintenant que ce pacte est conclu,\npermettez-moi d'exprimer mes sentiments\nsans réserve.\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x06\x04エル\nLa tendresse que vous m'inspirez grandit\njour après jour. Je vous aime, \x0E\x06\x03\x00.\x0E\x04\x00\x00
