MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x0A\x08リュール\nHa yah !\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06フラン\nAAAAAH ! SA DIVINITÉ A POSÉ LES YEUX\nSUR MOI !\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x00\x0E\x08リュール\x021
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nHé, Framme ! Vous êtes là.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x08\x06フラン\nVotre Divinité ! Qu'est-ce que je peux faire\npour vous ?\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nJe dois vous parler de quelque chose\nd'important. À mon avis, il est temps\nd'envisager une refonte du F.C.D.D.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x08\x06フラン\nQue...\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x08\x06フラン\nJe... J'ai fait de gros efforts pour que mes\nencouragements ne vous tapent pas trop sur\nles nerfs. Il semblerait que ça n'ait pas suffi...\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nNon, non ! Vous n'y êtes pas du tout.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06フラン\nOh, alors vous élevez le fan-club du Dragon\ndivin au rang de fan-club OFFICIEL du Dragon\ndivin ?!\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nNon, ce n'est pas cela non plus.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06フラン\nAlors vous nous rétrogradez au rang de fan-club\nnon-officiel du Dragon divin...\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nHm, jamais je ne ferais une chose pareille.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x08\x06フラン\nAlors qu'est-ce que c'est, Votre Divinité ?\nCrachez le morceau !\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nTrès bien, très bien. Écoutez-moi. Je ne veux\nplus que vous soyez ma plus grande fan.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x08\x06フラン\nQUOIII ?!\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x08\x06フラン\nArgh... Ça fait trop mal... Je vais... m'évanouir...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06フラン\nSi je ne suis plus une fan du Dragon divin,\nalors... qui suis-je ?!\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nOuh là, Framme. Calmez-vous, je vous en prie.\nSi je ne veux plus que vous soyez ma plus\ngrande fan, c'est parce que...\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nJe voudrais que vous soyez ma plus\ngrande alliée.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x08\x06フラン\nVotre plus grande alliée...\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x08\x06フラン\nVOTRE PLUS GRANDE ALLIÉE ?!\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nVous veillez sur moi depuis bien avant\nmon réveil.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nQue le soleil brille ou qu'il pleuve, vous étiez à\nmes côtés. Et vous avez partagé vos joies et vos\npeines avec moi...\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x08\x06フラン\nO-Oui ! Bien sûr ! J'adorerais être votre plus\ngrande alliée ! Ensemble, vous et moi, on sera\nles inséparables du champ de bataille !\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nDans ce cas, Framme, ceci est pour vous...\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x08\x06フラン\nLe... L'Anneau du Pacte ?! Mais Votre Divinité,\nc'est un objet hors de prix. Vous êtes sûr\x0E\x0A\x00\x06
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08リュール\nOui.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x08\x06フラン\nOUAAAHHH !\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nOh non, Framme, vous allez bien ?!\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x08\x06フラン\nJe... Je suis juste si heureuse ! Vous n'avez pas\nfait que poser les yeux sur moi, vous m'avez\noffert l'Anneau du Pacte !\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x08\x06フラン\nJ-J'accepte ! Et plutôt deux fois qu'une !\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0A\x08リュール\nVous m'en voyez ravi\x0E\x0A\x00\x06
MID_RELIANCE_S_#032	\x0E\x03\x02\x08\x06フラン\nOh, euh, mais il y a juste un tout petit quelque\nchose... Je veux continuer d'être votre fan.\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x08\x06フラン\nJe veux être votre plus grande alliée et votre\nplus grande fan. À votre avis, c'est possible ?\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x08\x06フラン\nVous êtes tout pour moi. Et puis, je pense\npouvoir endosser les deux rôles, vous voyez ?\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x0A\x08リュール\nHa ha ha, si quelqu'un en est capable, c'est bien\nvous. J'ai de la chance d'avoir une alliée et une\nfan comme vous.\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x08\x06フラン\nMerci, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#037	\x0E\x03\x02\x08\x06フラン\nÀ partir de cet instant, je vous encouragerai\net je me battrai à vos côtés. Allié\x0E\x0A\x00\x06
