MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nMerci de m'avoir proposé d'être ton partenaire\nd'entraînement, Diamant. Ça me touche.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nTout va bien, ne t'inquiète pas. Je me livrais\nseulement à un entraînement intensif avec\nquelques-uns de nos mages.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nJe ne t'ai jamais vu autant à bout de force\naprès un entraînement...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nスタルーク\nJe crois plutôt que tu couves quelque chose.\nOn devrait appeler un médecin et...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nJe ne suis pas malade.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nAlcryst... Te souviens-tu m'avoir demandé\nsi j'avais un point faible ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nEh bien voilà, tu le connais à présent.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nTon point faible, c'est... de t'entraîner avec\ndes mages ? Je n'y comprends rien.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nQuand j'étais jeune, j'ai commis une erreur\ngrossière en manipulant la magie. J'en suis\nresté grièvement blessé pendant un temps.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nDepuis ce jour... Je crains la magie.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nスタルーク\nToi ? Tu éprouves de la crainte ?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nOui. C'est pour surmonter cette peur et ainsi\nneutraliser mon point faible que je m'exerce\nchaque jour.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nC'est pourquoi m'entraîner avec ces mages\nest si important.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nスタルーク\nMoi qui te croyais exempt de défauts...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nNul n'est exempt de défauts. Il me faut\nm'entraîner ainsi tous les jours.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nAlcryst... Tu ne dois parler de cela à personne.\nComprends-tu ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nJe me tairai.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nIl faut que je poursuive. Je ne veux pas\nfaire patienter les mages.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nスタルーク\nDiamant, tu n'as pas besoin d'être si\nintransigeant envers toi-même...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nNous sommes les protecteurs de Brodia.\nC'est notre devoir de nous évertuer à être\naussi forts que possible.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nスタルーク\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nNotre entretien m'a apaisé, je me sens mieux.\nNe t'inquiète pas pour moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x02\x0C\nスタルーク\nMais Diamant...\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0C\nスタルーク\nIl a peur de quelque chose. Mon frère\na un point faible. Je n'en reviens pas...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nAh !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nAh ! Pile dans le centre. Très bien.\nEncore une petite série de 50...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\nTu es vraiment un virtuose, l'arc à la main,\nt'en rends-tu compte ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\nDiamant ? Depuis combien de temps\nme regardes-tu ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nAssez longtemps pour m'apercevoir que\nle tir à l'arc est décidément une de tes\nplus grandes forces.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nスタルーク\nMerci... Mais j'ai encore beaucoup de progrès\nà faire.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nスタルーク\nJe dois m'entraîner. Devenir plus fort...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nVoilà ! Voilà la bonne attitude. Je savais\nque mon petit frère était un battant.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nDiamant, si je peux me permettre...\nAccepterais-tu de te livrer à un concours de\ntir à l'arc ? Si tu as un peu de temps ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nHa ! Ça pourrait être divertissant.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nComment nous départagerons-nous ? Ce sera\nà celui qui touche le centre de la cible le plus\nde fois en 10 tirs ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nスタルーク\nÇa me va. C'est parti !\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x04\x03\x04
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nAlcryst... Je n'en crois pas mes yeux. Je savais\nque tu étais doué pour le tir à l'arc, mais...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\nQu'est-ce que tu racontes ? Tu as touché le\ncentre neuf fois, soit une fois de plus que\nmon misérable total de huit. Tu m'as vaincu...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nスタルーク\nCouvrir ton frère d'éloges après l'avoir écrasé\nau concours qu'il avait lui-même initié...\nEspèce de persécuteur.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nEh ! Je ne vais pas laisser gagner mon petit\nfrère pour lui faire plaisir. Si tu veux me battre,\ntu dois le faire à la régulière.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nスタルーク\nHa ha ! Venant du prince héritier de Brodia,\nil fallait s'attendre à ça !\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\nSi tu savais à quel point il est rassurant d'avoir\nun grand frère de ta trempe, Diamant... J'ai\nbeaucoup de chance.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nC'est moi qui ai de la chance d'avoir un frère\ncomme toi, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nAucun partenaire d'entraînement ne s'est jamais\nmontré aussi doué et courtois que tu l'es, au tir\nà l'arc comme dans tous les domaines.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nJe vais redoubler d'efforts jusqu'à me\nsurpasser. Quand je serai prêt, je te\ndemanderai une revanche.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nTrès bien. Mais je te préviens, je ne vais pas\nralentir l'entraînement de mon côté non plus.\nMoi aussi, je serai plus fort.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nスタルーク\nJe n'ai pas le moindre doute à ce sujet,\nDiamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nスタルーク\nPour le moment, tu as de l'avance, mais\nje te rattraperai. Mieux : je te dépasserai.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nスタルーク\nEt quoiqu'il advienne... Je te protégerai.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cディアマンド\nHm ? Qu'est-ce que tu murmures, Alcryst ?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nスタルーク\nOh, je pensais tout haut. Ne fais pas attention.\x0E\x04\x00\x00
