MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\n"Yo estoy bien. ¿Qué tal todo por casa?"\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06フラン\nEh, Kagetsu. ¿A qué viene esa cara tan larga?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06カゲツ\nHola, Framme. Te refieres a que se nota\nque estoy triste...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06フラン\n¿No han respondido aún a tu carta?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06カゲツ\nPues no...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06カゲツ\nParece que mi familia me ha dado la espalda...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06フラン\n¡No! Quizá haya habido algún problema\ny por eso no habrá llegado la carta.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06カゲツ\nA lo mejor ha sido por eso...\nY quizá eso sea lo mejor.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06カゲツ\nNo sé si tendría el valor de leer la carta\nen el caso de que me contestasen.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06フラン\nOye, ¿qué fue de aquel tipo que se enfrentó\na ese papel en blanco y lo derrotó?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06フラン\nLo mismo la respuesta está de camino.\n¡No te rindas! ¡No pierdas la fe!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06カゲツ\nLa fe...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06フラン\nEspera un poco más, ¿vale?\n¡Y después escribiremos juntos la respuesta!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06カゲツ\nTienes razón. He sido muy impaciente.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\nMientras esperamos, ¿podría echarle un ojo\na lo que te han escrito tus padres?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06フラン\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06カゲツ\nLa carta que tienes en la mano...\n¿No es de tus padres?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nTengo curiosidad por saber qué te cuentan.\nSolo si no te importa, claro.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06フラン\nOh, claro... Seguramente sea lo de siempre.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06フラン\nA ver qué dice...\nMmm... Ajá... ¡Ah!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06カゲツ\n¿Qué te sorprende tanto? Deja que lo vea...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\n"Vander nos lo ha contado todo..."\n"Deja de haraganear..." "Entrena más..."\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06カゲツ\n¡Te están regañando!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06フラン\n¡Arg! ¡No leas más!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06カゲツ\nMmm... Parece que tendré que ayudarte\na entrenar más...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06フラン\n¡No! ¡Nada de eso!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06カゲツ\nTú me ayudaste a redactar mi carta.\nEs lo mínimo que puedo hacer.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06カゲツ\nLos amigos están para ayudarse.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06フラン\nEstaba más a gusto cuando solo había\nque lidiar con tus problemas...\x0E\x04\x00\x00
